Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG56,9,5,MLG56,511,95,1,91,1105.6088601872325,2.163618121697128
MLG54,9,5,MLG54,595,57,1,109,1069.7073160484433,1.7978274219301569
1-8188,2,15,1-8188,140,83,0,12,84.39897057414055,0.6028497898152896
1-2545,22,17,1-2545,145,79,0,31,82.61400731652975,0.5697517745967569
1-1183,15,19,1-1183,45,25,0,5,25.582904405891895,0.5685089867975976
MLG59,5,7,MLG59,71,35,0,9,36.04922793060541,0.5077356046564142
1-8267,9,3,1-8267,133,52,0,6,52.699485287070274,0.3962367314817314
1-11350,13,14,1-11350,100,36,0,28,39.264264672994614,0.39264264672994614
MLG65,6,2,MLG65,201,62,0,43,67.0129778906703,0.3333978999535836
1-1390,3,20,1-1390,98,31,0,14,32.63213233649731,0.3329809422091562
P-16616,13,17,P-16616,28,8,0,11,9.28238969296217,0.3315139176057918
1-3312,12,9,1-3312,36,10,0,15,11.748713217675686,0.3263531449354357
1-6561,14,8,1-6561,65,18,0,26,21.031102910637856,0.32355542939442855
1-18615,21,15,1-18615,22,7,0,1,7.116580881178379,0.3234809491444718
1-9270,14,8,1-9270,128,35,0,54,41.29536758363247,0.32262005924712867
1-1204,17,11,1-1204,39,12,0,4,12.466323524713516,0.3196493211465004
MLG64,11,18,MLG64,245,68,0,88,78.25911754369736,0.31942496956611166
MLG51,6,2,MLG51,248,73,0,35,77.08033084124327,0.3108077856501745
MLG14,12,9,MLG14,232,68,0,31,71.61400731652975,0.3086810660195248
1-9156,17,11,1-9156,268,70,0,62,77.2280146330595,0.2881642337054459
1-5002,8,4,1-5002,45,11,0,16,12.865294098854065,0.2858954244189792
MLG49,15,2,MLG49,185,50,0,18,52.09845586121082,0.2816132749254639
1-0053,8,4,1-0053,142,35,0,40,39.66323524713516,0.27931855807841666
1-17907,21,3,1-17907,119,29,0,30,32.49742643535137,0.27308761710379303
1-7807,21,3,1-7807,239,59,0,52,65.06220582127571,0.27222680259947996
MLG57,16,16,MLG57,629,147,0,191,169.2669483050704,0.269104846271972
1-6858,11,18,1-6858,23,5,0,10,6.165808811783791,0.2680786439905996
MLG50,12,9,MLG50,319,75,0,88,85.25911754369736,0.2672699609520293
1-5413,11,5,1-5413,39,9,0,12,10.398970574140549,0.26664027113180894
1-6974,5,7,1-6974,207,53,0,10,54.16580881178379,0.26167057396997
MLG55,16,16,MLG55,92,23,0,6,23.699485287070274,0.25760310094641603
