Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
MLG32,1,6,MLG32,52,18,0,18,32.59950935840607,0.6269136415078089
1-5002,14,11,1-5002,45,23,0,4,26.244335412979126,0.5832074536217584
MLG65,15,8,MLG65,201,92,0,20,108.22167706489563,0.5384163038054509
1-10060,17,9,1-10060,36,2,0,21,19.03276091814041,0.5286878032816781
1-7122,8,9,1-7122,197,78,0,30,102.33251559734344,0.5194543938951444
1-9491,21,18,1-9491,80,15,0,32,40.95468330383301,0.5119335412979126
MLG60,21,18,MLG60,47,11,0,16,23.977341651916504,0.5101562053599256
1-0272,11,7,1-0272,111,15,0,51,56.365276515483856,0.507795283923278
MLG51,22,17,MLG51,248,70,0,65,122.7204504609108,0.4948405260520597
MLG55,21,18,MLG55,92,14,0,38,44.8211864233017,0.48718680894893146
1-6061,6,8,1-6061,40,12,0,8,18.488670825958252,0.4622167706489563
1-7807,10,7,1-7807,239,31,0,95,108.05296605825424,0.45210446049478764
1-3083,17,10,1-3083,78,4,0,38,34.8211864233017,0.44642546696540636
1-1833,1,6,1-1833,124,13,0,52,55.17636036872864,0.4449706481349084
MLG40,1,6,MLG40,51,12,0,13,22.54409009218216,0.4420409821996502
1-9938,20,16,1-9938,55,11,0,16,23.977341651916504,0.4359516663984819
MLG50,22,17,MLG50,319,70,0,84,138.13104367256165,0.4330126760895349
1-9277,7,20,1-9277,48,2,0,23,20.654928624629974,0.43031101301312447
MLG49,21,18,MLG49,185,30,0,61,79.47611504793167,0.42960062188071174
1-7268,9,4,1-7268,70,4,0,32,29.954683303833008,0.4279240471976144
MLG38,1,6,MLG38,77,11,0,27,32.8992640376091,0.4272631693195987
1-0003,9,8,1-0003,17,4,0,4,7.244335412979126,0.42613737723406625
1-8188,21,18,1-8188,140,10,0,60,58.66503119468689,0.41903593710490633
MLG45,6,14,MLG45,70,8,0,26,29.08818018436432,0.41554543120520454
MLG64,16,15,MLG64,245,27,0,90,99.99754679203033,0.4081532522123687
1-0303,21,18,1-0303,212,32,0,65,84.7204504609108,0.39962476632505095
1-4760,17,10,1-4760,40,9,0,8,15.488670825958252,0.3872167706489563
1-10539,16,15,1-10539,63,20,0,5,24.055419266223907,0.38183205184482394
1-9379,18,13,1-9379,58,18,0,5,22.055419266223907,0.38026584941765357
1-0129,12,12,1-0129,142,32,0,27,53.8992640376091,0.37957228195499365
1-18615,22,17,1-18615,22,5,0,4,8.244335412979126,0.37474251877177844
1-9831,20,16,1-9831,132,6,0,53,48.98744422197342,0.3711170016816168
1-6878,4,22,1-6878,167,0,0,76,61.642372846603394,0.3691160050694814
1-5980,6,14,1-5980,29,5,0,7,10.67758697271347,0.368192654231499
1-11350,14,11,1-11350,100,18,0,23,36.654928624629974,0.36654928624629973
1-8503,1,6,1-8503,16,5,0,1,5.8110838532447815,0.36319274082779884
1-6927,20,16,1-6927,179,25,0,49,64.7431088089943,0.3616933453016441
1-9609,4,22,1-9609,25,0,0,11,8.921922385692596,0.35687689542770384
1-9452,11,7,1-9452,16,4,0,2,5.622167706489563,0.3513854816555977
1-9655,15,18,1-9655,27,7,0,3,9.433251559734344,0.3493796873975683
1-1390,2,9,1-1390,98,18,0,20,34.22167706489563,0.349200786376486
1-3108,1,12,1-3108,18,3,0,4,6.244335412979126,0.34690752294328475
1-4355,17,10,1-4355,49,4,0,16,16.977341651916504,0.34647636024319395
1-6296,1,6,1-6296,254,49,0,48,87.93202495574951,0.3461890746289351
1-9497,6,14,1-9497,150,17,0,42,51.06552183628082,0.34043681224187217
1-20167,6,14,1-20167,56,2,0,21,19.03276091814041,0.33987073068107876
1-9270,12,12,1-9270,128,18,0,31,43.143599450588226,0.3370593707077205
1-1131,15,8,1-1131,138,38,0,10,46.110838532447815,0.33413651110469433
1-8067,20,16,1-8067,322,45,0,77,107.45345669984818,0.33370638726660923
1-1957,22,17,1-1957,47,10,0,7,15.67758697271347,0.3335656802704994
1-18558,11,3,1-18558,307,58,0,54,101.7985280752182,0.33159129666194853
1-8018,21,18,1-8018,58,3,0,20,19.22167706489563,0.33140822525682123
1-20578,10,10,1-20578,19,3,0,4,6.244335412979126,0.3286492322620593
1-3265,14,11,1-3265,19,3,0,4,6.244335412979126,0.3286492322620593
1-10785,12,12,1-10785,279,24,0,83,91.31995981931686,0.3273116839402038
1-7005,7,20,1-7005,285,4,0,110,93.21922385692596,0.3270849959892139
MLG75,18,13,MLG75,185,43,0,21,60.03276091814041,0.3245014103683265
1-9902,15,22,1-9902,30,0,0,12,9.733006238937378,0.3244335412979126
1-17907,15,8,1-17907,119,11,0,34,38.57685101032257,0.3241752185741392
1-0053,16,15,1-0053,142,29,0,21,46.03276091814041,0.3241743726629606
1-6858,1,13,1-6858,23,5,0,3,7.4332515597343445,0.32318485042323236
1-10451,6,8,1-10451,46,1,0,17,14.788425505161285,0.3214875109817671
1-18709,17,10,1-18709,33,4,0,8,10.488670825958252,0.31783850987752277
1-9227,7,20,1-9227,801,91,0,201,254.02785450220108,0.3171383951338341
1-3052,7,20,1-3052,166,11,0,51,52.365276515483856,0.3154534729848425
MLG08,11,3,MLG08,107,2,0,39,33.63227027654648,0.3143202829583783
1-7993,2,9,1-7993,24,5,0,3,7.4332515597343445,0.309718814988931
1-10468,20,16,1-10468,549,80,0,111,170.03030771017075,0.30970912151215074
1-6098,6,14,1-6098,1327,98,0,385,410.2672834992409,0.3091690154478077
1-4640,10,7,1-4640,87,6,0,25,26.277096331119537,0.3020355900128682
1-1462,7,20,1-1462,192,10,0,59,57.85394734144211,0.30132264240334433
MLG69,13,5,MLG69,576,88,0,105,173.16380459070206,0.30063160519219106
1-1350,9,4,1-1350,195,34,0,30,58.332515597343445,0.29914110562740226
MLG56,13,5,MLG56,511,60,0,114,152.4635592699051,0.2983631296867027
MLG67,18,13,MLG67,27,4,0,5,8.055419266223907,0.2983488617119966
1-2294,1,6,1-2294,75,11,0,14,22.35517394542694,0.29806898593902587
MLG44,11,3,MLG44,59,7,0,13,17.54409009218216,0.2973574591895281
1-5355,12,12,1-5355,53,6,0,12,15.733006238937378,0.2968491743195732
1-5413,2,9,1-5413,39,5,0,8,11.488670825958252,0.2945813032296988
1-7024,18,13,1-7024,498,71,0,92,145.6197144985199,0.2924090652580721
1-19229,2,9,1-19229,38,3,0,10,11.110838532447815,0.2923904876959951
1-9417,20,16,1-9417,76,10,0,15,22.166257798671722,0.29166128682462794
1-0027,19,2,1-0027,29,6,0,3,8.433251559734344,0.29080177792187395
1-9997,6,2,1-9997,16,3,0,2,4.622167706489563,0.2888854816555977
1-1942,1,6,1-1942,34,9,0,1,9.811083853244781,0.2885612898013171
1-3141,13,12,1-3141,136,14,0,31,39.143599450588226,0.28782058419550166
MLG41,19,2,MLG41,66,10,0,11,18.921922385692596,0.2866957937226151
1-5775,19,2,1-5775,244,12,0,71,69.58695358037949,0.2851924327064733
1-3523,17,10,1-3523,543,18,0,167,153.4510034918785,0.28259853313421457
1-19286,2,14,1-19286,40,4,0,9,11.299754679203033,0.28249386698007584
1-9286,13,4,1-9286,81,18,0,6,22.86650311946869,0.2823025076477616
1-9794,3,1,1-9794,46,0,0,16,12.977341651916504,0.28211612286775006
1-9651,21,18,1-9651,38,5,0,7,10.67758697271347,0.2809891308608808
1-7866,17,10,1-7866,318,21,0,84,89.13104367256165,0.2802863008571121
1-2423,2,22,1-2423,79,0,0,27,21.8992640376091,0.2772058738937861
1-4682,21,13,1-4682,16,2,0,3,4.4332515597343445,0.27707822248339653
1-5515,19,2,1-5515,29,8,0,0,8.0,0.27586206896551724
1-1005,16,14,1-1005,125,9,0,31,34.143599450588226,0.2731487956047058
1-9404,20,16,1-9404,100,11,0,20,27.22167706489563,0.2722167706489563
1-8678,1,6,1-8678,17,3,0,2,4.622167706489563,0.2718922180287978
MLG52,16,15,MLG52,125,21,0,16,33.977341651916504,0.271818733215332
1-3551,5,24,1-3551,6,0,0,2,1.622167706489563,0.2703612844149272
1-1317,20,16,1-1317,414,44,0,82,110.50887596607208,0.26692965209196157
1-8705,18,13,1-8705,48,12,0,1,12.811083853244781,0.26689758027593297
1-1989,16,15,1-1989,46,9,0,4,12.244335412979126,0.266181204629981
MLG58,19,2,MLG58,71,14,0,6,18.86650311946869,0.26572539604885476
1-8820,20,16,1-8820,83,5,0,21,22.03276091814041,0.2654549508209688
1-3068,15,8,1-3068,180,15,0,40,47.44335412979126,0.26357418960995144
1-5891,8,19,1-5891,96,13,0,15,25.166257798671722,0.2621485187361638
1-7441,12,18,1-7441,111,8,0,26,29.08818018436432,0.2620556773366155
1-6693,6,14,1-6693,98,7,0,23,25.654928624629974,0.261784985965612
1-5043,12,12,1-5043,123,15,0,21,32.03276091814041,0.26042895055398707
MLG14,14,11,MLG14,232,40,0,25,60.27709633111954,0.25981507039275664
MLG84,10,7,MLG84,63,9,0,9,16.299754679203033,0.2587262647492545
1-11330,1,3,1-11330,14,2,0,2,3.622167706489563,0.2587262647492545
1-8627,9,4,1-8627,25,4,0,3,6.4332515597343445,0.2573300623893738
1-6181,4,22,1-6181,659,0,0,208,168.70544147491455,0.2560021873670934
1-8910,7,20,1-8910,137,1,0,42,35.06552183628082,0.2559527141334367
1-9674,20,16,1-9674,144,10,0,33,36.76576715707779,0.2553178274797069
1-4494,1,24,1-4494,16,0,0,5,4.0554192662239075,0.2534637041389942
1-2382,2,9,1-2382,139,10,0,31,35.143599450588226,0.2528316507236563
1-8450,2,9,1-8450,52,5,0,10,13.110838532447815,0.2521315102393811
1-7682,21,4,1-7682,141,29,0,8,35.48867082595825,0.2516927008933209
1-8172,3,8,1-8172,40,6,0,5,10.055419266223907,0.2513854816555977
1-2545,14,11,1-2545,145,8,0,35,36.38793486356735,0.25095127492115415
1-9516,7,20,1-9516,76,2,0,21,19.03276091814041,0.2504310647123738
1-5626,12,12,1-5626,125,11,0,25,31.277096331119537,0.2502167706489563
1-8157,8,1,1-8157,75,17,0,2,18.622167706489563,0.24829556941986083
1-3596,11,3,1-3596,223,18,0,46,55.30985724925995,0.24802626569174865
1-3139,7,20,1-3139,93,6,0,21,23.03276091814041,0.24766409589398292
1-8328,17,10,1-8328,114,16,0,15,28.166257798671722,0.2470724368304537
1-9498,18,13,1-9498,64,15,0,1,15.811083853244781,0.2470481852069497
1-9283,9,4,1-9283,235,18,0,49,57.74310880899429,0.24571535663401828
1-17733,20,16,1-17733,74,6,0,15,18.166257798671722,0.24548997025232058
1-18234,4,22,1-18234,43,0,0,13,10.54409009218216,0.24521139749260837
1-5981,14,11,1-5981,28,6,0,1,6.8110838532447815,0.2432529947587422
1-3447,7,20,1-3447,110,4,0,28,26.710347890853882,0.24282134446230802
MLG68,8,19,MLG68,642,58,0,120,155.33006238937378,0.2419471376781523
1-5172,21,18,1-5172,120,3,0,32,28.954683303833008,0.24128902753194173
1-7140,4,22,1-7140,397,0,0,117,94.89681082963943,0.23903478798397843
