Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-8267,13,14,1-8267,133,50,0,45,52.01113909482956,0.391061196201726
MLG58,20,15,MLG58,71,27,0,13,27.580995738506317,0.38846472871135657
1-5002,15,17,1-5002,45,15,0,11,15.491611778736115,0.3442580395274692
1-7122,9,2,1-7122,197,59,0,110,63.916117787361145,0.32444729841300074
MLG60,1,5,MLG60,47,14,0,4,14.178767919540405,0.3016759131817108
1-4649,15,17,1-4649,244,69,0,48,71.14521503448486,0.2915787501413314
1-11350,23,9,1-11350,100,28,0,5,28.223459899425507,0.28223459899425507
1-9270,18,12,1-9270,128,33,0,43,34.92175513505936,0.2728262119926512
1-20578,1,18,1-20578,19,5,0,3,5.134075939655304,0.27021452313975286
1-2282,15,17,1-2282,219,56,0,44,57.96644711494446,0.26468697312760026
1-6980,18,12,1-6980,128,28,0,127,33.67588144540787,0.26309282379224896
1-0303,20,15,1-0303,212,54,0,38,55.69829523563385,0.262727807715254
1-4494,19,6,1-4494,16,4,0,4,4.178767919540405,0.26117299497127533
1-4682,10,13,1-4682,16,4,0,3,4.134075939655304,0.2583797462284565
MLG31,23,17,MLG31,33,8,0,6,8.268151879310608,0.2505500569488063
1-2382,13,14,1-2382,139,32,0,38,33.69829523563385,0.2424337786736248
1-6561,18,12,1-6561,65,15,0,13,15.580995738506317,0.23970762674625104
1-3206,16,8,1-3206,45,10,0,15,10.67037969827652,0.23711954885058933
MLG14,23,9,MLG14,232,53,0,30,54.34075939655304,0.23422741119203896
1-0272,13,14,1-0272,111,25,0,21,25.938531577587128,0.2336804646629471
1-3516,13,14,1-3516,156,33,0,77,36.4412824511528,0.23359796443046668
MLG44,10,13,MLG44,59,13,0,14,13.625687718391418,0.23094385963375286
1-0292,7,1,1-0292,99,21,0,29,22.29606741666794,0.22521280218856504
1-6974,20,15,1-6974,207,41,0,60,43.68151879310608,0.21102182991838686
1-7441,15,17,1-7441,111,22,0,31,23.38545137643814,0.21067974213007334
1-3534,13,14,1-3534,279,53,0,118,58.273653626441956,0.2088661420302579
1-9498,18,7,1-9498,64,13,0,7,13.31284385919571,0.20801318529993296
MLG59,3,18,MLG59,71,14,0,17,14.759763658046722,0.20788399518375666
1-18203,18,12,1-18203,29,5,0,23,6.02791553735733,0.2078591564605976
1-7496,13,14,1-7496,246,46,0,106,50.73734986782074,0.20624938970658838
1-3083,9,2,1-3083,78,16,0,1,16.0446919798851,0.20570117922929618
MLG73,1,5,MLG73,10,2,0,1,2.0446919798851013,0.20446919798851013
1-7024,20,15,1-7024,498,98,0,63,100.81559473276138,0.20244095327863731
1-20167,20,13,1-20167,56,11,0,3,11.134075939655304,0.19882278463670186
MLG50,9,2,MLG50,319,63,0,4,63.178767919540405,0.19805256401109844
1-1317,22,16,1-1317,414,78,0,77,81.4412824511528,0.19671807355350918
1-8493,3,12,1-8493,38,7,0,10,7.446919798851013,0.19597157365397402
1-6098,10,13,1-6098,1327,247,0,188,255.40209221839905,0.19246578162652528
1-6878,7,1,1-6878,167,31,0,20,31.893839597702026,0.19098107543534149
1-5775,20,15,1-5775,244,44,0,44,45.96644711494446,0.18838707833993631
1-4640,6,3,1-4640,87,15,0,16,15.715071678161621,0.18063300779496116
1-8678,13,17,1-8678,17,3,0,1,3.0446919798851013,0.17909952822853537
MLG29,10,13,MLG29,164,27,0,53,29.36867493391037,0.1790772861823803
MLG52,9,2,MLG52,125,22,0,3,22.134075939655304,0.17707260751724244
1-5515,4,23,1-5515,29,5,0,3,5.134075939655304,0.1770371013674243
1-7863,21,11,1-7863,351,58,0,58,60.59213483333588,0.1726271647673387
MLG49,17,4,MLG49,185,30,0,24,31.07260751724243,0.16796004063374287
1-7525,11,1,1-7525,6,1,0,0,1.0,0.16666666666666666
MLG30,7,1,MLG30,208,33,0,28,34.25137543678284,0.1646700742153021
1-9963,18,12,1-9963,116,17,0,34,18.519527316093445,0.1596510975525297
