Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-2423,7,8,1-2423,79,4,0,52,53.12255597114563,0.6724374173562738
MLG59,2,14,MLG59,71,25,0,19,42.94862622022629,0.6049102284538914
P-16616,13,9,P-16616,28,7,0,10,16.446645379066467,0.5873801921095166
1-1462,2,14,1-1462,192,29,0,87,111.18581479787827,0.5790927854056159
MLG32,8,18,MLG32,52,12,0,19,29.948626220226288,0.5759351196197363
MLG64,8,18,MLG64,245,69,0,65,130.40319496393204,0.5322579386282941
1-3052,12,10,1-3052,166,22,0,70,88.12651765346527,0.5308826364666582
1-6878,7,8,1-6878,167,14,0,79,88.62849849462509,0.5307095718241024
1-4355,18,11,1-4355,49,19,0,7,25.612651765346527,0.522707178884623
1-8573,2,14,1-8573,184,26,0,74,95.90517580509186,0.5212237815494123
1-2545,23,4,1-2545,145,16,0,63,75.51386588811874,0.5207852819870258
1-11350,14,20,1-11350,100,25,0,28,51.45060706138611,0.5145060706138611
1-1350,16,13,1-1350,195,33,0,69,98.18185311555862,0.5034966826438904
1-1989,12,10,1-1989,46,6,0,18,23.00396168231964,0.5000861235286879
1-9379,2,14,1-9379,58,11,0,18,28.00396168231964,0.48282692555723516
1-0292,4,7,1-0292,99,24,0,25,47.61661344766617,0.48097589341076935
1-5002,23,4,1-5002,45,13,0,9,21.50198084115982,0.4778217964702182
1-3534,17,3,1-3534,279,35,0,104,133.24511194229126,0.4775810463881407
1-17907,17,3,1-17907,119,18,0,41,56.731246054172516,0.4767331601190968
1-7682,16,13,1-7682,141,33,0,36,67.00792336463928,0.4752334990399949
1-18709,2,5,1-18709,33,8,0,8,15.557316303253174,0.4714338273713083
MLG50,13,9,MLG50,319,62,0,93,149.85380202531815,0.46976113487560545
MLG10,1,2,MLG10,60,26,0,2,27.889329075813293,0.4648221512635549
1-4640,21,2,1-4640,87,27,0,13,39.28063899278641,0.45150159761823455
MLG75,18,11,MLG75,185,41,0,45,83.5099042057991,0.45140488759891406
MLG49,4,7,MLG49,185,42,0,42,81.67591059207916,0.4414914086058333
1-7005,3,17,1-7005,285,58,0,71,125.07118219137192,0.4388462533030594
1-3206,2,4,1-3206,45,11,0,9,19.50198084115982,0.43337735202577377
1-3362,17,3,1-3362,117,15,0,37,49.95258790254593,0.4269451957482558
1-9491,16,13,1-9491,80,19,0,16,34.11463260650635,0.42643290758132935
MLG57,21,6,MLG57,629,66,0,214,268.1582111120224,0.4263246599555205
1-6858,22,1,1-6858,23,4,0,6,9.66798722743988,0.4203472707582557
1-0296,23,4,1-0296,41,3,0,15,17.1699680685997,0.4187797089902366
MLG40,8,18,MLG40,51,9,0,13,21.280638992786407,0.41726743123110605
1-0003,16,13,1-0003,17,7,0,0,7.0,0.4117647058823529
1-17835,3,17,1-17835,17,4,0,3,6.83399361371994,0.4019996243364671
1-7807,17,3,1-7807,239,23,0,76,94.79450488090515,0.396629727535168
1-6098,15,15,1-6098,1327,213,0,331,525.6839620471001,0.39614465866397897
1-9277,12,10,1-9277,48,2,0,18,19.00396168231964,0.3959158683816592
1-8267,17,3,1-8267,133,9,0,46,52.45456874370575,0.3943952537120733
1-1390,21,6,1-1390,98,24,0,15,38.1699680685997,0.38948947008775203
1-8906,21,6,1-8906,15,2,0,4,5.778658151626587,0.3852438767751058
1-1131,3,17,1-1131,138,22,0,32,52.229265213012695,0.37847293632617895
1-3217,3,11,1-3217,5,0,0,2,1.8893290758132935,0.3778658151626587
1-4531,12,10,1-4531,94,16,0,20,34.893290758132935,0.37120522083120144
1-0053,15,15,1-0053,142,27,0,27,52.50594252347946,0.36976015861605255
1-9452,1,2,1-9452,16,4,0,2,5.8893290758132935,0.36808306723833084
MLG69,20,12,MLG69,576,57,0,161,209.09099060297012,0.36300519201904535
1-7496,17,3,1-7496,246,36,0,56,88.90121412277222,0.36138704927956183
1-7268,3,13,1-7268,70,9,0,17,25.059297144412994,0.35798995920589993
MLG30,2,14,MLG30,208,28,0,49,74.28856235742569,0.3571565497953158
MLG14,19,2,MLG14,232,71,0,12,82.33597445487976,0.35489644161586104
1-5043,10,16,1-5043,123,21,0,23,42.727284371852875,0.34737629570612094
1-2382,23,4,1-2382,139,35,0,14,48.225303530693054,0.34694462971721624
1-18615,2,19,1-18615,22,1,0,7,7.612651765346527,0.3460296256975694
1-6181,7,8,1-6181,659,73,0,164,227.92498421669006,0.34586492293883164
1-6006,16,13,1-6006,57,12,0,8,19.557316303253174,0.34311081233777496
1-9925,18,11,1-9925,93,12,0,21,31.83795529603958,0.34234360533375896
MLG56,20,12,MLG56,511,119,0,59,174.73520773649216,0.34194756895595335
1-8421,4,16,1-8421,109,21,0,17,37.059297144412994,0.33999355178360546
1-0303,4,7,1-0303,212,32,0,42,71.67591059207916,0.33809391788716586
1-3447,13,9,1-3447,110,23,0,15,37.1699680685997,0.33790880062363365
1-9497,15,15,1-9497,150,26,0,26,50.561277985572815,0.3370751865704854
MLG52,9,19,MLG52,125,10,0,34,42.11859428882599,0.3369487543106079
1-9808,7,8,1-9808,74,5,0,21,24.83795529603958,0.33564804454107544
1-7204,2,14,1-7204,26,4,0,5,8.723322689533234,0.3355124111358936
1-2282,21,6,1-2282,219,30,0,46,73.45456874370575,0.33540898969728655
1-0027,15,19,1-0027,29,5,0,5,9.723322689533234,0.33528698929424944
1-3141,10,16,1-3141,136,30,0,16,45.11463260650635,0.33172523975372314
1-0129,10,16,1-0129,142,31,0,16,46.11463260650635,0.32475093384863624
1-6734,6,16,1-6734,44,2,0,13,14.280638992786407,0.324559977108782
1-8341,12,10,1-8341,197,11,0,56,63.90121412277222,0.32437164529325996
1-10698,17,3,1-10698,6,1,0,1,1.9446645379066467,0.3241107563177745
1-19205,7,8,1-19205,12,2,0,2,3.8893290758132935,0.3241107563177745
1-3523,6,5,1-3523,543,53,0,130,175.80638992786407,0.3237686739003022
MLG29,15,15,MLG29,164,35,0,19,52.94862622022629,0.3228574769525993
1-4390,12,10,1-4390,45,6,0,9,14.50198084115982,0.32226624091466266
1-18028,20,12,1-18028,309,5,0,100,99.46645379066467,0.32189790870765267
MLG31,1,21,MLG31,33,3,0,8,10.557316303253174,0.3199186758561568
1-3516,17,3,1-3516,156,12,0,40,49.78658151626587,0.3191447533093966
1-3587,9,3,1-3587,46,8,0,7,14.612651765346527,0.3176663427249245
1-9227,12,10,1-9227,801,56,0,210,254.3795529603958,0.31757746936379005
MLG58,18,11,MLG58,71,12,0,11,22.391309916973114,0.31537056221088894
1-9938,18,1,1-9938,55,5,0,13,17.280638992786407,0.31419343623248014
1-6240,16,13,1-6240,698,63,0,165,218.8696487545967,0.31356683202664287
1-6611,5,3,1-6611,89,8,0,21,27.83795529603958,0.3127860145622425
1-19915,9,19,1-19915,62,8,0,12,19.33597445487976,0.3118705557238671
1-19229,4,7,1-19229,38,9,0,3,11.83399361371994,0.31142088457157735
MLG44,8,18,MLG44,59,7,0,12,18.33597445487976,0.31077922804880953
1-0205,12,10,1-0205,34,2,0,9,10.50198084115982,0.3088817894458771
MLG45,1,21,MLG45,70,14,0,8,21.557316303253174,0.30796166147504533
1-9516,12,10,1-9516,76,13,0,11,23.391309916973114,0.3077803936443831
1-7004,17,3,1-7004,381,36,0,86,117.24115025997162,0.3077195544881145
72-12171,16,19,72-12171,19,2,0,4,5.778658151626587,0.30413990271718877
1-6296,7,8,1-6296,254,26,0,54,77.01188504695892,0.30319639782267294
1-6561,9,16,1-6561,65,12,0,8,19.557316303253174,0.30088178928081805
1-5413,23,21,1-5413,39,7,0,5,11.723322689533234,0.30059801768033934
1-7845,13,11,1-7845,36,7,0,4,10.778658151626587,0.2994071708785163
1-3104,7,9,1-3104,16,1,0,4,4.778658151626587,0.2986661344766617
1-19286,15,2,1-19286,40,10,0,2,11.889329075813293,0.2972332268953323
1-5355,10,16,1-5355,53,10,0,6,15.66798722743988,0.2956224005177336
1-18558,8,18,1-18558,307,31,0,63,90.51386588811874,0.29483343937497963
1-6061,3,17,1-6061,40,8,0,4,11.778658151626587,0.29446645379066466
MLG63,6,5,MLG63,380,47,0,68,111.23718857765198,0.29272944362539993
1-9270,10,16,1-9270,128,28,0,10,37.44664537906647,0.2925519170239568
1-5197,22,1,1-5197,72,4,0,18,21.00396168231964,0.29172169003221726
1-1570,10,16,1-1570,142,29,0,13,41.28063899278641,0.29070872530131275
1-3139,12,10,1-3139,93,8,0,20,26.893290758132935,0.2891751694422896
1-1942,19,13,1-1942,34,5,0,5,9.723322689533234,0.28598007910391865
MLG02,7,8,MLG02,320,47,0,47,91.3992332816124,0.28562260400503875
MLG68,18,11,MLG68,642,51,0,140,183.25303530693054,0.2854408649640663
1-4417,7,8,1-4417,151,10,0,35,43.063258826732635,0.28518714454789823
1-7058,13,9,1-7058,80,19,0,4,22.778658151626587,0.2847332268953323
1-5172,10,16,1-5172,120,13,0,22,33.78261983394623,0.2815218319495519
