Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-0129,2,24,1-0129,142,0,1,16,1001.2014634609222,7.050714531414945
1-0303,2,24,1-0303,212,0,1,33,1002.4780183881521,4.728669898057321
MLG51,19,2,MLG51,248,79,1,10,1079.7509146630764,4.353834333318856
MLG54,19,2,MLG54,595,61,1,19,1062.4267378598452,1.7855911560669666
1-0296,14,9,1-0296,41,15,0,5,15.3754573315382,0.375011154427761
1-1204,7,5,1-1204,39,14,0,7,14.52564026415348,0.37245231446547383
1-18558,15,15,1-18558,307,107,0,38,109.85347571969032,0.3578289111390564
1-8188,20,14,1-8188,140,47,0,41,50.07875011861324,0.3577053579900946
MLG60,9,4,MLG60,47,15,0,7,15.52564026415348,0.3303327715777336
MLG50,19,2,MLG50,319,103,0,28,105.10256105661392,0.3294751130301377
MLG29,13,10,MLG29,164,52,0,10,52.7509146630764,0.32165191867729515
1-9808,20,8,1-9808,74,22,0,20,23.5018293261528,0.31759228819125407
MLG58,19,2,MLG58,71,22,0,5,22.3754573315382,0.31514728635969297
1-1015,12,13,1-1015,155,42,0,51,45.829664781689644,0.2956752566560622
1-7682,7,5,1-7682,141,38,0,47,41.529298916459084,0.29453403486850416
1-1131,11,12,1-1131,138,38,0,28,40.10256105661392,0.29059826852618786
1-11350,14,9,1-11350,100,27,0,22,28.65201225876808,0.28652012258768084
1-5002,13,10,1-5002,45,12,0,11,12.82600612938404,0.28502235843075646
1-6181,17,8,1-6181,659,161,0,161,173.08972607553005,0.26265512302811844
MLG55,17,8,MLG55,92,23,0,14,24.05128052830696,0.2614269622642061
1-19286,5,11,1-19286,40,10,0,4,10.30036586523056,0.257509146630764
1-9498,10,11,1-9498,64,16,0,4,16.30036586523056,0.2546932166442275
1-2423,19,2,1-2423,79,17,0,35,19.628201320767403,0.24845824456667598
1-9925,5,6,1-9925,93,22,0,14,23.05128052830696,0.24786323148717163
1-3523,14,9,1-3523,543,121,0,124,130.31134182214737,0.2399840549210817
1-6692,16,7,1-6692,71,16,0,13,16.97618906199932,0.23910125439435664
MLG75,10,11,MLG75,185,42,0,27,44.02746959030628,0.2379863221097637
MLG30,5,6,MLG30,208,48,0,17,49.27655492722988,0.23690651407322058
MLG69,21,3,MLG69,576,122,0,170,134.7655492722988,0.23396796748662987
1-7866,14,9,1-7866,318,66,0,103,73.73442102968693,0.23186924852102808
MLG11,15,15,MLG11,87,20,0,1,20.07509146630764,0.23074817777365103
1-3534,12,13,1-3534,279,61,0,29,63.17765252292156,0.2264431990068873
1-9516,12,13,1-9516,76,16,0,14,17.05128052830696,0.22435895431982844
1-9270,10,11,1-9270,128,25,0,43,28.228933051228523,0.22053853946272284
MLG48,17,8,MLG48,159,33,0,6,33.45054879784584,0.21038081004934492
1-5043,9,4,1-5043,123,24,0,24,25.802195191383362,0.20977394464539317
1-8910,21,4,1-8910,137,26,0,35,28.628201320767403,0.2089649731442876
MLG14,5,6,MLG14,232,45,0,41,48.07875011861324,0.20723599189057432
1-0053,13,10,1-0053,142,28,0,18,29.35164639353752,0.20670173516575718
MLG62,20,14,MLG62,525,90,0,246,108.47250071167946,0.20661428706986565
1-1570,10,11,1-1570,142,27,0,29,29.177652522921562,0.20547642621775747
1-6561,18,21,1-6561,65,13,0,0,13.0,0.2
1-0003,7,5,1-0003,17,3,0,4,3.3003658652305603,0.19413916854297414
1-2545,14,9,1-2545,145,26,0,22,27.65201225876808,0.19070353281909022
1-6693,13,10,1-6693,98,18,0,9,18.67582319676876,0.1905696244568241
1-1942,20,16,1-1942,34,5,0,19,6.426737859845161,0.18902170176015182
1-9156,16,7,1-9156,268,45,0,66,49.956036776304245,0.1864031222996427
1-3516,12,16,1-3516,156,25,0,53,28.979847714304924,0.18576825457887772
1-4052,10,14,1-4052,13,2,0,5,2.3754573315382004,0.18272748704140002
MLG02,20,14,MLG02,320,53,0,70,58.256402641534805,0.18205125825479626
1-9394,16,7,1-9394,117,20,0,16,21.20146346092224,0.1812090894095918
1-0272,12,13,1-0272,111,17,0,40,20.003658652305603,0.1802131410117622
1-5355,15,8,1-5355,53,9,0,7,9.52564026415348,0.17972906158780153
1-4355,11,15,1-4355,49,8,0,9,8.67582319676876,0.17705761626058694
MLG63,9,4,MLG63,380,64,0,40,67.0036586523056,0.17632541750606737
1-17907,12,13,1-17907,119,20,0,12,20.90109759569168,0.17563947559404774
1-8988,20,2,1-8988,29,5,0,1,5.07509146630764,0.1750031540106083
1-8820,9,4,1-8820,83,14,0,6,14.45054879784584,0.17410299756440772
1-9491,5,6,1-9491,80,12,0,24,13.802195191383362,0.17252743989229202
MLG52,19,2,MLG52,125,21,0,7,21.52564026415348,0.17220512211322783
1-8328,12,13,1-8328,114,19,0,8,19.60073173046112,0.17193624324965895
1-20578,20,2,1-20578,19,3,0,3,3.2252743989229202,0.16975128415383792
1-7122,15,15,1-7122,197,32,0,19,33.42673785984516,0.16967887238500082
1-1191,8,13,1-1191,53,8,0,13,8.976189061999321,0.1693620577735721
MLG68,15,15,MLG68,642,101,0,88,107.60804903507233,0.16761378354372636
1-18935,9,21,1-18935,30,5,0,0,5.0,0.16666666666666666
1-9963,10,11,1-9963,116,17,0,31,19.327835455536842,0.16661927116842107
1-3509,17,14,1-3509,35,5,0,10,5.750914663076401,0.1643118475164686
1-3362,12,13,1-3362,117,17,0,28,19.102561056613922,0.16326975262063181
1-6974,11,12,1-6974,207,29,0,55,33.130030646920204,0.16004845723149858
1-1580,14,9,1-1580,400,58,0,80,64.0073173046112,0.16001829326152803
1-7807,12,13,1-7807,239,35,0,43,38.22893305122852,0.15995369477501475
MLG57,9,4,MLG57,629,95,0,66,99.95603677630424,0.15891261808633425
1-9497,13,10,1-9497,150,22,0,23,23.72710372507572,0.15818069150050482
1-19448,11,12,1-19448,45,6,0,14,7.051280528306961,0.1566951228512658
1-9333,15,15,1-9333,102,14,0,25,15.877286657691002,0.15565967311461767
MLG32,18,21,MLG32,52,8,0,0,8.0,0.15384615384615385
1-8450,16,7,1-8450,52,7,0,12,7.901097595691681,0.15194418453253233
1-2573,5,7,1-2573,37,5,0,8,5.600731730461121,0.15137112785030055
1-8267,12,13,1-8267,133,19,0,15,20.1263719946146,0.15132610522266618
1-9740,9,14,1-9740,34,5,0,1,5.07509146630764,0.14926739606787176
1-17835,5,3,1-17835,17,2,0,7,2.5256402641534805,0.14856707436196945
MLG31,21,3,MLG31,33,4,0,12,4.901097595691681,0.14851810896035397
1-3535,16,7,1-3535,315,41,0,73,46.481677040457726,0.1475608794935166
1-9650,15,9,1-9650,25,3,0,8,3.6007317304611206,0.14402926921844483
1-20167,18,21,1-20167,56,8,0,0,8.0,0.14285714285714285
1-6098,13,10,1-6098,1327,166,0,303,188.75271429121494,0.14224017655705723
1-9286,7,5,1-9286,81,10,0,20,11.501829326152802,0.1419978929154667
1-1250,9,4,1-1250,34,4,0,11,4.826006129384041,0.14194135674658945
1-8285,7,5,1-8285,72,9,0,16,10.201463460922241,0.14168699251280892
1-7140,20,14,1-7140,397,45,0,149,56.18862847983837,0.14153306921873646
1-7863,11,12,1-7863,351,43,0,84,49.307683169841766,0.140477729828609
1-3083,14,9,1-3083,78,9,0,25,10.877286657691002,0.13945239304732054
1-7024,11,12,1-7024,498,53,0,219,69.44503112137318,0.13944785365737586
1-0278,18,21,1-0278,79,11,0,0,11.0,0.13924050632911392
1-7819,14,9,1-7819,59,7,0,16,8.201463460922241,0.1390078552698685
1-1833,16,7,1-1833,124,13,0,56,17.205122113227844,0.1387509847840955
1-5981,21,3,1-5981,28,3,0,11,3.826006129384041,0.13664307604943002
MLG41,18,21,MLG41,66,9,0,0,9.0,0.13636363636363635
1-2034,21,4,1-2034,16,2,0,2,2.15018293261528,0.134386433288455
1-4098,20,15,1-4098,16,2,0,2,2.15018293261528,0.134386433288455
1-5626,11,12,1-5626,125,15,0,23,16.72710372507572,0.13381682980060577
1-9938,6,1,1-9938,55,7,0,4,7.30036586523056,0.1327339248223738
1-7530,10,13,1-7530,25,3,0,4,3.3003658652305603,0.13201463460922241
1-9761,8,16,1-9761,35,4,0,8,4.600731730461121,0.1314494780131749
