Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
174,174,174,174,174,174,174,174,174,MLG38,14,23,MLG38,77,12,1,3,1014.1940709352493,13.171351570587653
123,123,123,123,123,123,123,123,123,MLG55,14,23,MLG55,92,8,1,5,1011.6567848920822,10.996269401000893
322,322,322,322,322,322,322,322,322,1-0296,22,6,1-0296,41,17,0,10,24.31356978416443,0.5930138971747422
440,440,440,440,440,440,440,440,440,MLG52,10,15,MLG52,125,25,0,59,68.15006172657013,0.5452004938125611
434,434,434,434,434,434,434,434,434,MLG59,1,11,MLG59,71,28,0,13,37.50764071941376,0.528276629850898
399,399,399,399,399,399,399,399,399,MLG60,11,12,MLG60,47,8,0,22,24.089853525161743,0.5125500750034413
387,387,387,387,387,387,387,387,387,1-10539,19,8,1-10539,63,5,0,37,32.060208201408386,0.508892193673149
131,131,131,131,131,131,131,131,131,1-9283,19,8,1-9283,235,22,0,132,118.53912115097046,0.5044217921317892
364,364,364,364,364,364,364,364,364,1-7682,1,11,1-7682,141,44,0,37,71.06020820140839,0.503973107811407
368,368,368,368,368,368,368,368,368,1-5197,9,3,1-5197,72,10,0,33,34.134780287742615,0.4740941706630919
183,183,183,183,183,183,183,183,183,1-9496,1,7,1-9496,39,3,0,21,18.3584965467453,0.47073068068577695
292,292,292,292,292,292,292,292,292,1-9997,3,12,1-9997,16,6,0,2,7.462713956832886,0.46641962230205536
141,141,141,141,141,141,141,141,141,MLG45,21,14,MLG45,70,23,0,12,31.776283740997314,0.45394691058567593
398,398,398,398,398,398,398,398,398,1-0303,15,2,1-0303,212,89,0,8,94.85085582733154,0.4474096972987337
427,427,427,427,427,427,427,427,427,1-9379,20,17,1-9379,58,20,0,8,25.850855827331543,0.4457044108160611
329,329,329,329,329,329,329,329,329,1-1317,9,3,1-1317,414,64,0,158,179.55440258979797,0.4337062864487874
327,327,327,327,327,327,327,327,327,P-16616,10,15,P-16616,28,9,0,4,11.925427913665771,0.42590813977377756
462,462,462,462,462,462,462,462,462,1-1183,2,7,1-1183,45,4,0,20,18.627139568328857,0.4139364348517524
484,484,484,484,484,484,484,484,484,MLG31,12,9,MLG31,33,12,0,2,13.462713956832886,0.4079610289949359
400,400,400,400,400,400,400,400,400,1-18709,4,14,1-18709,33,6,0,10,13.313569784164429,0.4034415086110433
256,256,256,256,256,256,256,256,256,1-9277,18,6,1-9277,48,14,0,7,19.1194988489151,0.39832289268573123
214,214,214,214,214,214,214,214,214,1-0053,1,11,1-0053,142,33,0,32,56.40342330932617,0.39720720640370544
282,282,282,282,282,282,282,282,282,1-1608,19,8,1-1608,307,58,0,85,120.16534316539764,0.3914180559133474
380,380,380,380,380,380,380,380,380,1-7004,13,5,1-7004,381,42,0,145,148.04676187038422,0.3885741781374914
345,345,345,345,345,345,345,345,345,1-1131,10,15,1-1131,138,34,0,25,52.28392446041107,0.37886901782906574
479,479,479,479,479,479,479,479,479,1-9286,19,8,1-9286,81,7,0,32,30.403423309326172,0.3753509050534095
140,140,140,140,140,140,140,140,140,1-2294,9,3,1-2294,75,4,0,33,28.134780287742615,0.3751304038365682
302,302,302,302,302,302,302,302,302,MLG51,17,7,MLG51,248,44,0,66,92.26956057548523,0.3720546797398598
321,321,321,321,321,321,321,321,321,1-5172,6,10,1-5172,120,8,0,50,44.567848920822144,0.3713987410068512
95,95,95,95,95,95,95,95,95,1-3312,4,4,1-3312,36,6,0,10,13.313569784164429,0.36982138289345634
470,470,470,470,470,470,470,470,470,1-1204,8,13,1-1204,39,10,0,6,14.388141870498657,0.36892671462817067
132,132,132,132,132,132,132,132,132,1-9110,12,9,1-9110,29,7,0,5,10.656784892082214,0.36747534110628327
68,68,68,68,68,68,68,68,68,1-7845,22,4,1-7845,36,11,0,3,13.194070935249329,0.36650197042359245
561,561,561,561,561,561,561,561,561,1-9455,5,21,1-9455,2,0,0,1,0.7313569784164429,0.36567848920822144
58,58,58,58,58,58,58,58,58,1-17733,9,3,1-17733,74,8,0,26,27.015281438827515,0.36507137079496643
412,412,412,412,412,412,412,412,412,1-6858,3,18,1-6858,23,1,0,10,8.313569784164429,0.361459555833236
217,217,217,217,217,217,217,217,217,1-9630,15,2,1-9630,33,9,0,4,11.925427913665771,0.3613766034444173
149,149,149,149,149,149,149,149,149,MLG58,22,6,MLG58,71,11,0,20,25.627139568328857,0.36094562772294164
209,209,209,209,209,209,209,209,209,1-9938,4,4,1-9938,55,14,0,8,19.850855827331543,0.36092465140602803
354,354,354,354,354,354,354,354,354,1-9417,9,3,1-9417,76,9,0,25,27.283924460411072,0.3589990060580404
429,429,429,429,429,429,429,429,429,1-6693,21,14,1-6693,98,19,0,22,35.08985352516174,0.3580597298485892
237,237,237,237,237,237,237,237,237,1-9667,5,21,1-9667,14,5,0,0,5.0,0.35714285714285715
225,225,225,225,225,225,225,225,225,1-9650,5,21,1-9650,25,6,0,4,8.925427913665771,0.3570171165466309
346,346,346,346,346,346,346,346,346,MLG32,3,18,MLG32,52,9,0,13,18.507640719413757,0.3559161676810338
446,446,446,446,446,446,446,446,446,1-3534,13,5,1-3534,279,40,0,81,99.23991525173187,0.3556986209739494
540,540,540,540,540,540,540,540,540,1-5413,3,12,1-5413,39,5,0,12,13.776283740997314,0.35323804464095676
208,208,208,208,208,208,208,208,208,1-10468,9,3,1-10468,549,48,0,199,193.54003870487213,0.35253194663911136
385,385,385,385,385,385,385,385,385,1-6974,10,15,1-6974,207,61,0,16,72.70171165466309,0.35121599833170575
272,272,272,272,272,272,272,272,272,1-1570,6,10,1-1570,142,27,0,31,49.67206633090973,0.34980328402049105
161,161,161,161,161,161,161,161,161,MLG41,11,12,MLG41,66,12,0,15,22.970354676246643,0.34803567691282794
316,316,316,316,316,316,316,316,316,1-7441,6,10,1-7441,111,32,0,9,38.582212805747986,0.34758750275448635
542,542,542,542,542,542,542,542,542,1-1191,16,20,1-1191,53,14,0,6,18.388141870498657,0.34694607302827657
162,162,162,162,162,162,162,162,162,1-8067,9,3,1-8067,322,44,0,92,111.28484201431274,0.3456050994233315
401,401,401,401,401,401,401,401,401,1-7204,4,4,1-7204,26,6,0,4,8.925427913665771,0.34328568898714507
531,531,531,531,531,531,531,531,531,1-5891,19,8,1-5891,96,8,0,34,32.86613726615906,0.3423555965224902
426,426,426,426,426,426,426,426,426,1-4355,20,17,1-4355,49,10,0,9,16.582212805747986,0.33841250623975483
390,390,390,390,390,390,390,390,390,MLG64,11,12,MLG64,245,39,0,60,82.88141870498657,0.33829150491831256
244,244,244,244,244,244,244,244,244,MLG57,17,7,MLG57,629,77,0,185,212.30104100704193,0.33752152783313505
497,497,497,497,497,497,497,497,497,1-8493,1,11,1-8493,38,4,0,12,12.776283740997314,0.33621799318413986
363,363,363,363,363,363,363,363,363,1-10785,6,10,1-10785,279,41,0,72,93.65770244598389,0.33569068977055155
499,499,499,499,499,499,499,499,499,1-8627,1,11,1-8627,25,4,0,6,8.388141870498657,0.3355256748199463
268,268,268,268,268,268,268,268,268,MLG44,11,12,MLG44,59,11,0,12,19.776283740997314,0.3351912498474121
564,564,564,564,564,564,564,564,564,1-9034,4,4,1-9034,3,1,0,0,1.0,0.3333333333333333
251,251,251,251,251,251,251,251,251,1-7268,19,8,1-7268,70,2,0,29,23.209352374076843,0.3315621767725263
202,202,202,202,202,202,202,202,202,1-8988,22,6,1-8988,29,3,0,9,9.582212805747986,0.3304211312326892
14,14,14,14,14,14,14,14,14,1-6098,21,14,1-6098,1327,256,0,248,437.37653064727783,0.32959798843050325
355,355,355,355,355,355,355,355,355,1-9498,6,10,1-9498,64,13,0,11,21.04492676258087,0.3288269806653261
139,139,139,139,139,139,139,139,139,1-7863,6,10,1-7863,351,28,0,119,115.0314804315567,0.32772501547452054
488,488,488,488,488,488,488,488,488,1-11350,8,13,1-11350,100,21,0,16,32.701711654663086,0.32701711654663085
138,138,138,138,138,138,138,138,138,1-5515,20,17,1-5515,29,8,0,2,9.462713956832886,0.32630048127009953
143,143,143,143,143,143,143,143,143,1-8928,13,5,1-8928,39,1,0,16,12.701711654663086,0.3256849142221304
328,328,328,328,328,328,328,328,328,1-9497,1,11,1-9497,150,32,0,23,48.821210503578186,0.32547473669052124
221,221,221,221,221,221,221,221,221,1-8023,4,4,1-8023,16,3,0,3,5.194070935249329,0.32462943345308304
99,99,99,99,99,99,99,99,99,1-5775,22,6,1-5775,244,20,0,80,78.50855827331543,0.32175638636604686
522,522,522,522,522,522,522,522,522,1-5282,10,15,1-5282,17,4,0,2,5.462713956832886,0.3213361151078168
121,121,121,121,121,121,121,121,121,1-7070,19,8,1-7070,129,7,0,47,41.373777985572815,0.32072696112847143
452,452,452,452,452,452,452,452,452,1-8529,1,20,1-8529,56,15,0,4,17.92542791366577,0.3200969270297459
248,248,248,248,248,248,248,248,248,1-2400,20,17,1-2400,49,12,0,5,15.656784892082214,0.31952622228739214
73,73,73,73,73,73,73,73,73,1-5355,4,10,1-5355,53,3,0,19,16.895782589912415,0.31878835075306444
516,516,516,516,516,516,516,516,516,1-5036,1,14,1-5036,14,3,0,2,4.462713956832886,0.3187652826309204
279,279,279,279,279,279,279,279,279,MLG43,4,23,MLG43,14,3,0,2,4.462713956832886,0.3187652826309204
445,445,445,445,445,445,445,445,445,1-6538,3,18,1-6538,44,3,0,15,13.970354676246643,0.31750806082378735
454,454,454,454,454,454,454,454,454,1-0272,13,5,1-0272,111,14,0,29,35.20935237407684,0.317201372739431
92,92,92,92,92,92,92,92,92,1-7807,13,5,1-7807,239,29,0,64,75.80684661865234,0.3171834586554491
281,281,281,281,281,281,281,281,281,1-9995,17,7,1-9995,24,1,0,9,7.582212805747986,0.31592553357283276
246,246,246,246,246,246,246,246,246,MLG56,12,9,MLG56,511,115,0,63,161.0754896402359,0.3152162223879372
409,409,409,409,409,409,409,409,409,1-9645,20,17,1-9645,69,20,0,2,21.462713956832886,0.3110538254613462
391,391,391,391,391,391,391,391,391,MLG30,7,1,MLG30,208,42,0,31,64.67206633090973,0.3109233958216814
340,340,340,340,340,340,340,340,340,1-3362,4,4,1-3362,117,21,0,21,36.3584965467453,0.3107563807414128
420,420,420,420,420,420,420,420,420,1-8172,6,10,1-8172,40,8,0,6,12.388141870498657,0.3097035467624664
471,471,471,471,471,471,471,471,471,1-9794,12,9,1-9794,46,12,0,3,14.194070935249329,0.30856675946194195
238,238,238,238,238,238,238,238,238,1-9855,8,13,1-9855,8,1,0,2,2.4627139568328857,0.3078392446041107
539,539,539,539,539,539,539,539,539,1-9436,4,4,1-9436,21,5,0,2,6.462713956832886,0.3077482836587088
319,319,319,319,319,319,319,319,319,1-3584,20,20,1-3584,26,8,0,0,8.0,0.3076923076923077
353,353,353,353,353,353,353,353,353,MLG50,22,6,MLG50,319,43,0,75,97.85177338123322,0.30674537110104455
472,472,472,472,472,472,472,472,472,1-9518,5,21,1-9518,22,6,0,1,6.731356978416443,0.30597077174620196
88,88,88,88,88,88,88,88,88,1-5626,6,10,1-5626,125,13,0,34,37.86613726615906,0.30292909812927243
406,406,406,406,406,406,406,406,406,1-17907,13,5,1-17907,119,14,0,30,35.940709352493286,0.3020227676680108
486,486,486,486,486,486,486,486,486,1-8678,3,18,1-8678,17,0,0,7,5.1194988489151,0.301146991112653
320,320,320,320,320,320,320,320,320,MLG13,3,18,MLG13,140,7,0,48,42.10513496398926,0.3007509640284947
526,526,526,526,526,526,526,526,526,1-5002,3,18,1-5002,45,4,0,13,13.507640719413757,0.30016979376475017
533,533,533,533,533,533,533,533,533,1-7530,12,9,1-7530,25,6,0,2,7.462713956832886,0.2985085582733154
415,415,415,415,415,415,415,415,415,1-1957,1,11,1-1957,47,11,0,4,13.925427913665771,0.2962857002907611
192,192,192,192,192,192,192,192,192,1-9770,9,20,1-9770,50,14,0,1,14.731356978416443,0.29462713956832887
382,382,382,382,382,382,382,382,382,1-18558,8,13,1-18558,307,52,0,52,90.03056287765503,0.2932591624679317
193,193,193,193,193,193,193,193,193,1-9553,4,4,1-9553,23,6,0,1,6.731356978416443,0.29266769471375836
535,535,535,535,535,535,535,535,535,1-5990,19,8,1-5990,5,0,0,2,1.4627139568328857,0.2925427913665771
403,403,403,403,403,403,403,403,403,1-1770,17,7,1-1770,35,0,0,14,10.2389976978302,0.2925427913665771
413,413,413,413,413,413,413,413,413,1-8314,15,23,1-8314,36,1,0,13,10.507640719413757,0.29187890887260437
227,227,227,227,227,227,227,227,227,1-3068,13,5,1-3068,180,29,0,32,52.40342330932617,0.2911301294962565
166,166,166,166,166,166,166,166,166,MLG40,11,12,MLG40,51,6,0,12,14.776283740997314,0.2897310537450454
331,331,331,331,331,331,331,331,331,MLG75,20,17,MLG75,185,47,0,9,53.582212805747986,0.2896335827337729
344,344,344,344,344,344,344,344,344,1-6035,6,10,1-6035,23,3,0,5,6.656784892082214,0.28942543009053107
436,436,436,436,436,436,436,436,436,1-5161,4,4,1-5161,12,2,0,2,3.4627139568328857,0.2885594964027405
549,549,549,549,549,549,549,549,549,1-4842,3,18,1-4842,6,1,0,1,1.7313569784164429,0.2885594964027405
388,388,388,388,388,388,388,388,388,MLG49,17,7,MLG49,185,18,0,48,53.10513496398926,0.2870547835891311
