,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
0,MLG56,18,4,MLG56,511,95,1,45,1105.0257278233769,2.162476962472361
1,MLG54,18,4,MLG54,595,32,1,51,1043.3624915331602,1.7535504059380844
2,1-9286,10,8,1-9286,81,34,0,5,35.11396975815296,0.4335057994833699
3,1-11350,15,15,1-11350,100,42,0,3,42.66838185489178,0.4266838185489178
4,MLG58,14,13,MLG58,71,27,0,6,28.33676370978356,0.3991093480251205
5,1-7268,10,8,1-7268,70,26,0,7,27.559557661414143,0.3937079665916306
6,MLG14,15,15,MLG14,232,81,0,14,84.11911532282829,0.3625823936328806
7,1-1350,10,8,1-1350,195,67,0,11,69.45073346793652,0.3561576075278795
8,1-19286,19,11,1-19286,40,12,0,8,13.78235161304474,0.3445587903261184
9,1-3523,6,6,1-3523,543,148,0,120,174.73527419567108,0.3217960850749007
10,1-1204,8,3,1-1204,39,8,0,18,12.010291129350662,0.3079561828038631
11,1-3596,20,7,1-3596,223,44,0,110,68.50733467936516,0.3072077788312339
12,1-8267,11,9,1-8267,133,25,0,71,40.81837056577206,0.3069050418479102
13,MLG51,17,5,MLG51,248,62,0,62,75.81322500109673,0.3056984879076481
14,1-9333,8,3,1-9333,102,23,0,34,30.57499435544014,0.2997548466219621
15,1-0303,7,12,1-0303,212,52,0,40,60.911758065223694,0.2873196135152061
16,1-0003,10,20,1-0003,17,4,0,3,4.668381854891777,0.2746106973465751
17,1-4682,17,5,1-4682,16,3,0,6,4.336763709783554,0.2710477318614721
18,1-4640,9,14,1-4640,87,17,0,29,23.46102459728717,0.2696669493941055
19,1-6647,15,15,1-6647,62,16,0,0,16.0,0.2580645161290322
20,1-9752,18,4,1-9752,22,5,0,3,5.668381854891777,0.2576537206768989
21,1-3516,11,9,1-3516,156,29,0,50,40.13969758152962,0.2573057537277539
22,1-8503,11,9,1-8503,16,3,0,5,4.113969758152962,0.2571231098845601
23,1-9498,20,7,1-9498,64,13,0,15,16.341909274458885,0.2553423324134201
24,1-8541,20,7,1-8541,232,58,0,4,58.89117580652237,0.2538412750281136
25,MLG29,19,11,MLG29,164,30,0,52,41.5852854847908,0.2535688139316512
26,1-2382,18,4,1-2382,139,31,0,18,35.01029112935066,0.2518725980528825
27,1-4700,3,20,1-4700,31,6,0,8,7.782351613044739,0.251043600420798
28,MLG65,16,18,MLG65,201,20,0,136,50.29997742176056,0.250248643889356
29,1-8532,1,19,1-8532,4,1,0,0,1.0,0.25
30,1-9055,18,4,1-9055,12,3,0,0,3.0,0.25
31,1-17657,10,8,1-17657,8,2,0,0,2.0,0.25
32,1-7608,13,16,1-7608,4,1,0,0,1.0,0.25
33,1-4910,15,15,1-4910,4,1,0,0,1.0,0.25
34,1-7842,2,21,1-7842,21,5,0,1,5.222793951630592,0.248704473887171
35,1-18028,14,13,1-18028,309,63,0,60,76.36763709783554,0.2471444566272994
36,1-3206,6,6,1-3206,45,10,0,5,11.113969758152962,0.2469771057367324
37,1-18558,20,7,1-18558,307,53,0,102,75.72498306632042,0.2466611826264508
38,MLG69,20,7,MLG69,576,95,0,207,141.11834798753262,0.2449971319227996
39,1-4051,8,3,1-4051,5,1,0,1,1.2227939516305923,0.2445587903261184
40,1-8379,18,4,1-8379,5,1,0,1,1.2227939516305923,0.2445587903261184
41,1-4355,14,13,1-4355,49,10,0,8,11.78235161304474,0.2404561553682599
42,1-9805,2,21,1-9805,26,6,0,1,6.222793951630592,0.2393382289088689
43,1-1131,3,20,1-1131,138,28,0,22,32.90146693587303,0.2384164270715437
44,1-5530,17,5,1-5530,7,1,0,3,1.668381854891777,0.2383402649845395
45,1-5002,1,19,1-5002,45,10,0,3,10.668381854891775,0.2370751523309283
46,MLG32,2,21,MLG32,52,12,0,1,12.222793951630592,0.2350537298390498
47,MLG07,18,4,MLG07,90,21,0,0,21.0,0.2333333333333333
48,1-8397,10,8,1-8397,51,11,0,4,11.89117580652237,0.2331603099318111
49,1-1580,15,15,1-1580,400,47,0,203,92.22717218101025,0.2305679304525256
50,1-0296,4,22,1-0296,41,7,0,11,9.450733467936516,0.230505694339915
51,1-6611,11,9,1-6611,89,14,0,29,20.46102459728717,0.2298991527785076
52,1-9902,18,4,1-9902,30,6,0,4,6.891175806522369,0.2297058602174123
53,1-1608,10,8,1-1608,307,64,0,27,70.015436694026,0.228063311706925
54,1-4390,9,14,1-4390,45,8,0,10,10.227939516305923,0.2272875448067983
55,1-8627,10,8,1-8627,25,5,0,3,5.668381854891777,0.226735274195671
56,1-9739,15,15,1-9739,31,7,0,0,7.0,0.2258064516129032
57,1-8042,2,12,1-8042,52,9,0,12,11.673527419567108,0.224490911914752
58,MLG57,17,5,MLG57,629,77,0,284,140.27348226308823,0.2230103056646871
59,1-5913,8,3,1-5913,14,2,0,5,3.1139697581529617,0.2224264112966401
60,1-8928,7,12,1-8928,39,6,0,12,8.673527419567108,0.2223981389632592
61,1-7845,14,13,1-7845,36,6,0,9,8.005145564675331,0.2223651545743147
62,1-9731,4,22,1-9731,11,2,0,2,2.4455879032611847,0.222326173023744
63,1-9457,15,15,1-9457,11,2,0,2,2.4455879032611847,0.222326173023744
64,1-0358,7,12,1-0358,22,4,0,4,4.891175806522369,0.222326173023744
65,MLG50,17,5,MLG50,319,48,0,99,70.05660121142864,0.2196131699417825
66,1-9887,4,22,1-9887,36,5,0,13,7.8963213711977,0.2193422603110472
67,MLG31,15,19,MLG31,33,7,0,1,7.222793951630592,0.2188725439888058
68,MLG68,14,13,MLG68,642,80,0,271,140.37716089189053,0.2186560138502967
69,1-2324,13,16,1-2324,25,5,0,2,5.445587903261185,0.2178235161304474
70,MLG06,11,9,MLG06,18,3,0,4,3.8911758065223694,0.2161764336956871
71,1-8285,10,8,1-8285,72,14,0,7,15.559557661414146,0.2161049675196409
72,1-4149,6,6,1-4149,16,3,0,2,3.4455879032611847,0.215349243953824
73,1-8095,1,19,1-8095,46,8,0,8,9.78235161304474,0.2126598176748856
74,1-4760,6,6,1-4760,40,6,0,11,8.450733467936516,0.2112683366984128
75,1-7964,6,6,1-7964,202,40,0,12,42.67352741956711,0.2112550862354807
76,1-13247,3,9,1-13247,29,1,0,23,6.124260887503624,0.211181409913918
77,72-12171,8,3,72-12171,19,2,0,9,4.005145564675331,0.2107971349829121
78,1-9227,9,14,1-9227,801,86,0,367,167.7653802484274,0.2094449191615822
79,1-19448,3,20,1-19448,45,8,0,6,9.336763709783554,0.2074836379951901
80,1-9338,15,15,1-9338,29,6,0,0,6.0,0.2068965517241379
81,1-7024,7,12,1-7024,498,85,0,79,102.6007221788168,0.2060255465438088
82,MLG67,13,16,MLG67,27,4,0,7,5.559557661414146,0.2059095430153387
83,1-17733,17,5,1-17733,74,11,0,19,15.233085080981256,0.2058525010943412
84,MLG40,2,21,MLG40,51,10,0,2,10.445587903261185,0.2048154490835526
85,MLG78,20,7,MLG78,80,13,0,15,16.341909274458885,0.204273865930736
86,MLG63,6,6,MLG63,380,63,0,62,76.81322500109673,0.2021400657923598
87,1-19004,14,13,1-19004,60,11,0,5,12.113969758152962,0.201899495969216
88,1-10785,7,12,1-10785,279,40,0,73,56.26395846903324,0.2016629335807643
89,1-8023,2,21,1-8023,16,3,0,1,3.2227939516305923,0.201424621976912
90,1-1191,3,20,1-1191,53,8,0,12,10.673527419567108,0.2013873098031529
91,1-7863,7,12,1-7863,351,56,0,65,70.4816068559885,0.20080229873501
92,1-17790,17,5,1-17790,5,1,0,0,1.0,0.2
93,1-7521,3,20,1-7521,10,2,0,0,2.0,0.2
94,1-5990,15,15,1-5990,5,1,0,0,1.0,0.2
95,MLG08,15,15,MLG08,107,21,0,1,21.222793951630592,0.1983438687068279
96,1-7682,10,7,1-7682,141,14,0,62,27.813225001096725,0.1972569149013952
97,1-3362,11,9,1-3362,117,17,0,27,23.015436694026,0.1967131341369743
98,1-7807,11,9,1-7807,239,18,0,130,46.963213711977005,0.1964988021421632
99,1-3535,8,3,1-3535,315,32,0,134,61.854389518499374,0.1963631413285694
100,1-7744,15,15,1-7744,37,7,0,1,7.222793951630592,0.1952106473413673
101,1-8314,3,20,1-8314,36,1,0,27,7.015436694025993,0.194873241500722
102,1-2034,16,18,1-2034,16,2,0,5,3.1139697581529617,0.1946231098845601
103,1-7058,1,19,1-7058,80,15,0,2,15.445587903261185,0.1930698487907648
104,1-9283,10,8,1-9283,235,33,0,55,45.25366733968258,0.1925687971901386
105,MLG60,17,5,MLG60,47,5,0,18,9.010291129350662,0.1917083219010779
106,1-6974,8,3,1-6974,207,7,0,146,39.52791693806648,0.1909561204737511
107,1-1769,4,22,1-1769,89,12,0,22,16.90146693587303,0.1899041228749778
108,1-9996,20,7,1-9996,28,5,0,1,5.222793951630592,0.1865283554153783
109,1-9491,3,20,1-9491,80,12,0,13,14.8963213711977,0.1862040171399712
110,1-1005,19,11,1-1005,125,10,0,58,22.92204919457436,0.1833763935565948
111,1-1833,8,3,1-1833,124,4,0,84,22.71469193696976,0.1831829994916916
112,1-4855,10,8,1-4855,22,4,0,0,4.0,0.1818181818181818
113,1-2335,8,3,1-2335,145,17,0,42,26.35734596848488,0.1817747997826543
114,1-3587,3,20,1-3587,46,7,0,6,8.336763709783554,0.1812339936909468
115,1-5163,20,7,1-5163,16,2,0,4,2.8911758065223694,0.1806984879076481
116,1-2714,6,6,1-2714,61,9,0,9,11.005145564675331,0.1804122223717267
117,1-7866,6,6,1-7866,318,29,0,127,57.29483185708523,0.1801724272235384
118,1-7122,14,20,1-7122,197,17,0,83,35.491897985339165,0.1801619187073054
119,1-3584,6,11,1-3584,26,2,0,12,4.673527419567108,0.1797510545987349
120,MLG52,18,4,MLG52,125,20,0,11,22.45073346793652,0.1796058677434921
121,1-6217,20,7,1-6217,44,7,0,4,7.891175806522369,0.1793449046936902
122,1-1462,9,14,1-1462,192,23,0,51,34.36249153316021,0.1789713100685427
123,MLG53,17,5,MLG53,91,14,0,10,16.227939516305923,0.1783290056736914
