,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
0,MLG59,6,15,MLG59,71,33,0,8,35.799431800842285,0.5042173493076378
1,1-9379,2,10,1-9379,58,20,0,18,26.29872155189514,0.4534262336533645
2,1-1183,16,12,1-1183,45,3,0,49,20.146519780159,0.4477004395590888
3,MLG75,7,13,MLG75,185,57,0,40,70.99715900421143,0.3837684270497914
4,MLG45,12,6,MLG45,70,23,0,8,25.799431800842285,0.368563311440604
5,1-3535,16,12,1-3535,315,58,0,165,115.73828089237212,0.3674231139440385
6,1-6692,14,18,1-6692,71,23,0,8,25.799431800842285,0.3633722788851026
7,1-18371,16,12,1-18371,120,31,0,34,42.89758515357971,0.3574798762798309
8,MLG52,9,17,MLG52,125,27,0,50,44.49644875526428,0.3559715900421142
9,1-3587,14,18,1-3587,46,14,0,3,15.049786925315855,0.3271692809851273
10,MLG41,3,4,MLG41,66,18,0,9,21.14936077594757,0.3204448602416299
11,1-9333,4,15,1-9333,102,12,0,59,32.64580953121185,0.3200569561883515
12,1-2282,2,10,1-2282,219,50,0,52,68.19630670547485,0.3113986607555929
13,1-9870,6,15,1-9870,27,8,0,1,8.349928975105286,0.3092566287076032
14,1-19286,7,13,1-19286,40,7,0,15,12.248934626579285,0.3062233656644821
15,1-7122,17,8,1-7122,197,20,0,115,60.24183213710785,0.3057961022188216
16,1-7682,6,9,1-7682,141,21,0,63,43.045525431633,0.3052874144087446
17,1-4020,16,12,1-4020,37,7,0,12,11.199147701263428,0.3026796676017143
18,1-7070,16,12,1-7070,129,33,0,17,38.948792576789856,0.3019286246262779
19,1-7004,22,16,1-7004,381,31,0,234,112.88338017463684,0.2962818377287056
20,MLG60,14,16,MLG60,47,10,0,11,13.849218726158142,0.2946642282161307
21,1-6561,11,11,1-6561,65,12,0,20,18.99857950210572,0.292285838493934
22,1-7496,9,17,1-7496,246,46,0,72,71.19488620758057,0.2894101065348803
23,1-5002,5,24,1-5002,45,13,0,0,13.0,0.2888888888888888
24,P-0009,4,5,P-0009,7,2,0,0,2.0,0.2857142857142857
25,1-6647,22,16,1-6647,62,6,0,33,17.547656178474426,0.2830267125560391
26,1-9110,10,3,1-9110,29,5,0,9,8.14936077594757,0.2810124405499162
27,MLG62,3,4,MLG62,525,7,0,401,147.32151901721954,0.2806124171756562
28,1-9055,4,5,1-9055,12,3,0,1,3.3499289751052856,0.2791607479254405
29,1-9270,11,11,1-9270,128,31,0,13,35.54907667636871,0.2777271615341306
30,1-7441,11,11,1-7441,111,7,0,68,30.795170307159424,0.277433966731166
31,1-8578,12,6,1-8578,11,2,0,3,3.049786925315857,0.277253356846896
32,1-9518,12,6,1-9518,22,4,0,6,6.099573850631714,0.277253356846896
33,MLG54,13,2,MLG54,595,31,0,382,164.67286849021912,0.2767611235129733
34,1-17835,17,19,1-17835,17,4,0,2,4.699857950210571,0.2764622323653277
35,1-1942,21,6,1-1942,34,8,0,4,9.399715900421144,0.2764622323653277
36,MLG65,13,2,MLG65,201,53,0,7,55.449502825737,0.2758681732623731
37,1-1131,13,2,1-1131,138,37,0,3,38.04978692531586,0.2757230936617091
38,1-1462,21,14,1-1462,192,8,0,127,52.44097983837128,0.2731301033248504
39,1-9697,1,9,1-9697,20,3,0,7,5.449502825737,0.2724751412868499
40,1-0278,6,15,1-0278,79,11,0,30,21.49786925315857,0.2721249272551718
41,1-17907,4,5,1-17907,119,26,0,18,32.29872155189514,0.271417828167186
42,1-9156,16,12,1-9156,268,51,0,62,72.69559645652771,0.2712522255840586
43,1-18935,1,9,1-18935,30,6,0,6,8.099573850631714,0.2699857950210571
44,MLG78,14,18,MLG78,80,16,0,16,21.59886360168457,0.2699857950210571
45,72-12171,8,7,72-12171,19,3,0,6,5.099573850631714,0.2683986237174586
