,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
0,MLG65,1,21,MLG65,201,22,0,145,152.60933500528336,0.7592504229118575
1,1-6858,18,6,1-6858,23,10,0,7,16.30527824163437,0.7089251409406248
2,1-5775,9,12,1-5775,244,92,0,85,168.56409293413162,0.6908364464513591
3,1-7005,11,3,1-7005,285,32,0,172,186.92969393730164,0.6558936629379005
4,1-1942,11,3,1-1942,34,8,0,14,20.61055648326873,0.6061928377431982
5,1-8627,17,14,1-8627,25,11,0,4,14.603016138076782,0.5841206455230713
6,MLG59,5,16,MLG59,71,10,0,34,40.62563717365265,0.5721920728683472
7,1-1989,17,14,1-1989,46,20,0,4,23.603016138076782,0.51310904647993
8,MLG48,10,15,MLG48,159,18,0,70,81.05278241634369,0.5097659271468157
9,1-7004,8,5,1-7004,381,7,0,206,192.55533111095428,0.5053945698450244
10,1-7024,7,18,1-7024,498,47,0,222,246.9673956632614,0.4959184651872719
11,1-1570,6,11,1-1570,142,21,0,53,68.73996382951736,0.4840842523205448
12,1-5355,10,15,1-5355,53,18,0,8,25.206032276153564,0.4755855146444069
13,1-18371,7,18,1-18371,120,17,0,44,56.633177518844604,0.4719431459903717
14,1-1462,11,3,1-1462,192,17,0,81,89.96107679605484,0.4685472749794523
15,1-6692,21,7,1-6692,71,6,0,30,33.02262103557587,0.4651073385292376
16,1-13247,8,22,1-13247,29,9,0,4,12.603016138076782,0.434586763381958
17,1-6693,4,9,1-6693,98,17,0,28,42.22111296653748,0.430827683332015
18,MLG10,16,8,MLG10,60,11,0,16,25.41206455230713,0.4235344092051188
19,1-3139,11,3,1-3139,93,6,0,37,39.32789927721024,0.4228806373893574
20,1-0055,7,14,1-0055,18,4,0,4,7.603016138076782,0.4223897854487101
21,MLG52,17,14,MLG52,125,12,0,45,52.5339315533638,0.4202714524269104
22,1-18558,12,13,1-18558,307,42,0,95,127.57163327932358,0.4155427794114774
23,MLG62,12,13,MLG62,525,65,0,168,216.32667779922485,0.4120508148556664
24,MLG13,11,3,MLG13,140,14,0,48,57.23619365692139,0.4088299546922956
25,1-8042,17,14,1-8042,52,14,0,8,21.206032276153564,0.4078083130029531
26,1-3535,21,7,1-3535,315,46,0,91,127.9686171412468,0.4062495782261803
27,1-9227,11,3,1-9227,801,45,0,311,325.1345047354698,0.4059107424912232
28,MLG32,2,22,MLG32,52,13,0,9,21.10678631067276,0.4058997367437069
29,1-7874,6,11,1-7874,258,8,0,107,104.38068169355392,0.4045762856339299
30,1-6974,21,7,1-6974,207,18,0,72,82.85429048538208,0.4002622728762419
31,1-8100,9,12,1-8100,19,4,0,4,7.603016138076782,0.4001587441093043
32,1-7467,10,15,1-7467,64,22,0,4,25.603016138076782,0.4000471271574497
33,1-8566,1,21,1-8566,5,2,0,0,2.0,0.4
34,1-5990,9,12,1-5990,5,2,0,0,2.0,0.4
35,1-19286,2,22,1-19286,40,6,0,11,15.908294379711151,0.3977073594927788
36,MLG29,4,9,MLG29,164,36,0,32,64.82412910461426,0.3952690799061845
37,1-19448,7,18,1-19448,45,5,0,14,17.610556483268738,0.3913456996281941
38,1-10060,10,23,1-10060,36,14,0,0,14.0,0.3888888888888889
39,1-5282,22,17,1-5282,17,3,0,4,6.603016138076782,0.3884127140045166
40,1-8622,21,7,1-8622,54,1,0,22,20.816588759422302,0.3854923844337463
41,1-7122,19,23,1-7122,197,11,0,72,75.85429048538208,0.3850471598242745
42,1-6900,12,13,1-6900,67,14,0,13,25.709802448749542,0.3837283947574558
43,MLG40,21,6,MLG40,51,15,0,5,19.50377017259597,0.3824268661293329
44,MLG58,2,22,MLG58,71,19,0,9,27.10678631067276,0.3817857226855318
45,1-3312,4,9,1-3312,36,2,0,13,13.709802448749542,0.3808278457985984
46,1-8285,17,14,1-8285,72,13,0,16,27.41206455230713,0.3807231187820434
47,1-4020,17,14,1-4020,37,4,0,11,13.908294379711151,0.3758998481003013
48,1-8341,11,3,1-8341,197,20,0,60,74.04524207115173,0.3758641729500088
49,1-9578,19,23,1-9578,42,13,0,3,15.702262103557588,0.3738633834180377
50,1-8124,22,17,1-8124,18,4,0,3,6.702262103557587,0.3723478946420882
51,1-9286,21,7,1-9286,81,4,0,29,30.12186700105667,0.3718749012476132
52,MLG14,22,17,MLG14,232,54,0,35,85.52639120817184,0.3686482379662579
53,1-8705,10,15,1-8705,48,4,0,15,17.511310517787933,0.3648189691205819
54,1-9416,7,18,1-9416,13,2,0,3,4.702262103557587,0.3617124695044297
55,1-3052,11,3,1-3052,166,13,0,52,59.83920979499817,0.360477167439748
56,1-9270,6,11,1-9270,128,17,0,32,45.82412910461426,0.3580010086297989
57,1-9495,10,15,1-9495,18,1,0,6,6.404524207115173,0.3558069003952874
58,1-3509,16,19,1-3509,35,7,0,6,12.404524207115172,0.3544149773461478
59,1-17835,5,16,1-17835,17,6,0,0,6.0,0.3529411764705882
60,1-7441,6,11,1-7441,111,4,0,39,39.12940734624863,0.3525171832995372
61,1-8988,5,16,1-8988,29,2,0,9,10.10678631067276,0.3485098727818193
62,1-3596,12,13,1-3596,223,29,0,54,77.64071786403656,0.3481646540988186
63,1-10468,18,1,1-10468,549,88,0,114,190.6859599351883,0.3473332603555342
64,1-8544,8,5,1-8544,54,7,0,13,18.709802448749542,0.3464778231249915
65,1-9752,14,6,1-9752,22,4,0,4,7.603016138076782,0.3455916426398537
66,1-9283,17,14,1-9283,235,24,0,63,80.74750417470932,0.3436064007434439
67,P-16616,3,24,P-16616,28,6,0,4,9.603016138076782,0.3429648620741708
68,1-5981,16,19,1-5981,28,5,0,5,9.503770172595978,0.3394203633069992
69,1-9609,4,9,1-9609,25,3,0,6,8.404524207115173,0.3361809682846069
70,1-3362,8,5,1-3362,117,6,0,37,39.32789927721024,0.3361358912582071
71,1-6098,4,9,1-6098,1327,150,0,328,445.44732332229614,0.3356799723604342
72,1-2400,8,5,1-2400,49,2,0,16,16.41206455230713,0.3349400929042271
73,1-5914,1,21,1-5914,3,1,0,0,1.0,0.3333333333333333
74,1-9034,1,21,1-9034,3,1,0,0,1.0,0.3333333333333333
75,1-9076,20,2,1-9076,9,3,0,0,3.0,0.3333333333333333
76,1-7614,13,8,1-7614,72,24,0,0,24.0,0.3333333333333333
77,1-0205,22,17,1-0205,34,5,0,7,11.305278241634367,0.3325081835774814
78,MLG60,19,23,MLG60,47,11,0,5,15.503770172595978,0.3298674504807655
79,1-9417,18,1,1-9417,76,7,0,20,25.01508069038391,0.329145798557683
80,1-11329,2,22,1-11329,14,1,0,4,4.603016138076782,0.3287868670054844
81,1-5803,2,22,1-5803,15,4,0,1,4.900754034519196,0.326716935634613
82,1-1592,2,22,1-1592,32,5,0,6,10.404524207115172,0.3251413814723491
83,1-9925,4,9,1-9925,93,5,0,28,30.22111296653748,0.3249582039412632
84,MLG63,21,7,MLG63,380,17,0,117,122.38822203874588,0.3220742685230154
85,1-11350,13,8,1-11350,100,25,0,8,32.206032276153564,0.3220603227615356
86,1-4417,5,16,1-4417,151,8,0,45,48.5339315533638,0.3214167652540649
87,MLG44,4,9,MLG44,59,9,0,11,18.90829437971115,0.3204795657578161
88,1-5654,1,14,1-5654,15,3,0,2,4.801508069038391,0.3201005379358927
89,1-2324,20,2,1-2324,25,8,0,0,8.0,0.32
90,1-1350,20,2,1-1350,195,62,0,0,62.0,0.3179487179487179
91,1-20012,1,21,1-20012,12,2,0,2,3.801508069038391,0.3167923390865326
92,MLG54,15,20,MLG54,595,17,0,190,188.1432665586472,0.3162071706868019
93,1-9156,14,6,1-9156,268,62,0,25,84.51885086297989,0.3153688465036563
94,1-9794,9,12,1-9794,46,10,0,5,14.503770172595978,0.3152993515781734
95,MLG41,1,21,MLG41,66,10,0,12,20.809048414230347,0.3152886123368234
96,1-6561,6,11,1-6561,65,6,0,16,20.41206455230713,0.3140317623431866
97,1-19915,6,11,1-19915,62,5,0,16,19.41206455230713,0.3130978153597924
98,1-7268,17,14,1-7268,70,11,0,12,21.809048414230347,0.3115578344890049
99,MLG06,2,22,MLG06,18,2,0,4,5.603016138076782,0.311278674337599
100,1-9887,5,16,1-9887,36,4,0,8,11.206032276153564,0.311278674337599
101,1-5980,4,2,1-5980,29,9,0,0,9.0,0.3103448275862069
102,1-4531,11,3,1-4531,94,12,0,19,29.11432665586472,0.3097268793177097
103,1-5161,7,14,1-5161,12,1,0,3,3.702262103557586,0.3085218419631322
104,1-18994,2,22,1-18994,28,5,0,4,8.603016138076782,0.307250576359885
105,1-4682,19,23,1-4682,16,4,0,1,4.900754034519196,0.3062971271574497
106,1-9722,2,22,1-9722,22,4,0,3,6.702262103557587,0.3046482774344357
107,1-7991,20,2,1-7991,46,14,0,0,14.0,0.3043478260869565
108,1-4649,15,20,1-4649,244,31,0,48,74.23619365692139,0.3042466953152515
109,1-9394,22,17,1-9394,117,22,0,15,35.51131051778793,0.3035154745110079
110,1-5515,9,12,1-5515,29,7,0,2,8.801508069038391,0.3035002782427031
111,1-18709,4,9,1-18709,33,1,0,10,10.007540345191956,0.3032587983391501
112,1-4319,18,1,1-4319,163,17,0,36,49.42714524269104,0.30323401989381
113,MLG69,12,13,MLG69,576,51,0,137,174.4033027291298,0.302783511682517
114,1-9838,10,15,1-9838,3,0,0,1,0.9007540345191956,0.3002513448397318
115,1-10762,6,11,1-10762,6,0,0,2,1.8015080690383911,0.3002513448397318
116,1-9971,12,13,1-9971,15,0,0,5,4.503770172595978,0.3002513448397318
117,1-8095,6,11,1-8095,46,3,0,12,13.809048414230348,0.3001967046571814
118,1-9518,10,15,1-9518,22,3,0,4,6.603016138076782,0.3001370971853083
119,1-0031,12,13,1-0031,13,3,0,1,3.900754034519196,0.3000580026553227
120,1-5555,19,23,1-5555,10,3,0,0,3.0,0.3
121,1-6181,10,15,1-6181,659,101,0,106,196.4799276590348,0.2981486003930724
122,1-1957,20,2,1-1957,47,14,0,0,14.0,0.2978723404255319
123,1-8172,2,22,1-8172,40,2,0,11,11.908294379711151,0.2977073594927787
124,1-9697,6,23,1-9697,20,5,0,1,5.900754034519196,0.2950377017259598
125,1-9770,9,19,1-9770,50,3,0,13,14.709802448749542,0.2941960489749908
126,1-5163,21,7,1-5163,16,2,0,3,4.702262103557587,0.2938913814723491
127,1-17907,8,5,1-17907,119,7,0,31,34.92337507009506,0.2934737400848324
128,1-8018,7,18,1-8018,58,7,0,11,16.90829437971115,0.2915223168915716
