,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
0,1-5002,1,14,1-5002,45,12,1,8,1019.6125693321228,22.658057096269395
1,MLG41,13,22,MLG41,66,0,1,5,1004.7578558325768,15.223603876251165
2,1-9491,14,12,1-9491,80,22,1,15,1036.2735674977305,12.953419593721629
3,1-4417,13,10,1-4417,151,48,1,41,1087.0144178271294,7.198770978987612
4,1-3596,1,22,1-3596,223,0,1,14,1013.3219963312148,4.544044826597376
5,1-1608,14,12,1-1608,307,83,1,94,1172.447689652443,3.819047849030759
6,MLG63,13,10,MLG63,380,113,1,57,1167.239556491375,3.071683043398356
7,MLG56,12,14,MLG56,511,92,1,43,1132.91756016016,2.2170598046187084
8,1-1989,6,15,1-1989,46,7,0,46,50.77227365970612,1.1037450795588286
9,1-9333,6,15,1-9333,102,28,0,78,102.22255098819733,1.0021818724333071
10,1-1183,8,13,1-1183,45,5,0,42,44.96598899364472,0.9992441998587714
11,1-6974,6,15,1-6974,207,9,0,137,139.365249812603,0.6732620763893865
12,MLG44,13,10,MLG44,59,29,0,10,38.5157116651535,0.6528086722907374
13,1-9379,11,2,1-9379,58,28,0,9,36.56414049863815,0.6304162154937613
14,MLG59,10,8,MLG59,71,40,0,5,44.75785583257675,0.6303923356700951
15,1-8267,8,13,1-8267,133,35,0,46,78.77227365970612,0.5922727342835046
16,MLG32,17,5,MLG32,52,19,0,12,30.418853998184204,0.5849779615035424
17,1-9496,15,11,1-9496,39,7,0,16,22.225138664245605,0.5698753503652719
18,1-9808,17,5,1-9808,74,6,0,37,41.20813316106796,0.5568666643387562
19,1-18709,15,3,1-18709,33,5,0,14,18.321996331214905,0.5552120100368153
20,MLG58,20,16,MLG58,71,24,0,16,39.225138664245605,0.5524667417499382
21,MLG29,15,3,MLG29,164,65,0,26,89.74085032939911,0.54720030688658
22,1-0292,18,6,1-0292,99,12,0,44,53.869131326675415,0.544132639663388
23,1-3108,2,18,1-3108,18,5,0,5,9.757855832576752,0.5421031018098196
24,1-7614,16,11,1-7614,72,0,0,41,39.01441782712936,0.5418669142656856
25,1-10539,14,12,1-10539,63,13,0,22,33.93456566333771,0.5386438994180589
26,1-3206,5,9,1-3206,45,9,0,16,24.225138664245605,0.5383364147610135
27,1-4760,8,13,1-4760,40,9,0,13,21.370425164699554,0.5342606291174888
28,1-18615,18,6,1-18615,22,6,0,6,11.709426999092102,0.5322466817769137
29,1-2103,20,16,1-2103,26,10,0,4,13.8062846660614,0.5310109486946692
30,1-9286,14,12,1-9286,81,22,0,22,42.93456566333771,0.5300563662140457
31,1-7839,18,6,1-7839,24,7,0,6,12.709426999092102,0.5295594582955042
32,1-19915,11,2,1-19915,62,27,0,6,32.7094269990921,0.5275714032111629
33,1-9416,18,6,1-9416,13,4,0,3,6.854713499546051,0.5272856538112347
34,1-18558,5,9,1-18558,307,43,0,124,160.99482464790344,0.5244131096022914
