,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
0,MLG14,18,15,MLG14,232,64,1,11,1068.8974661529064,4.607316664452183
1,MLG56,10,12,MLG56,511,91,1,35,1106.5828468501568,2.165524162133379
2,MLG54,10,12,MLG54,595,55,1,23,1065.2401565015316,1.7903195907588767
3,MLG68,18,15,MLG68,642,56,1,56,1080.9325549602509,1.683695568473911
4,1-5355,21,7,1-5355,53,24,0,22,33.79493230581284,0.6376402321851479
5,MLG64,12,5,MLG64,245,79,0,82,115.50838404893877,0.4714627920364847
6,1-7807,8,3,1-7807,239,86,0,53,109.59688237309456,0.4585643613937011
7,1-7866,11,6,1-7866,318,84,0,113,134.31033411622047,0.4223595412459763
8,MLG52,16,9,MLG52,125,40,0,27,52.02105328440666,0.4161684262752533
9,1-8074,9,7,1-8074,145,49,0,25,60.13060489296913,0.414693826848063
10,1-7682,5,19,1-7682,141,57,0,3,58.335672587156296,0.413728174376995
11,1-2545,11,6,1-2545,145,35,0,52,58.15165817737579,0.4010459184646606
12,1-4760,18,15,1-4760,40,15,0,2,15.89044839143753,0.3972612097859382
13,1-9333,9,20,1-9333,102,30,0,22,39.79493230581284,0.3901463951550278
14,MLG51,14,13,MLG51,248,49,0,106,96.19376474618912,0.3878780836539884
15,MLG44,12,5,MLG44,59,16,0,14,22.23313874006272,0.3768328600010629
16,MLG13,12,5,MLG13,140,38,0,29,50.91150167584419,0.3636535833988871
17,1-10785,21,7,1-10785,279,84,0,37,100.47329524159431,0.3601193377834921
18,1-3535,9,14,1-3535,315,57,0,117,109.09123089909554,0.3463213679336366
19,1-9237,21,7,1-9237,38,9,0,9,13.007017761468887,0.3422899410912865
20,1-9630,13,8,1-9630,33,9,0,5,11.226120978593826,0.3401854841998129
21,1-3312,12,5,1-3312,36,5,0,16,12.123587131500244,0.3367663092083401
22,1-8042,11,6,1-8042,52,13,0,10,17.452241957187653,0.335620037638224
23,1-1989,9,14,1-1989,46,2,0,30,15.356725871562958,0.3338418667731078
24,1-5913,9,14,1-5913,14,2,0,6,4.671345174312592,0.3336675124508994
25,1-18004,10,12,1-18004,12,4,0,0,4.0,0.3333333333333333
26,1-3523,11,6,1-3523,543,99,0,176,177.35945844650269,0.3266288369180528
27,1-9946,21,7,1-9946,12,3,0,2,3.8904483914375305,0.3242040326197942
28,1-3596,17,4,1-3596,223,53,0,42,71.69941622018814,0.3215220458304401
29,MLG69,17,4,MLG69,576,170,0,31,183.80195006728167,0.3191006077556974
30,1-9761,8,3,1-9761,35,8,0,7,11.116569370031357,0.3176162677151816
31,1-4640,8,3,1-4640,87,19,0,19,27.45925971865654,0.3156236749270866
32,1-1850,6,20,1-1850,30,5,0,10,9.452241957187653,0.315074731906255
33,1-7213,4,21,1-7213,23,5,0,5,7.226120978593826,0.3141791729823402
34,1-6909,10,12,1-6909,36,9,0,5,11.226120978593826,0.3118366938498285
35,1-0292,3,18,1-0292,99,14,0,37,30.473295241594315,0.3078110630464072
36,1-0031,17,4,1-0031,13,4,0,0,4.0,0.3076923076923077
37,1-8551,8,3,1-8551,38,9,0,6,11.671345174312592,0.3071406624819103
38,1-3104,4,21,1-3104,16,4,0,2,4.8904483914375305,0.3056530244648456
39,1-5531,1,23,1-5531,8,2,0,1,2.4452241957187653,0.3056530244648456
40,1-7070,13,8,1-7070,129,32,0,16,39.12358713150024,0.3032836211744205
41,1-5981,11,6,1-5981,28,8,0,1,8.445224195718765,0.3016151498470987
42,P-16616,20,24,P-16616,28,8,0,1,8.445224195718765,0.3016151498470987
43,MLG58,1,23,MLG58,71,20,0,3,21.335672587156296,0.3005024308050182
44,1-9576,5,19,1-9576,10,3,0,0,3.0,0.3
45,1-18487,13,8,1-18487,23,6,0,2,6.8904483914375305,0.2995847126711969
46,1-4052,10,12,1-4052,13,3,0,2,3.8904483914375305,0.29926526087981
47,1-4355,11,6,1-4355,49,10,0,10,14.452241957187653,0.2949437134119929
48,1-4747,10,12,1-4747,25,6,0,3,7.335672587156296,0.2934269034862518
49,1-7845,18,15,1-7845,36,7,0,8,10.561793565750122,0.2933831546041701
50,1-7058,20,24,1-7058,80,0,0,52,23.1516581773758,0.2893957272171974
51,1-5424,1,23,1-5424,5,1,0,1,1.4452241957187653,0.289044839143753
52,1-4136,6,20,1-4136,5,1,0,1,1.4452241957187653,0.289044839143753
53,1-5161,11,6,1-5161,12,3,0,1,3.4452241957187653,0.2871020163098971
54,1-19205,14,13,1-19205,12,3,0,1,3.4452241957187653,0.2871020163098971
55,1-8157,9,14,1-8157,75,9,0,28,21.466277480125427,0.286217033068339
56,1-9447,17,4,1-9447,7,2,0,0,2.0,0.2857142857142857
57,P-0009,17,4,P-0009,7,2,0,0,2.0,0.2857142857142857
58,1-6692,9,14,1-6692,71,14,0,14,20.23313874006272,0.2849737850713058
59,1-0296,11,6,1-0296,41,9,0,6,11.671345174312592,0.2846669554710388
60,1-1957,5,19,1-1957,47,12,0,3,13.335672587156296,0.2837377146203467
