,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
0,MLG32,2,18,MLG32,52,26,0,1,26.56781768798828,0.5109195709228516
1,1-7024,11,10,1-7024,498,78,0,287,240.96367645263672,0.4838628041217604
2,MLG29,5,13,MLG29,164,39,0,66,76.47596740722656,0.4663168744343083
3,1-4494,1,18,1-4494,16,4,0,5,6.839088439941406,0.4274430274963379
4,1-9491,1,19,1-9491,80,14,0,34,33.30580139160156,0.4163225173950195
5,MLG40,17,7,MLG40,51,17,0,7,20.97472381591797,0.4112690944297641
6,1-9283,21,9,1-9283,235,67,0,45,92.55179595947266,0.3938374296147772
7,MLG45,1,19,MLG45,70,11,0,27,26.3310775756836,0.3761582510811942
8,1-7819,7,8,1-7819,59,21,0,2,22.13563537597656,0.3751802606097722
9,MLG75,11,10,MLG75,185,50,0,34,69.30580139160156,0.3746259534681165
10,1-1608,15,4,1-1608,307,72,0,74,114.0185089111328,0.3713957944988039
11,MLG14,14,12,MLG14,232,71,0,22,83.49198913574219,0.3598792635161301
12,1-3447,18,15,1-3447,110,3,0,64,39.34033203125,0.3576393821022727
13,MLG35,17,7,MLG35,49,14,0,6,17.406906127929688,0.3552429822026466
14,1-7866,7,8,1-7866,318,85,0,45,110.55179595947266,0.3476471571052599
15,1-9379,11,19,1-9379,58,3,0,30,20.03453063964844,0.3454229420629041
16,MLG64,17,7,MLG64,245,40,0,78,84.28977966308594,0.3440399169921875
17,1-10785,6,3,1-10785,279,31,0,114,95.73121643066406,0.3431226395364303
18,MLG65,17,7,MLG65,201,16,0,93,68.80704498291016,0.34232360688015
19,1-7005,18,15,1-7005,285,3,0,160,93.850830078125,0.3293011581688596
20,1-6647,21,9,1-6647,62,5,0,27,20.3310775756836,0.3279206060594128
21,1-1131,14,12,1-1131,138,41,0,7,44.97472381591797,0.3259037957675215
22,MLG62,14,12,MLG62,525,31,0,246,170.6831512451172,0.3251107642764136
23,1-7004,16,17,1-7004,381,11,0,197,122.8600845336914,0.3224674134742556
24,1-6098,5,13,1-6098,1327,104,0,570,427.6560821533203,0.322272857689013
25,1-7682,21,9,1-7682,141,17,0,50,45.39088439941406,0.3219211659532912
26,1-6227,9,14,1-6227,52,15,0,3,16.703453063964844,0.3212202512300931
27,1-9861,11,10,1-9861,8,2,0,1,2.567817687988281,0.3209772109985351
28,MLG57,10,5,MLG57,629,55,0,258,201.49696350097656,0.3203449340238101
29,1-9650,13,22,1-9650,25,4,0,7,7.974723815917969,0.3189889526367187
30,1-3596,21,9,1-3596,223,38,0,58,70.93342590332031,0.3180871116740821
31,1-0055,11,10,1-0055,18,4,0,3,5.703453063964844,0.3168585035536024
32,MLG13,13,22,MLG13,140,9,0,62,44.20469665527344,0.3157478332519531
33,1-4020,9,14,1-4020,37,11,0,1,11.56781768798828,0.3126437212969806
34,MLG41,14,12,MLG41,66,13,0,13,20.381629943847656,0.3088125749067826
35,1-9946,10,3,1-9946,12,2,0,3,3.703453063964844,0.308621088663737
36,MLG31,17,7,MLG31,33,9,0,2,10.135635375976562,0.3071404659386837
37,MLG50,8,6,MLG50,319,31,0,117,97.4346694946289,0.3054378354063602
38,1-18935,18,15,1-18935,30,0,0,16,9.0850830078125,0.3028361002604167
39,MLG44,2,18,MLG44,59,16,0,3,17.703453063964844,0.3000585265078787
40,1-9496,19,13,1-9496,39,6,0,10,11.678176879882812,0.299440432817508
41,1-9831,19,11,1-9831,132,12,0,48,39.2552490234375,0.2973882501775568
42,1-9870,9,14,1-9870,27,8,0,0,8.0,0.2962962962962963
43,1-3589,2,18,1-3589,27,8,0,0,8.0,0.2962962962962963
44,1-3584,5,13,1-3584,26,2,0,10,7.6781768798828125,0.2953144953801082
45,1-1258,6,3,1-1258,435,54,0,130,127.81629943847656,0.2938305734217852
46,1-5002,5,13,1-5002,45,3,0,18,13.220718383789062,0.2937937418619791
47,1-3206,7,8,1-3206,45,4,0,16,13.0850830078125,0.2907796223958333
48,1-9338,15,4,1-9338,29,5,0,6,8.406906127929688,0.2898933147561961
49,1-3509,17,7,1-3509,35,9,0,2,10.135635375976562,0.2895895821707589
50,1-9667,14,12,1-9667,14,4,0,0,4.0,0.2857142857142857
51,1-9971,8,6,1-9971,15,2,0,4,4.271270751953125,0.2847513834635417
