,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
0,MLG56,9,17,MLG56,511,49,1,76,1066.6906895637512,2.0874573181286715
1,MLG54,9,17,MLG54,595,42,1,49,1053.4058393239975,1.7704299820571388
2,1-2545,22,6,1-2545,145,78,0,25,83.81930577754974,0.5780641777762051
3,MLG55,16,5,MLG55,92,36,0,7,37.62940561771393,0.4090152784534123
4,1-1570,14,2,1-1570,142,44,0,42,53.77643370628357,0.3787072796217153
5,1-6858,11,10,1-6858,23,7,0,7,8.629405617713928,0.3751915485962577
6,1-6647,2,7,1-6647,62,21,0,5,22.16386115550995,0.357481631540483
7,1-1608,18,9,1-1608,307,60,0,186,103.29563498497008,0.336467866400554
8,1-6561,14,2,1-6561,65,19,0,11,21.560494542121887,0.3316999160326444
9,MLG14,12,3,MLG14,232,68,0,37,76.61257255077362,0.3302266058223
10,MLG59,5,11,MLG59,71,19,0,18,23.18990015983581,0.3266183121103636
11,1-9270,14,2,1-9270,128,33,0,34,40.91425585746765,0.319642623886466
12,1-8627,11,7,1-8627,25,7,0,4,7.931088924407959,0.3172435569763183
13,1-8285,18,9,1-8285,72,21,0,7,22.629405617713928,0.3142973002460267
14,1-7807,21,12,1-7807,239,66,0,39,75.0781170129776,0.3141343808074376
15,1-5002,8,13,1-5002,45,10,0,17,13.957127928733826,0.3101583984163072
16,MLG50,12,3,MLG50,319,80,0,81,98.85455071926116,0.3098888737280914
17,P-16616,13,1,P-16616,28,8,0,2,8.46554446220398,0.3023408736501421
18,1-6927,12,3,1-6927,179,45,0,35,53.14702808856964,0.2969107714445231
19,1-4355,22,6,1-4355,49,11,0,15,14.491583466529846,0.2957466013577519
20,1-5413,11,7,1-5413,39,10,0,5,11.163861155509949,0.2862528501412807
21,1-7496,21,12,1-7496,246,60,0,42,69.77643370628357,0.2836440394564373
22,MLG75,19,14,MLG75,185,48,0,19,52.422672390937805,0.2833657967077719
23,1-7024,2,10,1-7024,498,84,0,244,140.7964243888855,0.2827237437527821
24,1-3312,12,3,1-3312,36,9,0,5,10.163861155509949,0.282329476541943
25,MLG64,11,7,MLG64,245,51,0,77,68.92346179485321,0.2813202522238907
26,1-3587,9,17,1-3587,46,11,0,8,12.862177848815918,0.2796125619307808
27,1-18487,3,23,1-18487,23,5,0,6,6.3966333866119385,0.2781144950700843
28,MLG58,11,7,MLG58,71,16,0,15,19.49158346652985,0.2745293445990119
29,1-7866,2,10,1-7866,318,67,0,87,87.25118410587311,0.2743747927857645
30,MLG32,19,14,MLG32,52,10,0,18,14.189900159835815,0.272882695381458
31,MLG68,5,11,MLG68,642,115,0,257,174.82246339321136,0.2723091330112326
32,1-4929,7,4,1-4929,10,2,0,3,2.698316693305969,0.2698316693305969
33,1-7614,12,3,1-7614,72,10,0,40,19.31088924407959,0.2682067950566609
34,1-9283,18,9,1-9283,235,58,0,21,62.888216853141785,0.2676094334176246
35,MLG57,16,5,MLG57,629,138,0,126,167.3293011188507,0.2660243261031013
36,1-0053,8,13,1-0053,142,30,0,32,37.44871139526367,0.2637233196849554
37,1-6611,11,7,1-6611,89,19,0,19,23.422672390937805,0.2631760942802
38,MLG33,16,5,MLG33,20,5,0,1,5.23277223110199,0.2616386115550995
39,1-5355,5,2,1-5355,53,11,0,12,13.793266773223875,0.2602503164759222
40,1-2282,16,5,1-2282,219,49,0,31,56.21593916416168,0.2566937861377246
41,MLG48,13,1,MLG48,159,40,0,3,40.69831669330597,0.2559642559327419
42,1-9892,6,8,1-9892,22,4,0,7,5.629405617713928,0.2558820735324513
43,1-20167,2,10,1-20167,56,11,0,14,14.258811235427856,0.2546216292040689
44,1-7481,7,4,1-7481,33,7,0,6,8.396633386611938,0.2544434359579375
45,1-7744,14,2,1-7744,37,7,0,10,9.327722311019896,0.2521006030005377
46,MLG51,6,8,MLG51,248,41,0,91,62.18227303028107,0.2507349718962946
47,1-20047,6,8,1-20047,20,5,0,0,5.0,0.25
48,1-9806,3,23,1-9806,8,2,0,0,2.0,0.25
49,1-20467,9,17,1-20467,13,3,0,1,3.2327722311019897,0.2486747870078453
50,1-3564,15,22,1-3564,41,9,0,5,10.163861155509949,0.2478990525734133
51,1-11329,9,17,1-11329,14,3,0,2,3.4655444622039795,0.2475388901574271
52,1-2324,5,11,1-2324,25,5,0,5,6.163861155509949,0.2465544462203979
53,1-8634,3,23,1-8634,10,2,0,2,2.4655444622039795,0.2465544462203979
54,1-7530,11,7,1-7530,25,5,0,5,6.163861155509949,0.2465544462203979
55,1-3104,6,8,1-3104,16,3,0,4,3.931088924407959,0.2456930577754974
56,1-0055,18,9,1-0055,18,3,0,6,4.3966333866119385,0.2442574103673299
57,1-9938,7,4,1-9938,55,9,0,19,13.422672390937803,0.2440485889261419
58,1-7845,12,21,1-7845,36,8,0,3,8.69831669330597,0.241619908147388
59,1-0027,15,22,1-0027,29,6,0,4,6.931088924407959,0.2390030663588951
60,1-1390,3,23,1-1390,98,20,0,14,23.258811235427856,0.237334808524774
61,MLG09,9,17,MLG09,125,20,0,41,29.54366147518158,0.2363492918014526
62,1-8095,6,8,1-8095,46,9,0,8,10.862177848815918,0.2361343010612156
63,1-9651,2,10,1-9651,38,8,0,4,8.931088924407959,0.2350286559054726
64,1-18603,19,14,1-18603,19,4,0,2,4.46554446220398,0.2350286559054726
65,1-3362,21,12,1-3362,117,23,0,19,27.422672390937805,0.2343818153071607
66,1-6216,10,15,1-6216,45,1,0,41,10.54366147518158,0.2343035883373684
67,1-3589,18,9,1-3589,27,6,0,1,6.23277223110199,0.2308434159667403
68,1-9417,7,4,1-9417,76,11,0,28,17.517622470855713,0.2304950325112593
69,1-9394,3,23,1-9394,117,25,0,8,26.86217784881592,0.2295912636650933
70,1-8590,2,10,1-8590,24,5,0,2,5.46554446220398,0.2277310192584991
71,1-3516,21,12,1-3516,156,29,0,28,35.51762247085571,0.2276770671208699
72,1-5282,11,7,1-5282,17,2,0,8,3.862177848815918,0.2271869322832893
73,1-8551,21,12,1-8551,38,7,0,7,8.629405617713928,0.2270896215187876
74,MLG60,2,23,MLG60,47,8,0,11,10.560494542121887,0.2246913732366359
75,1-9516,19,14,1-9516,76,17,0,0,17.0,0.2236842105263158
76,1-7521,4,18,1-7521,10,2,0,1,2.2327722311019897,0.2232772231101989
