,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
0,1-9333,17,10,1-9333,102,69,0,19,80.23481231927872,0.7866158070517522
1,1-7042,11,11,1-7042,117,43,0,48,71.38268375396729,0.6101084081535666
2,1-7268,5,14,1-7268,70,38,0,7,42.139141380786896,0.6019877340112414
3,MLG54,5,14,MLG54,595,30,0,554,357.5834749937057,0.6009806302415223
4,1-5990,17,10,1-5990,5,1,0,3,2.773917734622956,0.5547835469245911
5,1-3447,11,12,1-3447,110,38,0,35,58.69570690393448,0.5335973354903134
6,1-9379,15,10,1-9379,58,24,0,11,30.50436502695084,0.5259373280508765
7,MLG62,11,12,MLG62,525,41,0,379,265.10494047403336,0.5049617913791111
8,1-5172,21,17,1-5172,120,30,0,50,59.565295577049255,0.4963774631420771
9,1-0272,18,11,1-0272,111,36,0,26,51.37395370006561,0.4628284117123028
10,MLG38,11,12,MLG38,77,28,0,12,35.09567093849182,0.4557879342661275
11,1-1570,21,17,1-1570,142,13,0,86,63.85230839252472,0.449664143609329
12,1-6858,19,9,1-6858,23,2,0,14,10.278282761573792,0.4468818591988605
13,1-4355,15,16,1-4355,49,17,0,8,21.73044729232788,0.4434785161699567
14,1-18371,10,16,1-18371,120,49,0,6,52.54783546924591,0.4378986289103826
15,MLG15,16,8,MLG15,105,27,0,32,45.92178916931152,0.4373503730410621
16,1-1833,7,15,1-1833,124,31,0,38,53.46962463855744,0.431206650310947
17,1-5775,3,7,1-5775,244,43,0,100,102.13059115409852,0.4185679965331906
18,MLG29,8,13,MLG29,164,43,0,43,68.42615419626236,0.4172326475381851
19,1-3068,18,11,1-3068,180,36,0,66,75.02619016170502,0.4168121675650278
20,1-8267,18,11,1-8267,133,6,0,83,55.07839065790176,0.4141232380293366
21,P-16616,15,2,P-16616,28,11,0,1,11.591305911540983,0.4139752111264637
22,1-9286,16,8,1-9286,81,22,0,19,33.23481231927872,0.4103063249293668
23,1-3516,17,10,1-3516,156,32,0,53,63.33921331167221,0.4060205981517449
24,1-4052,2,6,1-4052,13,4,0,2,5.18261182308197,0.3986624479293823
25,1-9768,7,15,1-9768,241,44,0,87,95.4436143040657,0.3960315946226793
26,1-8544,1,21,1-8544,54,0,0,36,21.287012815475464,0.3942039410273234
27,MLG65,5,12,MLG65,201,67,0,20,78.8261182308197,0.392169742441889
28,1-2545,6,5,1-2545,145,16,0,69,56.80010789632797,0.3917248820436412
29,1-5413,2,6,1-5413,39,8,0,12,15.09567093849182,0.3870684856023544
30,MLG49,7,15,MLG49,185,20,0,87,71.4436143040657,0.3861816989408957
31,MLG32,4,4,MLG32,52,13,0,11,19.50436502695084,0.3750839428259776
32,MLG31,2,6,MLG31,33,10,0,4,12.36522364616394,0.3747037468534527
33,1-9436,15,2,1-9436,21,6,0,3,7.773917734622955,0.3701865587915693
34,1-7070,5,14,1-7070,129,45,0,4,47.36522364616394,0.3671722763268522
35,1-9645,17,10,1-9645,69,5,0,34,25.104400992393494,0.3638318984404854
36,1-9946,21,17,1-9946,12,2,0,4,4.36522364616394,0.3637686371803283
37,1-2282,11,12,1-2282,219,61,0,31,79.33048325777054,0.3622396495788609
38,MLG44,2,6,MLG44,59,17,0,7,21.139141380786896,0.358290531877744
39,1-0205,4,4,1-0205,34,8,0,7,12.139141380786896,0.357033570023144
40,1-1770,4,4,1-1770,35,10,0,4,12.36522364616394,0.3532921041761125
41,1-2382,11,12,1-2382,139,40,0,15,48.86958867311478,0.351579774626725
42,1-0003,3,7,1-0003,17,3,0,5,5.9565295577049255,0.3503840916297015
43,1-7024,10,16,1-7024,498,62,0,190,174.34812319278717,0.3500966329172433
44,1-9997,8,13,1-9997,16,5,0,1,5.591305911540985,0.3494566194713115
45,1-8938,2,6,1-8938,30,1,0,16,10.460894584655762,0.348696486155192
46,1-10468,19,9,1-10468,549,73,0,199,190.66987639665604,0.3473039642926339
47,1-9938,19,9,1-9938,55,6,0,22,19.008730053901672,0.3456132737073031
48,1-3584,15,2,1-3584,26,6,0,5,8.956529557704926,0.344481906065574
49,1-5515,5,14,1-5515,29,7,0,5,9.956529557704926,0.3433286054381009
50,1-3596,11,12,1-3596,223,58,0,31,76.33048325777054,0.3422891625908992
51,MLG46,17,10,MLG46,17,4,0,3,5.773917734622955,0.3396422196837032
52,1-7744,5,14,1-7744,37,9,0,6,12.54783546924591,0.3391306883579976
53,1-10785,21,17,1-10785,279,7,0,148,94.5132749080658,0.3387572577350028
54,1-0053,8,13,1-0053,142,19,0,49,47.97398966550827,0.3378449976444244
55,1-10696,18,11,1-10696,24,1,0,12,8.095670938491821,0.3373196224371592
56,1-18613,4,4,1-18613,25,6,0,4,8.36522364616394,0.3346089458465576
57,1-0055,10,16,1-0055,18,6,0,0,6.0,0.3333333333333333
58,1-4499,2,6,1-4499,12,4,0,0,4.0,0.3333333333333333
59,1-9404,19,9,1-9404,100,15,0,31,33.33048325777054,0.3333048325777054
