,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
0,1-6974,20,8,1-6974,207,18,0,166,114.59631037712096,0.5536053641406811
1,1-8267,13,9,1-8267,133,52,0,27,67.71144807338715,0.5091086321307304
2,1-3516,13,9,1-3516,156,35,0,63,71.66004550457001,0.4593592660549359
3,1-9270,18,11,1-9270,128,33,0,43,58.02193582057953,0.4532963735982775
4,1-3447,12,5,1-3447,110,15,0,58,48.75051808357239,0.4431865280324762
5,MLG65,3,24,MLG65,201,42,0,79,87.97053325176239,0.4376643445361313
6,1-1580,23,14,1-1580,400,27,0,248,171.31256008148193,0.4282814002037048
7,1-9938,22,3,1-9938,55,6,0,29,22.8752590417862,0.415913800759749
8,1-3535,11,7,1-3535,315,65,0,112,130.17341423034668,0.4132489340645926
9,1-7866,16,15,1-7866,318,11,0,204,129.70871877670288,0.4078890527569273
10,1-5002,15,23,1-5002,45,16,0,4,18.327621936798096,0.4072804874844021
11,1-1258,18,11,1-1258,435,37,0,233,172.58397781848907,0.3967447765942277
12,1-4682,10,10,1-4682,16,4,0,4,6.327621936798096,0.395476371049881
13,1-9997,2,10,1-9997,16,5,0,2,6.163810968399048,0.3852381855249405
14,1-6561,18,11,1-6561,65,18,0,12,24.982865810394287,0.3843517816983736
15,1-2382,13,9,1-2382,139,34,0,30,51.45716452598572,0.3701954282445016
16,MLG29,10,10,MLG29,164,23,0,64,60.24195098876953,0.3673289694437167
17,1-6858,4,22,1-6858,23,4,0,7,8.073338389396667,0.3510147125824638
18,1-3265,1,15,1-3265,19,2,0,8,6.655243873596191,0.3502759933471679
19,1-7004,13,9,1-7004,381,27,0,182,132.90679812431335,0.348836740483762
20,1-10785,18,11,1-10785,279,26,0,121,96.4105635881424,0.3455575755847397
21,MLG44,10,10,MLG44,59,11,0,16,20.310487747192383,0.344245555037159
22,1-7496,13,9,1-7496,246,52,0,56,84.58670711517334,0.3438484029072087
23,MLG68,21,12,MLG68,642,58,0,277,219.18781912326813,0.3414140484786108
24,1-18028,12,5,1-18028,309,14,0,156,104.77725553512572,0.3390849693693389
25,MLG67,20,8,MLG67,27,5,0,7,9.073338389396667,0.3360495699776543
26,1-5355,21,11,1-5355,53,9,0,15,17.72858226299286,0.3345015521319407
27,MLG13,8,13,MLG13,140,21,0,44,46.60384130477905,0.3328845807484218
28,1-1957,2,19,1-1957,47,8,0,13,15.564771294593813,0.3311653466934853
29,72-12171,1,12,72-12171,19,1,0,9,6.237149357795715,0.3282710188313534
30,1-5043,18,11,1-5043,123,13,0,47,40.349557757377625,0.3280451850193303
31,1-3141,18,11,1-3141,136,16,0,49,44.51336872577667,0.3273041818071814
32,MLG15,11,7,MLG15,105,1,0,57,34.168612599372864,0.3254153580892653
33,MLG31,23,23,MLG31,33,10,0,1,10.581905484199524,0.3206638025515007
34,1-0272,13,9,1-0272,111,28,0,13,35.56477129459381,0.3204033449963406
