,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
0,1-7530,22,2,1-7530,25,12,0,1,12.612122654914856,0.5044849061965943
1,MLG55,12,9,MLG55,92,22,0,39,45.87278354167938,0.4986172124095585
2,1-19286,18,7,1-19286,40,16,0,4,18.448490619659424,0.4612122654914856
3,MLG75,18,7,MLG75,185,62,0,30,80.36367964744568,0.4343982683645712
4,MLG59,19,19,MLG59,71,11,0,32,30.58792495727539,0.4308158444686675
5,MLG49,12,9,MLG49,185,57,0,35,78.42429292201996,0.4239150968757835
6,1-9630,21,4,1-9630,33,8,0,9,13.509103894233704,0.4093667846737486
7,1-17733,7,8,1-17733,74,13,0,27,29.52731168270111,0.3990177254419069
8,1-1350,16,16,1-1350,195,35,0,69,77.23646318912506,0.3960844266108977
9,1-6692,19,19,1-6692,71,8,0,32,27.58792495727539,0.3885623233419069
10,1-4682,14,15,1-4682,16,3,0,5,6.06061327457428,0.3787883296608925
11,1-1570,5,6,1-1570,142,4,0,81,53.58193504810333,0.3773375707612911
12,1-3535,13,5,1-3535,315,45,0,117,116.61835062503816,0.3702169861112322
13,MLG40,19,5,MLG40,51,12,0,11,18.733349204063416,0.3673205726286944
14,1-7024,14,13,1-7024,498,47,0,222,182.891229391098,0.3672514646407591
15,1-1957,19,5,1-1957,47,16,0,2,17.224245309829712,0.3664733044644619
16,1-9417,7,8,1-9417,76,13,0,24,27.690943717956543,0.3643545226046913
17,1-6647,13,23,1-6647,62,14,0,14,22.569717168807983,0.3640276962710965
18,1-10468,7,8,1-10468,549,91,0,171,195.6729739904404,0.3564170746638258
19,MLG44,22,2,MLG44,59,17,0,6,20.672735929489136,0.3503853547371039
20,1-2335,19,19,1-2335,145,11,0,65,50.78797256946564,0.3502618797894182
21,MLG58,2,3,MLG58,71,13,0,19,24.630330443382263,0.3469060625828488
22,MLG54,17,15,MLG54,595,45,0,263,205.98825824260712,0.3461987533489195
23,1-1131,17,15,1-1131,138,40,0,12,47.34547185897827,0.343083129412886
24,1-5043,5,6,1-5043,123,15,0,44,41.93339681625366,0.3409219253353956
25,1-2282,9,20,1-2282,219,66,0,14,74.56971716880798,0.3405009916383926
26,1-1204,10,12,1-1204,39,4,0,15,13.18183982372284,0.3379958929159702
27,1-1390,13,5,1-1390,98,28,0,8,32.89698123931885,0.3356834820338658
28,MLG51,10,12,MLG51,248,57,0,42,82.70915150642395,0.3335046431710643
29,1-8285,22,2,1-8285,72,19,0,8,23.896981239318848,0.3319025172127617
30,1-9286,20,16,1-9286,81,17,0,16,26.79396247863769,0.330789660230095
31,1-8328,15,17,1-8328,114,26,0,19,37.63033044338226,0.3300906179244058
32,1-4149,1,23,1-4149,16,4,0,2,5.224245309829712,0.326515331864357
33,1-9997,12,9,1-9997,16,4,0,2,5.224245309829712,0.326515331864357
34,1-6035,5,6,1-6035,23,2,0,9,7.509103894233704,0.326482778010161
35,1-7845,6,3,1-7845,36,5,0,11,11.733349204063416,0.3259263667795393
36,1-0292,23,21,1-0292,99,23,0,15,32.18183982372284,0.3250690891285135
37,1-8379,3,11,1-8379,5,1,0,1,1.612122654914856,0.3224245309829712
38,MLG65,17,15,MLG65,201,49,0,25,64.3030663728714,0.3199157530988626
39,MLG72,2,3,MLG72,9,1,0,3,2.836367964744568,0.3151519960827297
40,1-3509,23,21,1-3509,35,3,0,13,10.957594513893127,0.313074128968375
41,1-6927,7,8,1-6927,179,27,0,47,55.76976478099823,0.3115629317374203
42,1-5425,18,23,1-5425,17,1,0,7,5.284858584403992,0.3108740343767054
43,MLG52,20,10,MLG52,125,18,0,34,38.8121702671051,0.3104973621368408
44,1-3447,17,15,1-3447,110,15,0,31,33.975802302360535,0.3088709300214594
45,1-9404,7,8,1-9404,100,13,0,29,30.751556992530823,0.3075155699253082
46,72-11994,2,3,72-11994,8,0,0,4,2.448490619659424,0.306061327457428
47,1-9455,7,8,1-9455,2,0,0,1,0.612122654914856,0.306061327457428
48,1-8067,7,8,1-8067,322,35,0,103,98.04863345623016,0.3044988616653111
49,1-9270,5,6,1-9270,128,12,0,44,38.93339681625366,0.3041671626269817
50,1-4494,6,16,1-4494,16,3,0,3,4.836367964744568,0.3022729977965355
51,1-19205,5,6,1-19205,12,3,0,1,3.612122654914856,0.3010102212429046
52,1-8222,19,19,1-8222,12,3,0,1,3.612122654914856,0.3010102212429046
53,1-4499,17,15,1-4499,12,3,0,1,3.612122654914856,0.3010102212429046
54,1-8627,1,23,1-8627,25,2,0,9,7.509103894233704,0.3003641557693481
55,1-4700,3,11,1-4700,31,5,0,7,9.284858584403992,0.2995115672388384
56,1-1258,18,7,1-1258,435,55,0,122,129.67896389961243,0.2981125606887642
57,1-9553,9,20,1-9553,23,5,0,3,6.836367964744568,0.2972333897715029
58,1-0296,21,4,1-0296,41,6,0,10,12.12122654914856,0.2956396719304526
59,1-9651,19,19,1-9651,38,10,0,2,11.224245309829712,0.2953748765744661
60,1-9491,6,18,1-9491,80,15,0,14,23.569717168807983,0.2946214646100998
61,1-18709,11,14,1-18709,33,6,0,6,9.672735929489136,0.2931132099845193
62,1-3141,5,6,1-3141,136,20,0,32,39.58792495727539,0.2910876835093778
63,1-3108,2,3,1-3108,18,4,0,2,5.224245309829712,0.2902358505460951
64,1-1972,22,2,1-1972,32,5,0,7,9.284858584403992,0.2901518307626247
65,1-1608,16,16,1-1608,307,55,0,55,88.66674602031708,0.2888167622811631
66,1-18371,6,18,1-18371,120,15,0,32,34.58792495727539,0.2882327079772949
67,1-2382,14,13,1-2382,139,29,0,18,40.01820778846741,0.2879007754566
68,1-5161,21,4,1-5161,12,1,0,4,3.448490619659424,0.2873742183049519
69,1-20578,6,18,1-20578,19,3,0,4,5.448490619659424,0.2867626641926012
70,1-11329,8,24,1-11329,14,4,0,0,4.0,0.2857142857142857
71,1-7744,14,6,1-7744,37,2,0,14,10.569717168807983,0.2856680315894049
72,1-6240,16,16,1-6240,698,72,0,207,198.7093895673752,0.2846839392082739
73,1-6594,2,3,1-6594,70,4,0,26,19.91518902778625,0.2845027003969465
74,1-9156,19,19,1-9156,268,26,0,82,76.19405770301819,0.2843061854590231
75,MLG73,2,3,MLG73,10,1,0,3,2.836367964744568,0.2836367964744568
76,1-5555,1,23,1-5555,10,1,0,3,2.836367964744568,0.2836367964744568
77,1-0027,10,12,1-0027,29,7,0,2,8.224245309829712,0.2835946658561969
78,1-6974,13,19,1-6974,207,15,0,71,58.46070849895477,0.2824188816374626
79,1-0008,6,18,1-0008,230,22,0,70,64.84858584403992,0.2819503732349561
80,1-19547,3,5,1-19547,66,13,0,9,18.509103894233704,0.28044096809445
81,1-6858,19,20,1-6858,23,4,0,4,6.448490619659424,0.2803691573764967
82,1-8573,9,20,1-8573,184,12,0,64,51.17584991455078,0.2781296191008194
83,MLG45,19,19,MLG45,70,6,0,22,19.46669840812683,0.278095691544669
84,1-4052,13,7,1-4052,13,3,0,1,3.612122654914856,0.2778555888396043
85,1-9655,3,11,1-9655,27,5,0,4,7.448490619659424,0.275870022950349
86,1-0358,18,7,1-0358,22,3,0,5,6.06061327457428,0.2754824215715581
87,1-9892,10,12,1-9892,22,3,0,5,6.06061327457428,0.2754824215715581
88,1-11206,1,23,1-11206,14,2,0,3,3.836367964744568,0.2740262831960405
89,1-2103,5,6,1-2103,26,1,0,10,7.12122654914856,0.2738933288134061
90,1-8450,19,19,1-8450,52,5,0,15,14.18183982372284,0.2727276889177469
91,1-7819,4,1,1-7819,59,16,0,0,16.0,0.2711864406779661
92,1-4319,7,8,1-4319,163,16,0,46,44.157642126083374,0.2709057799146219
93,1-19549,12,9,1-19549,29,6,0,3,7.836367964744568,0.270219584991192
94,1-9055,3,11,1-9055,12,2,0,2,3.224245309829712,0.268687109152476
95,1-18028,2,3,1-18028,309,10,0,119,82.84259593486786,0.2680990159704461
96,1-3106,20,10,1-3106,34,6,0,5,9.06061327457428,0.2664886257227729
97,1-9674,7,8,1-9674,144,12,0,43,38.321274161338806,0.2661199594537417
98,1-0129,5,6,1-0129,142,12,0,42,37.70915150642395,0.2655574049748165
99,1-20641,11,14,1-20641,16,3,0,2,4.224245309829712,0.264015331864357
100,1-7321,12,9,1-7321,7,0,0,3,1.836367964744568,0.2623382806777954
101,1-7268,13,16,1-7268,70,11,0,12,18.34547185897827,0.2620781694139753
102,1-0001,19,19,1-0001,17,2,0,4,4.448490619659424,0.2616759188034955
103,1-1770,16,16,1-1770,35,3,0,10,9.12122654914856,0.2606064728328159
104,1-3534,3,11,1-3534,279,51,0,35,72.42429292201996,0.2595852792903941
105,MLG56,20,10,MLG56,511,72,0,99,132.60014283657074,0.2594914732613909
106,P-16616,14,20,P-16616,28,6,0,2,7.224245309829712,0.2580087610653468
107,1-9588,18,7,1-9588,14,3,0,1,3.612122654914856,0.2580087610653468
108,1-7481,1,23,1-7481,33,3,0,9,8.509103894233704,0.2578516331585971
109,MLG29,11,14,MLG29,164,17,0,41,42.09702885150909,0.2566892003140798
110,72-12171,16,19,72-12171,19,3,0,3,4.836367964744568,0.2545456823549772
111,1-7874,5,6,1-7874,258,11,0,89,65.47891628742218,0.253794249176055
112,1-10060,6,12,1-10060,36,3,0,10,9.12122654914856,0.2533674041430155
113,MLG02,6,18,MLG02,320,40,0,67,81.01221787929535,0.253163180872798
114,1-8421,5,6,1-8421,109,6,0,35,27.42429292201996,0.2515990176332106
115,1-9277,6,18,1-9277,48,9,0,5,12.06061327457428,0.2512627765536308
116,1-5980,14,13,1-5980,29,3,0,7,7.284858584403992,0.2512020201518617
117,1-21192,5,6,1-21192,4,1,0,0,1.0,0.25
118,1-17657,15,17,1-17657,8,2,0,0,2.0,0.25
119,MLG10,8,24,MLG10,60,15,0,0,15.0,0.25
120,1-6611,1,23,1-6611,89,5,0,28,22.139434337615967,0.2487576891866962
121,1-3584,11,14,1-3584,26,4,0,4,6.448490619659424,0.2480188699869009
122,MLG67,23,21,MLG67,27,3,0,6,6.672735929489136,0.2471383677588569
123,1-0055,10,5,1-0055,18,2,0,4,4.448490619659424,0.2471383677588569
124,MLG08,20,10,MLG08,107,8,0,30,26.36367964744568,0.2463895294153801
125,MLG42,19,13,MLG42,14,1,0,4,3.448490619659424,0.2463207585471017
126,1-18994,2,3,1-18994,28,2,0,8,6.896981239318848,0.2463207585471017
127,1-8566,15,17,1-8566,5,0,0,2,1.224245309829712,0.2448490619659424
128,1-4051,1,23,1-4051,5,0,0,2,1.224245309829712,0.2448490619659424
129,1-3216,1,23,1-3216,5,0,0,2,1.224245309829712,0.2448490619659424
130,1-6098,11,14,1-6098,1327,160,0,265,322.21250355243683,0.2428127381706381
131,1-18603,5,6,1-18603,19,4,0,1,4.612122654914856,0.2427432976270976
132,1-3523,15,17,1-3523,543,66,0,107,131.4971240758896,0.2421678159776972
133,MLG41,9,20,MLG41,66,14,0,3,15.836367964744568,0.2399449691627964
134,1-3089,11,14,1-3089,16,2,0,3,3.836367964744568,0.2397729977965355
135,1-19229,14,13,1-19229,38,6,0,5,9.06061327457428,0.2384371914361652
136,1-6693,11,14,1-6693,98,16,0,12,23.34547185897827,0.238219100601819
137,1-4649,17,15,1-4649,244,39,0,31,57.975802302360535,0.2376057471408218
138,1-9938,18,7,1-9938,55,10,0,5,13.06061327457428,0.2374656959013505
139,1-7770,16,16,1-7770,11,2,0,1,2.612122654914856,0.2374656959013505
140,1-8418,18,7,1-8418,46,6,0,8,10.896981239318848,0.2368908965069314
141,MLG06,18,7,MLG06,18,3,0,2,4.224245309829712,0.2346802949905395
142,1-18558,15,17,1-18558,307,44,0,45,71.54551947116852,0.23304729469436
143,1-9283,14,13,1-9283,235,40,0,24,54.69094371795654,0.2327274200764108
144,1-9416,16,11,1-9416,13,3,0,0,3.0,0.2307692307692307
145,1-3646,1,23,1-3646,7,1,0,1,1.612122654914856,0.2303032364164079
146,1-11330,2,3,1-11330,14,2,0,2,3.224245309829712,0.2303032364164079
147,P-0009,9,20,P-0009,7,1,0,1,1.612122654914856,0.2303032364164079
148,1-5799,6,18,1-5799,7,1,0,1,1.612122654914856,0.2303032364164079
149,1-9770,16,16,1-9770,50,6,0,9,11.509103894233704,0.230182077884674
150,1-8988,23,21,1-8988,29,3,0,6,6.672735929489136,0.2300943423961771
151,1-3516,21,4,1-3516,156,12,0,39,35.87278354167938,0.2299537406517909
152,1-1224,3,11,1-1224,151,20,0,24,34.69094371795654,0.22974134912554
153,MLG50,20,10,MLG50,319,45,0,46,73.15764212608337,0.2293343013356845
154,1-8042,16,20,1-8042,52,7,0,8,11.896981239318848,0.2287881007561316
155,1-7614,16,16,1-7614,72,3,0,22,16.46669840812683,0.2287041445573171
156,1-8551,1,23,1-8551,38,5,0,6,8.672735929489136,0.228229892881293
157,1-1833,12,5,1-1833,124,19,0,15,28.18183982372284,0.2272729018042164
158,1-8172,12,9,1-8172,40,6,0,5,9.06061327457428,0.226515331864357
159,1-2034,11,14,1-2034,16,3,0,1,3.612122654914856,0.2257576659321785
160,1-9452,14,20,1-9452,16,3,0,1,3.612122654914856,0.2257576659321785
161,1-8127,20,10,1-8127,32,6,0,2,7.224245309829712,0.2257576659321785
162,MLG57,12,9,MLG57,629,82,0,98,141.98802018165588,0.2257361211155101
163,1-1250,5,6,1-1250,34,4,0,6,7.672735929489136,0.2256687038085039
164,MLG46,22,13,MLG46,17,2,0,3,3.836367964744568,0.2256687038085039
165,1-9394,9,20,1-9394,117,22,0,7,26.28485858440399,0.2246569109778119
166,1-8634,1,23,1-8634,10,1,0,2,2.224245309829712,0.2224245309829711
167,1-13247,3,15,1-13247,29,4,0,4,6.448490619659424,0.2223617455054973
168,1-5002,11,14,1-5002,45,5,0,8,9.896981239318848,0.2199329164293077
169,1-6181,23,21,1-6181,659,51,0,153,144.65476620197296,0.219506473751097
170,1-3362,3,11,1-3362,117,14,0,19,25.630330443382263,0.2190626533622415
171,1-20791,21,4,1-20791,13,1,0,3,2.836367964744568,0.2181821511341975
172,1-4747,10,12,1-4747,25,3,0,4,5.448490619659424,0.2179396247863769
173,1-0272,3,18,1-0272,111,15,0,15,24.18183982372284,0.2178544128263319
174,MLG30,23,21,MLG30,208,30,0,25,45.3030663728714,0.2178032037157278
175,1-1827,23,21,1-1827,24,4,0,2,5.224245309829712,0.2176768879095713
176,1-5549,22,2,1-5549,35,7,0,1,7.612122654914856,0.217489218711853
177,1-8622,18,7,1-8622,54,5,0,11,11.733349204063416,0.2172842445196929
178,1-9963,5,6,1-9963,116,5,0,33,25.200047612190247,0.2172417897602607
179,MLG63,22,2,MLG63,380,58,0,40,82.48490619659424,0.2170655426226164
180,1-6734,5,6,1-6734,44,4,0,9,9.509103894233704,0.2161159975962205
181,1-3104,7,8,1-3104,16,1,0,4,3.448490619659424,0.215530663728714
182,1-8938,1,23,1-8938,30,4,0,4,6.448490619659424,0.2149496873219808
183,1-7058,10,12,1-7058,80,8,0,15,17.18183982372284,0.2147729977965355
184,1-9498,5,6,1-9498,64,7,0,11,13.733349204063416,0.2145835813134908
185,1-2545,15,17,1-2545,145,9,0,36,31.03641557693481,0.2140442453581711
186,1-7863,5,6,1-7863,351,44,0,50,74.6061327457428,0.2125530847457059
187,1-2701,16,16,1-2701,61,8,0,8,12.896981239318848,0.2114259219560466
188,1-9379,9,20,1-9379,58,11,0,2,12.224245309829712,0.2107628501694778
189,MLG69,21,4,MLG69,576,38,0,136,121.2486810684204,0.2105011824104521
190,1-7722,3,11,1-7722,60,12,0,1,12.612122654914856,0.2102020442485809
191,1-9794,13,5,1-9794,46,9,0,1,9.612122654914856,0.2089591881503229
192,1-5355,1,23,1-5355,53,8,0,5,11.06061327457428,0.2086908165014015
193,1-3596,21,4,1-3596,223,20,0,43,46.321274161338806,0.2077187182122816
194,1-2294,6,18,1-2294,75,10,0,9,15.509103894233704,0.206788051923116
195,1-7682,1,23,1-7682,141,7,0,36,29.03641557693481,0.205932025368332
196,MLG48,21,4,MLG48,159,19,0,22,32.46669840812683,0.2041930717492253
197,1-3589,4,1,1-3589,27,0,0,9,5.509103894233704,0.2040408849716186
198,1-5775,2,3,1-5775,244,17,0,53,49.442500710487366,0.2026331996331449
199,1-9667,16,16,1-9667,14,1,0,3,2.836367964744568,0.2025977117674691
200,1-2297,7,8,1-2297,25,2,0,5,5.06061327457428,0.2024245309829712
201,1-1769,22,2,1-1769,89,18,0,0,18.0,0.2022471910112359
202,1-9850,20,10,1-9850,27,3,0,4,5.448490619659424,0.2017959488762749
203,1-18563,5,6,1-18563,8,1,0,1,1.612122654914856,0.201515331864357
204,1-4020,2,3,1-4020,37,5,0,4,7.448490619659424,0.2013105572880925
205,1-9436,23,21,1-9436,21,3,0,2,4.224245309829712,0.2011545385633196
206,1-9610,12,5,1-9610,49,8,0,3,9.836367964744568,0.200742203362134
207,1-9808,23,21,1-9808,74,2,0,21,14.854575753211977,0.2007375101785402
208,1-8124,9,20,1-8124,18,3,0,1,3.612122654914856,0.2006734808286031
209,1-4136,1,23,1-4136,5,1,0,0,1.0,0.2
210,1-9836,17,15,1-9836,5,1,0,0,1.0,0.2
211,1-9971,22,2,1-9971,15,3,0,0,3.0,0.2
212,1-19448,8,24,1-19448,45,9,0,0,9.0,0.2
213,MLG37,20,10,MLG37,116,17,0,10,23.12122654914856,0.1993209185271427
214,1-5626,5,6,1-5626,125,10,0,24,24.690943717956543,0.1975275497436523
215,1-5413,1,23,1-5413,39,4,0,6,7.672735929489136,0.1967368187048496
216,1-5172,12,9,1-5172,120,15,0,14,23.569717168807983,0.1964143097400665
217,1-8095,2,1,1-8095,46,9,0,0,9.0,0.1956521739130435
218,1-9338,7,8,1-9338,29,2,0,6,5.672735929489136,0.1956115837754874
219,1-7467,18,7,1-7467,64,10,0,4,12.448490619659424,0.1945076659321785
220,1-6561,5,6,1-6561,65,1,0,19,12.630330443382263,0.1943127760520348
221,1-4355,2,3,1-4355,49,4,0,9,9.509103894233704,0.1940633447802796
222,1-1191,10,4,1-1191,53,6,0,7,10.284858584403992,0.1940539355547923
223,1-0053,11,14,1-0053,142,11,0,27,27.52731168270111,0.1938543076246557
224,1-6538,16,10,1-6538,44,6,0,4,8.448490619659424,0.192011150446805
225,1-8018,14,13,1-8018,58,6,0,8,10.896981239318848,0.1878789868848077
226,1-17758,21,4,1-17758,40,2,0,9,7.509103894233704,0.1877275973558426
227,1-20167,11,14,1-20167,56,5,0,9,10.509103894233704,0.1876625695398875
228,1-18714,13,5,1-18714,32,6,0,0,6.0,0.1875
229,MLG14,1,23,MLG14,232,15,0,46,43.157642126083374,0.18602431950898
230,1-1935,4,1,1-1935,12,1,0,2,2.224245309829712,0.1853537758191426
231,1-9496,11,14,1-9496,39,6,0,2,7.224245309829712,0.1852370592264028
232,1-9752,23,21,1-9752,22,1,0,5,4.06061327457428,0.1845733306624672
233,1-18487,17,15,1-18487,23,3,0,2,4.224245309829712,0.1836628395578135
234,1-8066,23,21,1-8066,86,6,0,16,15.793962478637695,0.1836507264957871
235,1-0033,5,6,1-0033,10,0,0,3,1.836367964744568,0.1836367964744568
236,1-10539,10,12,1-10539,63,6,0,9,11.509103894233704,0.1826841887973603
237,1-1015,20,10,1-1015,155,3,0,41,28.09702885150909,0.1812711538807038
238,1-9497,11,14,1-9497,150,10,0,28,27.139434337615967,0.1809295622507731
