,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
0,1-6974,13,8,1-6974,207,20,0,191,175.5660341978073,0.8481450927430305
1,1-7122,2,6,1-7122,197,5,0,195,163.82396161556244,0.8315937137845809
2,1-0272,3,17,1-0272,111,45,0,30,69.43445563316345,0.6255356363348059
3,MLG32,8,11,MLG32,52,18,0,12,27.77378225326538,0.5341111971781805
4,1-5981,8,11,1-5981,28,10,0,6,14.88689112663269,0.5316746830940247
5,1-17733,7,12,1-17733,74,12,0,33,38.8779011964798,0.5253770431956729
6,1-19286,18,9,1-19286,40,14,0,7,19.701372981071472,0.4925343245267868
7,1-9674,7,12,1-9674,144,9,0,72,67.64269351959229,0.4697409272193908
8,1-6858,19,12,1-6858,23,1,0,12,10.77378225326538,0.4684253153593644
9,1-7024,14,15,1-7024,498,51,0,223,232.6294535398484,0.4671274167466834
10,1-9270,5,10,1-9270,128,12,0,58,59.23994755744934,0.462812090292573
11,1-2297,7,12,1-2297,25,5,0,8,11.515854835510254,0.4606341934204102
12,1-3447,17,13,1-3447,110,36,0,18,50.66067337989807,0.4605515761808915
13,MLG40,19,20,MLG40,51,12,0,14,23.402745962142944,0.4588773718067244
14,1-9831,7,12,1-9831,132,8,0,64,60.12683868408203,0.4555063536672881
15,1-4494,6,3,1-4494,16,4,0,4,7.257927417755127,0.4536204636096954
16,1-3535,13,6,1-3535,315,28,0,138,140.39849591255188,0.445709510833498
17,1-6927,7,12,1-6927,179,23,0,68,78.38476610183716,0.4379037212393137
18,1-9404,7,12,1-9404,100,12,0,39,43.76479232311249,0.4376479232311249
19,1-4649,17,13,1-4649,244,81,0,31,106.24893748760223,0.4354464651131239
20,1-1570,5,10,1-1570,142,4,0,70,61.01372981071472,0.4296741535965825
21,1-1204,10,16,1-1204,39,4,0,15,16.217227816581726,0.4158263542713263
22,MLG42,19,2,MLG42,14,5,0,1,5.814481854438782,0.415320132459913
23,1-8418,18,9,1-8418,46,19,0,0,19.0,0.4130434782608695
24,1-20003,22,2,1-20003,21,7,0,2,8.628963708877563,0.4109030337560744
25,1-5775,2,8,1-5775,244,26,0,91,100.11784875392914,0.4103190522702014
26,1-7530,22,2,1-7530,25,7,0,4,10.257927417755129,0.410317096710205
27,1-2335,19,20,1-2335,145,12,0,58,59.23994755744934,0.4085513624651679
28,MLG35,8,11,MLG35,49,11,0,11,19.9593003988266,0.4073326612005428
29,1-9455,7,12,1-9455,2,0,0,1,0.8144818544387817,0.4072409272193908
30,1-4847,8,11,1-4847,2,0,0,1,0.8144818544387817,0.4072409272193908
31,1-9286,20,18,1-9286,81,24,0,11,32.9593003988266,0.4069049431953901
32,1-6061,17,13,1-6061,40,13,0,4,16.257927417755127,0.4064481854438782
33,1-5043,5,10,1-5043,123,22,0,34,49.69238305091858,0.4040031142351103
34,MLG51,10,16,MLG51,248,60,0,49,99.9096108675003,0.4028613341431464
35,1-4682,14,15,1-4682,16,4,0,3,6.443445563316345,0.4027153477072716
36,1-5799,6,3,1-5799,7,2,0,1,2.8144818544387817,0.4020688363483974
37,1-19205,5,10,1-19205,12,4,0,1,4.814481854438782,0.4012068212032318
38,1-3217,9,21,1-3217,5,2,0,0,2.0,0.4
39,1-19222,4,1,1-19222,15,6,0,0,6.0,0.4
40,1-7744,14,15,1-7744,37,5,0,12,14.77378225326538,0.3992914122504157
41,1-6561,5,10,1-6561,65,12,0,17,25.84619152545929,0.3976337157762967
42,1-3584,11,14,1-3584,26,3,0,9,10.330336689949036,0.3973206419211167
43,1-8421,5,10,1-8421,109,16,0,33,42.8779011964798,0.393375240334677
44,1-19448,8,11,1-19448,45,12,0,7,17.701372981071472,0.3933638440238104
45,1-20641,11,14,1-20641,16,3,0,4,6.257927417755127,0.3911204636096954
46,1-5425,18,9,1-5425,17,5,0,2,6.628963708877564,0.3899390416986802
47,MLG02,6,3,MLG02,320,52,0,89,124.48888504505156,0.3890277657657862
48,1-0303,8,11,1-0303,212,67,0,18,81.66067337989807,0.3851918555655569
49,1-13247,3,10,1-13247,29,3,0,10,11.144818544387816,0.3843040877375109
50,1-9491,6,3,1-9491,80,16,0,18,30.66067337989807,0.3832584172487259
51,1-4020,2,8,1-4020,37,6,0,10,14.144818544387816,0.3822923930915626
52,MLG75,18,9,MLG75,185,50,0,25,70.36204636096954,0.3803353857349705
53,1-2282,9,21,1-2282,219,70,0,16,83.03170967102051,0.3791402268083128
54,1-5197,7,12,1-5197,72,11,0,20,27.289637088775635,0.379022737344106
55,1-2324,20,18,1-2324,25,7,0,3,9.443445563316343,0.3777378225326538
56,1-18371,6,3,1-18371,120,16,0,36,45.32134675979614,0.3776778896649678
57,1-4700,3,17,1-4700,31,6,0,7,11.701372981071472,0.3774636445506926
58,1-1957,19,20,1-1957,47,11,0,8,17.515854835510254,0.372677762457665
59,1-0296,21,7,1-0296,41,12,0,4,15.257927417755129,0.3721445711647592
60,1-8188,6,3,1-8188,140,13,0,48,52.09512901306152,0.3721080643790109
61,MLG54,17,13,MLG54,595,67,0,189,220.9370704889297,0.3713228075444197
62,1-9553,9,21,1-9553,23,6,0,3,8.443445563316345,0.3671063288398411
63,1-9892,10,16,1-9892,22,4,0,5,8.072409272193909,0.3669276941906322
64,1-3509,23,22,1-3509,35,3,0,12,12.77378225326538,0.3649652072361537
65,1-10468,7,12,1-10468,549,65,0,166,200.20398783683777,0.3646702874987937
66,1-18735,2,8,1-18735,27,9,0,1,9.814481854438782,0.3634993279421771
