,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
0,1-2294,4,11,1-2294,75,37,0,19,53.43984949588776,0.7125313266118367
1,MLG41,1,8,MLG41,66,28,0,20,45.30510473251343,0.686440980795658
2,MLG55,1,8,MLG55,92,29,0,39,62.744954228401184,0.682010372047839
3,1-9283,8,9,1-9283,235,26,0,154,159.2493064403534,0.67765662315044
4,1-1390,17,14,1-1390,98,45,0,24,65.76612567901611,0.6710829150920011
5,1-9379,12,5,1-9379,58,11,0,25,32.631380915641785,0.5626100157869274
6,1-8427,8,9,1-8427,189,13,0,104,102.98654460906982,0.5449023524289409
7,1-7807,3,2,1-7807,239,100,0,33,128.55342280864716,0.5378804301617036
8,1-0292,18,18,1-0292,99,24,0,32,51.68816757202149,0.5221027027476918
9,MLG45,12,5,MLG45,70,21,0,17,35.709339022636414,0.5101334146090917
10,MLG13,17,14,MLG13,140,50,0,23,69.90087044239044,0.4992919317313603
11,1-20578,13,20,1-20578,19,6,0,4,9.461020946502686,0.4979484708685624
12,1-3584,14,10,1-3584,26,6,0,8,12.922041893005373,0.4970016112694373
13,1-4417,18,4,1-4417,151,9,0,76,74.75939798355103,0.4950953508844439
14,P-16616,19,5,P-16616,28,6,0,9,13.787297129631042,0.4924034689153944
15,1-19286,9,6,1-19286,40,7,0,14,19.1135733127594,0.477839332818985
16,1-7122,9,6,1-7122,197,37,0,66,94.10684561729433,0.4776997239456564
17,1-19915,1,8,1-19915,62,19,0,12,29.383062839508057,0.4739203683791622
18,1-3516,3,2,1-3516,156,14,0,69,73.70261132717133,0.4724526367126367
19,1-7042,10,19,1-7042,117,16,0,45,54.93648564815521,0.469542612377395
20,MLG52,5,3,MLG52,125,36,0,26,58.496636152267456,0.4679730892181396
21,MLG10,13,20,MLG10,60,28,0,0,28.0,0.4666666666666667
22,1-5980,10,19,1-5980,29,4,0,11,13.517807602882383,0.4661312966511167
23,1-2034,3,2,1-2034,16,3,0,5,7.326276183128357,0.4578922614455223
24,1-7268,8,9,1-7268,70,6,0,30,31.95765709877014,0.4565379585538591
25,1-4842,1,8,1-4842,6,1,0,2,2.7305104732513428,0.4550850788752238
26,1-6858,17,15,1-6858,23,7,0,4,10.461020946502686,0.4548269976740298
27,1-18377,1,8,1-18377,14,2,0,5,6.326276183128357,0.4518768702234541
28,1-6980,9,10,1-6980,128,49,0,10,57.65255236625672,0.4504105653613806
