,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
0,MLG56,9,17,MLG56,511,99,1,246,1249.0415724515915,2.4443083609620184
1,MLG54,9,17,MLG54,595,74,1,385,1308.8211601376534,2.199699428802779
2,1-6858,11,19,1-6858,23,8,0,12,15.319101095199583,0.6660478737043298
3,1-7152,20,11,1-7152,109,61,0,15,70.14887636899948,0.643567673110087
4,MLG62,6,15,MLG62,525,41,0,459,320.9556168913841,0.611344032174065
5,MLG64,11,19,MLG64,245,58,0,133,139.12003713846207,0.567836886279437
6,MLG59,5,9,MLG59,71,35,0,8,39.87940073013306,0.5616817004244092
7,MLG48,13,7,MLG48,159,77,0,15,86.14887636899948,0.5418168325094307
8,MLG55,16,6,MLG55,92,24,0,42,49.61685383319855,0.5393136286217234
9,1-1570,14,8,1-1570,142,52,0,36,73.95730328559875,0.5208260794760475
10,1-3447,20,11,1-3447,110,40,0,27,56.467977464199066,0.513345249674537
11,MLG08,11,19,MLG08,107,4,0,82,54.01385748386383,0.5048024063912507
12,1-9491,1,18,1-9491,80,19,0,33,39.12752801179886,0.4890941001474857
13,1-0303,2,12,1-0303,212,56,0,74,101.13445675373076,0.4770493243100508
14,1-3596,13,7,1-3596,223,77,0,46,105.05655419826508,0.4711056242074667
15,MLG51,6,15,MLG51,248,85,0,46,113.05655419826508,0.4558732024123592
16,MLG40,1,18,MLG40,51,14,0,13,21.929026186466217,0.4299809056169846
17,1-4494,1,18,1-4494,16,2,0,8,6.879400730133057,0.429962545633316
18,1-7845,12,21,1-7845,36,13,0,4,15.439700365066528,0.4288805656962924
19,1-4700,6,9,1-4700,31,11,0,3,12.829775273799896,0.4138637185096741
20,MLG57,16,6,MLG57,629,155,0,171,259.2971906065941,0.4122371869739175
21,1-5043,14,8,1-5043,123,13,0,61,50.20543056726456,0.4081742322541833
22,1-9651,2,12,1-9651,38,10,0,9,15.489325821399689,0.407613837405255
23,MLG73,4,10,MLG73,10,1,0,5,4.04962545633316,0.404962545633316
24,P-16616,13,7,P-16616,28,10,0,2,11.219850182533264,0.4007089350904737
25,1-3509,13,10,1-3509,35,3,0,18,13.978651642799376,0.399390046937125
26,1-1191,6,3,1-1191,53,12,0,15,21.14887636899948,0.3990354031886695
27,1-7268,1,18,1-7268,70,20,0,13,27.929026186466217,0.3989860883780888
28,1-0129,14,8,1-0129,142,17,0,65,56.645130932331085,0.3989093727628949
