,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
0,MLG62,3,12,MLG62,525,47,0,465,285.1079769134521,0.5430628131684803
1,1-1957,3,12,1-1957,47,17,0,10,22.12060165405273,0.4706510990223986
2,MLG32,5,6,MLG32,52,19,0,10,24.12060165405273,0.4638577241163987
3,P-16616,22,4,P-16616,28,8,0,9,12.60854148864746,0.4503050531659807
4,MLG54,13,14,MLG54,595,67,0,385,264.1431636810303,0.4439380902202189
5,MLG44,5,6,MLG44,59,19,0,12,25.14472198486328,0.4261817285570047
6,1-7122,17,9,1-7122,197,20,0,120,81.44721984863281,0.4134376642062579
7,1-1224,12,11,1-1224,151,23,0,73,60.38039207458496,0.3998701461893044
8,1-1462,21,5,1-1462,192,13,0,118,73.42309951782227,0.3824119766553243
9,1-9379,2,18,1-9379,58,19,0,6,22.07236099243164,0.3805579481453731
10,1-7004,22,3,1-7004,381,18,0,240,140.89443969726562,0.3698016789954478
11,MLG59,6,19,MLG59,71,10,0,31,25.87386512756348,0.3644206355994855
12,1-3312,15,13,1-3312,36,13,0,0,13.0,0.3611111111111111
13,1-7866,18,7,1-7866,318,21,0,183,114.70701026916504,0.3607138687709592
14,MLG13,5,6,MLG13,140,36,0,28,50.337684631347656,0.3595548902239118
15,1-5799,22,3,1-5799,7,2,0,1,2.512060165405273,0.358865737915039
16,1-11330,7,2,1-11330,14,4,0,2,5.024120330810547,0.358865737915039
17,1-5002,5,4,1-5002,45,14,0,4,16.048240661621094,0.3566275702582465
18,MLG46,17,9,MLG46,17,4,0,4,6.048240661621094,0.3557788624482996
19,MLG14,3,12,MLG14,232,63,0,38,82.45828628540039,0.3554236477818982
20,1-2335,3,12,1-2335,145,41,0,20,51.24120330810547,0.353387609021417
21,MLG07,13,14,MLG07,90,25,0,13,31.656782150268555,0.3517420238918728
22,1-19813,8,10,1-19813,20,6,0,2,7.024120330810547,0.3512060165405273
23,1-4417,8,10,1-4417,151,42,0,21,52.75326347351074,0.3493593607517267
24,1-2034,15,13,1-2034,16,3,0,5,5.560300827026367,0.3475188016891479
25,1-1005,15,13,1-1005,125,30,0,26,43.31356430053711,0.3465085144042968
26,1-7530,8,10,1-7530,25,6,0,5,8.560300827026367,0.3424120330810546
27,MLG64,10,19,MLG64,245,54,0,58,83.69948959350586,0.3416305697694117
28,1-4700,10,19,1-4700,31,7,0,7,10.584421157836914,0.3414329405753843
29,1-20167,13,14,1-20167,56,16,0,6,19.07236099243164,0.3405778748648507
30,1-9394,3,12,1-9394,117,35,0,9,39.60854148864746,0.3385345426380124
31,1-19286,7,2,1-19286,40,12,0,3,13.53618049621582,0.3384045124053955
32,1-18709,15,13,1-18709,33,6,0,10,11.120601654052734,0.3369879289106889
33,1-9630,14,20,1-9630,33,7,0,8,11.096481323242188,0.3362570097952178
34,MLG67,1,8,MLG67,27,8,0,2,9.024120330810549,0.3342266789189091
35,1-9870,6,4,1-9870,27,8,0,2,9.024120330810549,0.3342266789189091
36,1-3052,21,5,1-3052,166,15,0,79,55.4527530670166,0.3340527293193771
37,MLG38,14,20,MLG38,77,17,0,17,25.70502281188965,0.333831465089476
38,1-5803,14,20,1-5803,15,5,0,0,5.0,0.3333333333333333
39,1-3176,3,12,1-3176,3,1,0,0,1.0,0.3333333333333333
40,1-20012,6,4,1-20012,12,4,0,0,4.0,0.3333333333333333
41,1-1770,6,6,1-1770,35,10,0,3,11.53618049621582,0.3296051570347377
42,1-9491,17,9,1-9491,80,15,0,22,26.265323638916016,0.3283165454864502
43,1-7005,21,5,1-7005,285,10,0,163,93.46580696105956,0.3279501998633669
44,MLG39,12,11,MLG39,23,6,0,3,7.53618049621582,0.3276600215746009
45,MLG43,3,12,MLG43,14,1,0,7,4.584421157836914,0.3274586541312081
46,1-4634,15,13,1-4634,48,10,0,11,15.632661819458008,0.3256804545720418
47,1-17733,19,15,1-17733,74,3,0,41,23.99446678161621,0.3242495511029217
48,1-1177,6,4,1-1177,17,5,0,1,5.512060165405273,0.3242388332591337
49,1-2324,1,8,1-2324,25,4,0,8,8.096481323242188,0.3238592529296875
50,1-11206,3,12,1-11206,14,4,0,1,4.512060165405273,0.3222900118146624
51,1-5413,5,2,1-5413,39,10,0,5,12.560300827026367,0.3220589955647786
52,1-8627,3,19,1-8627,25,6,0,4,8.048240661621094,0.3219296264648437
53,1-9286,17,11,1-9286,81,23,0,6,26.07236099243164,0.3218809999065635
54,1-7182,18,7,1-7182,22,4,0,6,7.072360992431641,0.3214709542014382
55,1-20578,19,15,1-20578,19,2,0,8,6.096481323242188,0.3208674380653782
56,1-10539,17,9,1-10539,63,13,0,14,20.168842315673828,0.3201403542170449
57,1-7682,6,8,1-7682,141,30,0,29,44.84974479675293,0.3180832964308718
58,MLG55,1,8,MLG55,92,21,0,16,29.19296264648437,0.3173148113748301
59,1-1131,13,14,1-1131,138,41,0,5,43.56030082702637,0.3156543538190316
60,1-9995,3,12,1-9995,24,6,0,3,7.53618049621582,0.3140075206756592
61,1-4494,17,4,1-4494,16,4,0,2,5.024120330810547,0.3140075206756592
62,1-11350,18,7,1-11350,100,17,0,28,31.337684631347656,0.3133768463134765
63,1-9831,19,15,1-9831,132,12,0,57,41.187429428100586,0.3120259805159135
64,1-9516,1,5,1-9516,76,15,0,17,23.70502281188965,0.3119081948932848
65,1-3596,22,3,1-3596,223,22,0,92,69.10953521728516,0.3099082296739244
66,1-0205,13,14,1-0205,34,10,0,1,10.512060165405272,0.3091782401589786
67,1-9794,6,4,1-9794,46,6,0,16,14.192962646484377,0.3085426662279212
68,1-0031,7,2,1-0031,13,4,0,0,4.0,0.3076923076923077
69,1-5891,17,9,1-5891,96,8,0,42,29.506526947021484,0.3073596556981404
70,1-8398,13,14,1-8398,54,15,0,3,16.53618049621582,0.3062255647447374
71,MLG31,14,20,MLG31,33,6,0,8,10.096481323242188,0.3059539794921875
72,1-6061,15,13,1-6061,40,4,0,16,12.192962646484377,0.3048240661621094
73,1-6693,15,13,1-6693,98,17,0,25,29.80150413513184,0.304096980970733
74,1-2545,2,18,1-2545,145,41,0,6,44.07236099243164,0.3039473171891837
75,1-18234,2,18,1-18234,43,11,0,4,13.048240661621094,0.3034474572470022
76,MLG57,12,11,MLG57,629,78,0,218,189.6291160583496,0.3014771320482505
77,1-9839,13,14,1-9839,20,5,0,2,6.024120330810547,0.3012060165405273
78,1-9902,20,1,1-9902,30,8,0,2,9.024120330810549,0.3008040110270182
79,1-7744,18,7,1-7744,37,8,0,6,11.07236099243164,0.2992529997954497
80,1-7993,9,21,1-7993,24,0,0,14,7.168842315673828,0.2987017631530761
81,1-10696,10,19,1-10696,24,1,0,12,7.144721984863281,0.2976967493693034
82,1-8988,6,4,1-8988,29,4,0,9,8.608541488647461,0.2968462582292228
83,MLG65,13,14,MLG65,201,56,0,6,59.07236099243164,0.2938923432459285
84,1-9674,19,15,1-9674,144,8,0,67,42.30803108215332,0.2938057714038425
85,72-12171,8,10,72-12171,19,3,0,5,5.560300827026367,0.2926474119487561
86,1-7268,17,9,1-7268,70,2,0,36,20.434165954589844,0.2919166564941406
87,1-11329,11,17,1-11329,14,1,0,6,4.072360992431641,0.2908829280308315
88,1-5981,18,7,1-5981,28,2,0,12,8.144721984863281,0.2908829280308315
89,1-8421,13,17,1-8421,109,14,0,34,31.410045623779297,0.2881655561814614
90,1-18377,5,6,1-18377,14,3,0,2,4.024120330810547,0.2874371664864676
91,1-6858,19,15,1-6858,23,2,0,9,6.608541488647461,0.2873278908107591
92,MLG15,2,18,MLG15,105,3,0,53,30.13918876647949,0.2870398930140904
93,1-1191,10,19,1-1191,53,8,0,14,15.168842315673828,0.2862045719938458
94,MLG56,8,10,MLG56,511,71,0,146,145.76078414916992,0.2852461529337963
95,1-7213,15,13,1-7213,23,4,0,5,6.560300827026367,0.2852304707402768
96,1-7467,18,7,1-7467,64,10,0,16,18.19296264648437,0.2842650413513183
97,1-8488,18,7,1-8488,23,5,0,3,6.53618049621582,0.2841817607050356
98,1-6098,15,13,1-6098,1327,175,0,393,376.23964500427246,0.2835264845548398
99,1-4149,7,2,1-4149,16,3,0,3,4.53618049621582,0.2835112810134887
100,1-9770,10,12,1-9770,50,11,0,6,14.07236099243164,0.2814472198486328
101,1-9417,19,15,1-9417,76,5,0,32,21.38592529296875,0.281393753854852
102,MLG06,12,11,MLG06,18,3,0,4,5.048240661621094,0.2804578145345052
103,1-9697,1,8,1-9697,20,2,0,7,5.584421157836914,0.2792210578918457
104,1-9938,19,15,1-9938,55,1,0,28,15.337684631347656,0.2788669932972301
105,MLG75,7,2,MLG75,185,49,0,5,51.56030082702637,0.2787043287947371
106,1-9270,11,17,1-9270,128,10,0,50,35.60300827026367,0.2781485021114349
107,1-2282,2,18,1-2282,219,53,0,15,60.6809024810791,0.2770817464889457
108,1-5515,17,9,1-5515,29,8,0,0,8.0,0.2758620689655172
109,1-3206,18,7,1-3206,45,5,0,14,12.168842315673828,0.2704187181260851
110,1-5043,11,17,1-5043,123,10,0,45,33.042707443237305,0.2686398979124984
111,1-8906,8,10,1-8906,15,3,0,2,4.024120330810547,0.2682746887207031
112,1-5425,19,15,1-5425,17,2,0,5,4.560300827026367,0.2682529898250804
113,MLG45,12,11,MLG45,70,14,0,9,18.60854148864746,0.265836306980678
114,1-8095,17,9,1-8095,46,7,0,10,12.120601654052734,0.2634913403054942
115,MLG29,15,13,MLG29,164,21,0,43,43.01858711242676,0.2623084580026021
116,1-2382,2,18,1-2382,139,28,0,16,36.192962646484375,0.2603810262337005
117,1-0296,18,7,1-0296,41,5,0,11,10.632661819458008,0.2593332151087319
118,MLG49,5,6,MLG49,185,33,0,29,47.84974479675293,0.2586472691716374
119,1-5549,5,6,1-5549,35,7,0,4,9.048240661621094,0.2585211617606027
120,1-9498,9,21,1-9498,64,16,0,1,16.512060165405273,0.2580009400844574
121,1-1570,11,17,1-1570,142,10,0,52,36.62712860107422,0.2579375253596776
122,1-9496,10,19,1-9496,39,8,0,4,10.048240661621094,0.2576471964518229
123,MLG60,14,20,MLG60,47,8,0,8,12.096481323242188,0.2573719430477061
124,P-16454,10,19,P-16454,8,0,0,4,2.0482406616210938,0.2560300827026367
125,1-4640,12,11,1-4640,87,12,0,20,22.24120330810547,0.255646015035695
126,MLG12,14,20,MLG12,146,4,0,65,37.28391075134277,0.2553692517215258
127,1-8222,3,12,1-8222,12,1,0,4,3.0482406616210938,0.2540200551350911
128,1-3584,15,7,1-3584,26,3,0,7,6.584421157836914,0.2532469676091121
129,1-5163,8,10,1-5163,16,2,0,4,4.048240661621094,0.2530150413513183
130,1-4098,20,1,1-4098,16,2,0,4,4.048240661621094,0.2530150413513183
131,1-8938,15,13,1-8938,30,4,0,7,7.584421157836914,0.2528140385945638
132,1-9277,3,6,1-9277,48,7,0,10,12.120601654052734,0.2525125344594319
133,1-18935,1,8,1-18935,30,5,0,5,7.560300827026367,0.2520100275675456
134,1-8124,13,14,1-8124,18,3,0,3,4.53618049621582,0.2520100275675456
135,1-9740,3,12,1-9740,34,6,0,5,8.560300827026367,0.2517735537360696
136,MLG73,6,4,MLG73,10,2,0,1,2.512060165405273,0.2512060165405273
137,1-1942,21,11,1-1942,34,7,0,3,8.53618049621582,0.2510641322416417
138,1-1827,17,9,1-1827,24,5,0,2,6.024120330810547,0.2510050137837727
139,1-18409,13,14,1-18409,22,5,0,1,5.512060165405273,0.2505481893366033
