Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
361,1-0008,20,19,1-0008,230,151,0,23,170.9167400598526,0.7431162611297939
282,1-1608,15,8,1-1608,307,48,0,201,222.05498921871185,0.723306153806879
270,1-1390,8,13,1-1390,98,18,0,52,63.02915143966675,0.6431546065272117
251,1-7268,8,13,1-7268,70,9,0,40,43.63780879974365,0.6233972685677664
517,1-18028,18,18,1-18028,309,185,0,3,187.59783565998077,0.6071127367636918
506,1-6227,16,2,1-6227,52,26,0,3,28.597835659980774,0.5499583780765533
445,1-6538,6,14,1-6538,44,11,0,15,23.98917829990387,0.5452085977250879
526,1-5002,4,11,1-5002,45,15,0,11,24.525397419929504,0.5450088315539889
57,1-1224,2,15,1-1224,151,17,0,74,81.07994627952576,0.5369532866193759
153,1-1350,19,16,1-1350,195,58,0,52,103.02915143966675,0.5283546227675218
483,1-9491,19,16,1-9491,80,23,0,22,42.05079483985901,0.5256349354982376
360,1-6611,10,17,1-6611,89,10,0,42,46.369699239730835,0.5210078566261892
558,1-0055,12,3,1-0055,18,4,0,6,9.195671319961548,0.5108706288867526
423,1-7122,3,1,1-7122,197,4,0,110,99.25397419929504,0.5038272801994672
365,MLG48,21,6,MLG48,159,64,0,18,79.58701395988464,0.5005472576093374
256,1-9277,11,10,1-9277,48,11,0,15,23.98917829990387,0.49977454791466397
467,1-13247,15,8,1-13247,29,3,0,13,14.257287859916687,0.4916306158591961
292,1-9997,12,3,1-9997,16,6,0,2,7.731890439987183,0.4832431524991989
342,MLG65,14,12,MLG65,201,37,0,69,96.7502201795578,0.4813443790027751
190,1-2382,8,13,1-2382,139,18,0,56,66.49293231964111,0.4783664195657634
309,1-3516,9,21,1-3516,156,0,0,86,74.47128891944885,0.47738005717595416
327,P-16616,19,17,P-16616,28,8,0,6,13.195671319961548,0.4712739757129124
310,1-4855,15,16,1-4855,22,6,0,5,10.329726099967957,0.46953300454399804
412,1-6858,2,17,1-6858,23,9,0,2,10.731890439987183,0.4666039321733558
234,MLG29,4,11,MLG29,164,38,0,44,76.10158967971802,0.46403408341291474
346,MLG32,16,2,MLG32,52,12,0,14,24.12323307991028,0.46390832845981306
224,1-9227,13,9,1-9227,801,55,0,356,363.2764983177185,0.45352871200713923
245,1-6647,19,13,1-6647,62,3,0,29,28.112411379814148,0.4534259899970024
394,1-2423,20,19,1-2423,79,27,0,10,35.65945219993591,0.4513854708852647
499,1-8627,11,10,1-8627,25,6,0,6,11.195671319961548,0.4478268527984619
350,1-2282,10,17,1-2282,219,22,0,87,97.33723413944244,0.44446225634448605
244,MLG57,12,3,MLG57,629,126,0,175,277.5404134988785,0.44124072098390854
314,1-3139,13,9,1-3139,93,7,0,39,40.77186357975006,0.4384071352661297
161,MLG41,10,17,MLG41,66,11,0,20,28.318904399871826,0.42907430908896704
434,MLG59,14,12,MLG59,71,24,0,7,30.06161653995514,0.42340304985852306
349,1-3052,13,9,1-3052,166,19,0,59,70.09076797962189,0.42223354204591496
300,1-4020,10,8,1-4020,37,6,0,11,15.525397419929504,0.4196053356737704
540,1-5413,19,16,1-5413,39,12,0,5,16.329726099967957,0.418710925640204
459,1-2545,7,4,1-2545,145,49,0,13,60.25728785991669,0.41556750248218405
387,1-10539,16,2,1-10539,63,20,0,7,26.06161653995514,0.4136764530151609
359,1-4417,20,19,1-4417,151,4,0,67,62.01832973957062,0.41071741549384516
149,MLG58,11,10,MLG58,71,22,0,8,28.92756175994873,0.40743044732322153
330,1-4531,13,9,1-4531,94,4,0,39,37.77186357975006,0.4018283359547879
259,1-3596,18,18,1-3596,223,78,0,12,88.3913426399231,0.39637373381131435
437,1-6980,8,14,1-6980,128,13,0,43,50.235644459724426,0.3924659723415971
431,1-7614,13,9,1-7614,72,4,0,28,28.246466159820557,0.39231202999750775
392,1-9609,20,19,1-9609,25,2,0,9,9.793506979942322,0.3917402791976929
391,MLG30,20,19,MLG30,208,26,0,64,81.42049407958984,0.39144468307495117
322,1-0296,7,2,1-0296,41,16,0,0,16.0,0.3902439024390244
362,1-1462,13,9,1-1462,192,20,0,62,73.68860363960266,0.3837948106229305
400,1-18709,4,11,1-18709,33,4,0,10,12.659452199935913,0.38361976363442163
536,1-9971,14,12,1-9971,15,4,0,2,5.731890439987183,0.38212602933247886
375,MLG14,15,8,MLG14,232,57,0,36,88.17402791976929,0.38006046517141934
472,1-9518,20,19,1-9518,22,4,0,5,8.329726099967957,0.3786239136349071
470,1-1204,16,21,1-1204,39,0,0,17,14.721068739891052,0.3774633010228475
290,1-8341,13,9,1-8341,197,18,0,65,74.28643929958344,0.3770885243633677
205,1-8018,8,13,1-8018,58,8,0,16,21.85512351989746,0.3768124744809907
334,1-20641,4,11,1-20641,16,6,0,0,6.0,0.375
68,1-7845,11,10,1-7845,36,10,0,4,13.463780879974365,0.3739939133326213
427,1-9379,14,12,1-9379,58,13,0,10,21.659452199935913,0.3734388310333778
277,1-4051,2,15,1-4051,5,1,0,1,1.8659452199935913,0.3731890439987183
541,1-5424,2,15,1-5424,5,1,0,1,1.8659452199935913,0.3731890439987183
553,1-5555,6,14,1-5555,10,2,0,2,3.7318904399871826,0.3731890439987183
285,1-18615,6,3,1-18615,22,3,0,6,8.195671319961548,0.3725305145437067
302,MLG51,6,14,MLG51,248,61,0,36,92.17402791976929,0.37166946741842455
258,1-9516,13,9,1-9516,76,4,0,28,28.246466159820557,0.37166402841869156
43,1-8705,5,7,1-8705,48,10,0,9,17.793506979942322,0.3706980620821317
326,1-8826,13,9,1-8826,123,17,0,33,45.57619225978851,0.37053814845356514
216,1-9887,17,5,1-9887,36,9,0,5,13.329726099967957,0.37027016944355434
386,MLG68,11,10,MLG68,642,79,0,183,237.4679752588272,0.3698878119296374
399,MLG60,18,18,MLG60,47,13,0,5,17.329726099967957,0.3687175765950629
324,1-6734,17,5,1-6734,44,11,0,6,16.195671319961548,0.36808343909003516
537,1-4494,11,10,1-4494,16,5,0,1,5.865945219993591,0.36662157624959946
141,MLG45,19,16,MLG45,70,17,0,10,25.659452199935913,0.36656360285622736
91,72-12171,13,9,72-12171,19,0,0,8,6.9275617599487305,0.36460851368151215
531,1-5891,12,8,1-5891,96,22,0,15,34.98917829990387,0.3644706072906653
398,1-0303,5,7,1-0303,212,38,0,45,76.96753489971161,0.36305440990430005
105,1-1258,5,7,1-1258,435,49,0,125,157.2431524991989,0.3614785114924113
3,1-8222,1,23,1-8222,12,0,0,5,4.3297260999679565,0.360810508330663
