Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
246,MLG56,18,10,MLG56,511,96,1,88,1122.0258157253265,2.195745236253085
299,MLG54,18,10,MLG54,595,30,1,72,1051.2938492298126,1.7668804188736347
271,1-7897,8,9,1-7897,95,53,0,15,57.436218589544296,0.604591774626782
305,1-7866,6,8,1-7866,318,125,0,141,166.70045474171638,0.5242152664833849
464,1-10060,14,1,1-10060,36,17,0,4,18.18299162387848,0.5050831006632911
488,1-11350,15,5,1-11350,100,36,0,29,44.57668927311897,0.44576689273118975
10,1-7964,6,8,1-7964,202,86,0,12,89.54897487163544,0.44331175679027446
500,1-0292,13,4,1-0292,99,32,0,38,43.23842042684555,0.4367517214832884
234,MLG29,19,12,MLG29,164,52,0,58,69.15337854623795,0.42166694235510943
479,1-9286,10,6,1-9286,81,25,0,29,33.57668927311897,0.4145270280631972
339,1-3523,6,8,1-3523,543,183,0,122,219.0812445282936,0.40346453872613924
340,1-3362,11,7,1-3362,117,40,0,23,46.802201837301254,0.4000188191222329
149,MLG58,14,14,MLG58,71,27,0,4,28.18299162387848,0.39694354399828846
128,1-19286,19,12,1-19286,40,14,0,5,15.478739529848099,0.38696848824620245
248,1-2400,11,7,1-2400,49,17,0,6,18.77448743581772,0.3831528048126065
537,1-4494,16,3,1-4494,16,4,0,6,5.7744874358177185,0.3609054647386074
484,MLG31,15,5,MLG31,33,8,0,13,11.844722777605057,0.3589309932607593
104,1-8267,11,7,1-8267,133,39,0,29,47.57668927311897,0.35771946821893963
190,1-2382,18,10,1-2382,139,36,0,44,49.01290786266327,0.35261084793282926
259,1-3596,20,2,1-3596,223,65,0,45,78.30865576863289,0.3511598913391609
406,1-17907,11,7,1-17907,119,32,0,33,41.75968089699745,0.35092168821006264
350,1-2282,16,3,1-2282,219,60,0,50,74.78739529848099,0.34149495570082644
360,1-6611,11,7,1-6611,89,24,0,21,30.210706025362015,0.33944613511642713
398,1-0303,7,13,1-0303,212,53,0,64,71.92786598205566,0.33928238670780975
244,MLG57,17,11,MLG57,629,123,0,305,213.20311132073402,0.3389556618771606
99,1-5775,8,9,1-5775,244,71,0,31,80.16818508505821,0.32855813559450087
298,1-7019,13,4,1-7019,107,18,0,57,34.857630640268326,0.3257722489744703
375,MLG14,15,5,MLG14,232,58,0,56,74.5618827342987,0.32138742557887373
250,1-9333,8,9,1-9333,102,25,0,26,32.68944555521011,0.3204847603451972
353,MLG50,17,11,MLG50,319,80,0,73,101.58959713578224,0.31846268694602586
446,1-3534,11,7,1-3534,279,67,0,67,86.81510969996452,0.3111652677418083
153,1-1350,10,6,1-1350,195,46,0,49,60.49164739251137,0.31021357637185315
470,1-1204,8,9,1-1204,39,9,0,10,11.957479059696198,0.3066020271716974
283,1-3535,8,9,1-3535,315,66,0,100,95.57479059696198,0.3034120336411491
123,MLG55,16,3,MLG55,92,21,0,23,27.802201837301254,0.30219784605762234
390,MLG64,16,3,MLG64,245,66,0,25,73.3936976492405,0.29956611285404283
382,1-18558,20,2,1-18558,307,73,0,63,91.63211807608604,0.2984759546452314
562,1-0003,10,6,1-0003,17,3,0,7,5.070235341787338,0.29824913775219636
423,1-7122,14,14,1-7122,197,44,0,49,58.49164739251137,0.2969119156980273
342,MLG65,16,3,MLG65,201,54,0,18,59.323462307453156,0.29514160351966745
85,1-8084,19,12,1-8084,82,19,0,17,24.027714401483536,0.29302090733516506
510,1-3206,6,8,1-3206,45,11,0,7,13.070235341787338,0.29044967426194085
332,MLG78,20,2,MLG78,80,20,0,10,22.957479059696198,0.28696848824620247
367,1-8544,19,12,1-8544,54,2,0,45,15.308655768632889,0.2834936253450535
355,1-9498,20,2,1-9498,64,16,0,7,18.07023534178734,0.28234742721542716
245,1-6647,15,5,1-6647,62,16,0,5,17.4787395298481,0.2819151537072274
309,1-3516,11,7,1-3516,156,34,0,33,43.75968089699745,0.2805107749807529
311,1-20578,11,5,1-20578,19,5,0,1,5.29574790596962,0.27872357399840103
164,1-9740,14,14,1-9740,34,7,0,8,9.365983247756958,0.2754700955222635
477,1-9055,18,10,1-9055,12,3,0,1,3.2957479059696198,0.27464565883080166
357,1-4760,6,5,1-4760,40,8,0,10,10.957479059696198,0.27393697649240495
44,1-5214,16,3,1-5214,40,8,0,10,10.957479059696198,0.27393697649240495
58,1-17733,17,11,1-17733,74,14,0,21,20.210706025362015,0.2731176489913786
359,1-4417,13,4,1-4417,151,23,0,60,40.744874358177185,0.269833605021041
512,1-3033,17,11,1-3033,7,1,0,3,1.8872437179088593,0.26960624541555134
282,1-1608,10,6,1-1608,307,69,0,45,82.30865576863289,0.2681063705818661
381,1-2335,8,9,1-2335,145,30,0,30,38.87243717908859,0.26808577364888686
114,1-7496,11,7,1-7496,246,54,0,40,65.82991623878479,0.2676012855235154
143,1-8928,7,13,1-8928,39,6,0,15,10.436218589544296,0.2675953484498538
73,1-5355,16,3,1-5355,53,10,0,14,14.140470683574677,0.26680133365235237
161,MLG41,16,3,MLG41,66,14,0,12,17.548974871635437,0.265893558661143
131,1-9283,10,6,1-9283,235,25,0,125,61.96848824620247,0.26369569466469134
399,MLG60,17,11,MLG60,47,5,0,25,12.393697649240494,0.26369569466469134
318,1-2324,13,4,1-2324,25,6,0,2,6.5914958119392395,0.2636598324775696
352,MLG63,6,8,MLG63,380,81,0,62,99.33637017011642,0.2614115004476748
302,MLG51,17,11,MLG51,248,45,0,66,64.5193617939949,0.2601587169112698
471,1-9794,14,14,1-9794,46,9,0,10,11.957479059696198,0.25994519694991736
453,1-8397,10,6,1-8397,51,10,0,11,13.253226965665817,0.2598671954052121
254,1-8379,18,10,1-8379,5,1,0,1,1.2957479059696198,0.25914958119392395
106,MLG69,20,2,MLG69,576,125,0,82,149.25132828950882,0.25911688939150834
236,1-7024,7,13,1-7024,498,90,0,128,127.85573196411133,0.25673841759861715
520,1-2034,16,17,1-2034,16,2,0,7,4.070235341787338,0.25438970886170864
414,1-8285,10,6,1-8285,72,12,0,21,18.210706025362015,0.2529264725744724
517,1-18028,14,14,1-18028,309,63,0,49,77.49164739251137,0.2507820303964769
227,1-3068,11,7,1-3068,180,30,0,51,45.08314320445061,0.2504619066913923
119,1-5929,6,8,1-5929,4,1,0,0,1.0,0.25
508,1-8532,1,18,1-8532,4,1,0,0,1.0,0.25
449,1-1935,15,5,1-1935,12,3,0,0,3.0,0.25
233,MLG07,18,10,MLG07,90,21,0,5,22.4787395298481,0.24976377255386775
201,1-9902,18,10,1-9902,30,6,0,5,7.478739529848099,0.24929131766160328
117,1-0358,7,13,1-0358,22,4,0,5,5.478739529848099,0.2490336149930954
14,1-6098,19,12,1-6098,1327,268,0,211,330.40280815958977,0.2489847838429463
189,1-9156,8,9,1-9156,268,44,0,75,66.18109294772148,0.24694437667060254
531,1-5891,14,14,1-5891,96,21,0,9,23.661731153726578,0.24647636618465185
426,1-4355,14,14,1-4355,49,10,0,7,12.070235341787338,0.24633133350586406
547,MLG67,13,4,MLG67,27,5,0,5,6.478739529848099,0.23995331592029995
92,1-7807,11,7,1-7807,239,44,0,45,57.30865576863289,0.23978517058005394
363,1-10785,7,13,1-10785,279,37,0,101,66.8705385029316,0.2396793494728731
462,1-1183,8,9,1-1183,45,9,0,6,10.774487435817719,0.23943305412928265
162,1-8067,12,1,1-8067,322,74,0,10,76.9574790596962,0.23899838217296956
154,1-18994,16,3,1-18994,28,4,0,9,6.661731153726578,0.2379189697759492
267,1-6181,13,4,1-6181,659,101,0,185,155.71336260437965,0.2362873484133227
385,1-6974,8,9,1-6974,207,10,0,131,48.74297568202019,0.23547331247352749
144,1-7744,15,5,1-7744,37,6,0,9,8.661731153726578,0.23410084199261022
39,1-7467,6,11,1-7467,64,12,0,10,14.957479059696198,0.23371061030775309
207,1-7058,1,18,1-7058,80,3,0,53,18.674639016389847,0.23343298770487309
422,1-6878,13,4,1-6878,167,28,0,37,38.94267252087593,0.23318965581362833
480,1-1005,19,12,1-1005,125,16,0,44,29.01290786266327,0.23210326290130615
191,1-8328,18,10,1-8328,114,14,0,42,26.42141205072403,0.2317667723747722
