Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
353,MLG50,21,7,MLG50,319,112,1,75,1186.2084980010986,3.718521937307519
4,1-6240,21,7,1-6240,698,69,2,87,2155.0818576812744,3.0875098247582726
105,1-1258,21,7,1-1258,435,120,1,65,1184.3140316009521,2.722560992186097
440,MLG52,12,6,MLG52,125,47,0,47,93.50399208068848,0.7480319366455078
299,MLG54,12,6,MLG54,595,155,0,288,439.96063232421875,0.7394296341583508
463,1-1989,16,20,1-1989,46,1,0,32,32.66229248046875,0.7100498365319293
243,1-1015,19,3,1-1015,155,7,0,100,105.94466400146484,0.6835139612997732
345,1-1131,20,14,1-1131,138,27,0,61,87.35624504089355,0.6330162684122721
170,1-5043,13,5,1-5043,123,21,0,55,75.41956520080566,0.6131671967545176
399,MLG60,13,5,MLG60,47,20,0,8,27.915573120117188,0.5939483642578125
479,1-9286,21,7,1-9286,81,19,0,28,46.704505920410156,0.5765988385235822
447,1-7152,19,3,1-7152,109,34,0,26,59.72561264038086,0.5479414003704666
236,1-7024,17,4,1-7024,498,91,0,179,268.11094856262207,0.5383753987201246
365,MLG48,3,18,MLG48,159,40,0,44,83.53565216064453,0.5253814601298398
309,1-3516,19,3,1-3516,156,22,0,60,81.3667984008789,0.521582041031275
298,1-7019,17,4,1-7019,107,11,0,45,55.52509880065918,0.5189261570155064
330,1-4531,6,17,1-4531,94,27,0,22,48.767826080322266,0.5188066604289603
234,MLG29,18,10,MLG29,164,14,0,71,84.25071144104004,0.5137238502502441
500,1-0292,10,13,1-0292,99,28,0,23,50.757272720336914,0.5126997244478476
227,1-3068,19,3,1-3068,180,20,0,73,92.22960472106934,0.5123866928948296
446,1-3534,19,3,1-3534,279,44,0,97,139.9763240814209,0.5017072547721179
124,1-8427,12,6,1-8427,189,6,0,89,94.06075096130371,0.49767593101218893
554,1-10444,2,21,1-10444,8,2,0,2,3.978893280029297,0.4973616600036621
346,MLG32,20,14,MLG32,52,9,0,17,25.820592880249023,0.496549863081712
260,1-0129,21,7,1-0129,142,49,0,21,69.77837944030762,0.49139703831202547
364,1-7682,13,5,1-7682,141,32,0,37,68.60952568054199,0.48659238071306377
526,1-5002,18,10,1-5002,45,9,0,13,21.86280632019043,0.48584014044867624
371,1-1580,13,5,1-1580,400,81,0,113,192.80747032165527,0.4820186758041382
427,1-9379,2,21,1-9379,58,23,0,5,27.947233200073242,0.4818488482771249
244,MLG57,14,15,MLG57,629,47,0,258,302.2772331237793,0.48056793819360777
499,1-8627,7,7,1-8627,25,6,0,6,11.93667984008789,0.47746719360351564
199,MLG39,20,14,MLG39,23,2,0,9,10.905019760131836,0.47413129391877545
