Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
130,1-1833,14,13,1-1833,124,98,0,17,114.44306033849716,0.9229279059556222
282,1-1608,18,16,1-1608,307,28,0,238,258.20284473896027,0.8410516115275579
370,MLG62,2,3,MLG62,525,39,0,406,431.69897043704987,0.8222837532134283
463,1-1989,6,2,1-1989,46,34,0,3,36.90171653032303,0.8022112289200658
57,1-1224,16,14,1-1224,151,92,0,27,118.11544877290726,0.7822215150523659
442,MLG11,2,14,MLG11,87,20,0,47,65.46022564172745,0.7524163866865223
526,1-5002,11,9,1-5002,45,15,0,18,32.41029918193817,0.7202288707097372
153,1-1350,18,16,1-1350,195,67,0,72,136.64119672775269,0.7007240857833471
389,1-0278,4,7,1-0278,79,2,0,55,55.198136389255524,0.6987105872057662
470,1-1204,6,15,1-1204,39,19,0,8,26.737910747528076,0.6855874550648224
91,72-12171,19,17,72-12171,19,5,0,8,12.737910747528076,0.6704163551330566
471,1-9794,10,18,1-9794,46,26,0,5,30.836194217205048,0.6703520482001097
438,MLG10,18,16,MLG10,60,16,0,25,40.18097108602524,0.669682851433754
259,1-3596,2,3,1-3596,223,79,0,72,148.64119672775269,0.6665524516939583
394,1-2423,17,5,1-2423,79,2,0,52,52.296419858932495,0.6619799982143354
419,1-6692,6,15,1-6692,71,32,0,15,46.50858265161514,0.6550504598819035
189,1-9156,6,15,1-9156,268,108,0,67,172.80500251054764,0.6447947854871181
299,MLG54,12,1,MLG54,595,12,0,383,382.45247703790665,0.6427772723326162
150,1-7005,19,17,1-7005,285,40,0,148,183.1513488292694,0.642636311681647
245,1-6647,6,15,1-6647,62,29,0,11,39.639627277851105,0.6393488270621146
390,MLG64,15,10,MLG64,245,65,0,94,155.9204512834549,0.6364100052385914
364,1-7682,2,3,1-7682,141,37,0,54,89.23089754581451,0.6328432450057767
350,1-2282,14,13,1-2282,219,58,0,80,135.37910747528076,0.6181694405263962
232,1-18371,4,7,1-18371,120,18,0,58,74.09985291957855,0.6174987743298213
149,MLG58,15,10,MLG58,71,27,0,16,42.47582149505615,0.5982510069726219
479,1-9286,9,12,1-9286,81,30,0,19,48.37753802537918,0.5972535558688787
24,1-7140,9,12,1-7140,397,154,0,84,235.2480628490448,0.5925643900479718
217,1-9630,2,3,1-9630,33,9,0,10,18.672388434410095,0.5658299525578817
509,1-18935,15,10,1-18935,30,12,0,5,16.836194217205048,0.5612064739068349
73,1-5355,18,16,1-5355,53,16,0,14,29.541343808174133,0.5573838454372478
209,1-9938,10,14,1-9938,55,16,0,15,30.508582651615143,0.554701502756639
261,1-1942,4,7,1-1942,34,12,0,7,18.770671904087067,0.5520785854143255
141,MLG45,6,15,MLG45,70,25,0,14,38.54134380817413,0.550590625831059
190,1-2382,14,13,1-2382,139,33,0,45,76.52574795484543,0.5505449493154347
270,1-1390,14,13,1-1390,98,40,0,14,53.54134380817413,0.5463402429405524
558,1-0055,10,18,1-0055,18,4,0,6,9.803433060646057,0.544635170035892
68,1-7845,4,7,1-7845,36,8,0,12,19.606866121292114,0.544635170035892
485,1-5980,11,9,1-5980,29,5,0,11,15.639627277851105,0.5392974923396933
380,1-7004,20,19,1-7004,381,7,0,205,205.28396290540695,0.5388030522451626
386,MLG68,10,18,MLG68,642,129,0,223,344.6942620873451,0.5369069502918148
517,1-18028,14,13,1-18028,309,145,0,21,165.3120157122612,0.5349903421108777
400,1-18709,11,9,1-18709,33,5,0,13,17.574104964733124,0.5325486352949431
140,1-2294,16,14,1-2294,75,5,0,36,39.82059836387634,0.5309413115183512
322,1-0296,7,8,1-0296,41,11,0,11,21.639627277851105,0.5277957872646611
540,1-5413,14,6,1-5413,39,6,0,15,20.508582651615143,0.5258610936311575
131,1-9283,4,7,1-9283,235,64,0,61,123.00156944990158,0.5234109338293684
234,MLG29,11,9,MLG29,164,47,0,40,85.68955373764038,0.5224972788880511
429,1-6693,11,9,1-6693,98,22,0,30,51.017165303230286,0.5205833194207172
453,1-8397,18,16,1-8397,51,13,0,14,26.541343808174133,0.5204185060426301
385,1-6974,4,7,1-6974,207,19,0,91,107.01873475313187,0.5169987186141636
55,1-8095,8,11,1-8095,46,17,0,7,23.770671904087067,0.516753737045371
164,1-9740,18,16,1-9740,34,4,0,14,17.541343808174133,0.5159218767110039
497,1-8493,2,3,1-8493,38,7,0,13,19.574104964733124,0.5151080253877138
314,1-3139,19,17,1-3139,93,12,0,37,47.78783720731735,0.5138477119066382
412,1-6858,16,6,1-6858,23,5,0,7,11.770671904087067,0.5117683436559595
547,MLG67,15,10,MLG67,27,8,0,6,13.803433060646057,0.5112382615054095
392,1-9609,11,9,1-9609,25,6,0,7,12.770671904087067,0.5108268761634827
531,1-5891,13,6,1-5891,96,8,0,42,48.6240314245224,0.506500327338775
318,1-2324,5,5,1-2324,25,2,0,11,12.639627277851105,0.5055850911140441
378,1-6561,8,11,1-6561,65,20,0,13,32.574104964733124,0.5011400763805096
183,1-9496,16,15,1-9496,39,6,0,14,19.541343808174133,0.5010600976454906
561,1-9455,1,2,1-9455,2,1,0,0,1.0,0.5
492,1-6028,13,6,1-6028,2,1,0,0,1.0,0.5
85,1-8084,11,9,1-8084,82,7,0,35,40.85335952043533,0.49821170146872357
428,1-2701,20,19,1-2701,61,5,0,26,30.148209929466248,0.4942329496633811
553,1-5555,1,2,1-5555,10,3,0,2,4.934477686882019,0.4934477686882019
145,MLG06,8,11,MLG06,18,5,0,4,8.868955373764038,0.49271974298689103
