Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
246,246,246,246,246,246,MLG56,18,8,MLG56,511,102,1,52,1116.4026553630829,2.1847410085383228
299,299,299,299,299,299,MLG54,18,8,MLG54,595,57,1,58,1073.0645002126694,1.8034697482565871
46,46,46,46,46,46,1-8566,17,9,1-8566,5,4,0,0,4.0,0.8
464,464,464,464,464,464,1-10060,14,14,1-10060,36,27,0,2,27.553948283195496,0.765387452310986
425,425,425,425,425,425,1-6006,10,12,1-6006,57,36,0,10,38.76974141597748,0.6801709020346925
465,465,465,465,465,465,1-5913,8,4,1-5913,14,9,0,0,9.0,0.6428571428571429
507,507,507,507,507,507,1-6909,7,1,1-6909,36,23,0,0,23.0,0.6388888888888888
477,477,477,477,477,477,1-9055,18,8,1-9055,12,7,0,0,7.0,0.5833333333333334
514,514,514,514,514,514,1-11206,14,14,1-11206,14,7,0,3,7.830922424793243,0.559351601770946
451,451,451,451,451,451,1-4098,14,14,1-4098,16,8,0,3,8.830922424793243,0.5519326515495777
55,55,55,55,55,55,1-8095,1,18,1-8095,46,24,0,2,24.553948283195496,0.5337814844172933
29,29,29,29,29,29,1-18735,6,10,1-18735,27,12,0,8,14.215793132781982,0.5265108567697031
412,412,412,412,412,412,1-6858,12,7,1-6858,23,7,0,18,11.98553454875946,0.5211101977721505
52,52,52,52,52,52,72-12387,7,1,72-12387,71,36,0,0,36.0,0.5070422535211268
292,292,292,292,292,292,1-9997,6,10,1-9997,16,7,0,4,8.107896566390991,0.506743535399437
563,563,563,563,563,563,1-21192,17,9,1-21192,4,2,0,0,2.0,0.5
186,186,186,186,186,186,72-11994,2,19,72-11994,8,4,0,0,4.0,0.5
506,506,506,506,506,506,1-6227,1,18,1-6227,52,26,0,0,26.0,0.5
238,238,238,238,238,238,1-9855,18,8,1-9855,8,4,0,0,4.0,0.5
176,176,176,176,176,176,1-8042,2,19,1-8042,52,24,0,7,25.938818991184235,0.4988234421381584
327,327,327,327,327,327,P-16616,20,13,P-16616,28,12,0,7,13.938818991184235,0.4978149639708655
41,41,41,41,41,41,1-7509,15,11,1-7509,40,19,0,2,19.553948283195496,0.48884870707988737
490,490,490,490,490,490,1-3551,18,8,1-3551,6,2,0,3,2.8309224247932434,0.4718204041322072
95,95,95,95,95,95,1-3312,15,11,1-3312,36,14,0,10,16.769741415977478,0.4658261504438188
77,77,77,77,77,77,1-2153,17,9,1-2153,13,6,0,0,6.0,0.46153846153846156
276,276,276,276,276,276,1-9495,2,19,1-9495,18,8,0,1,8.276974141597748,0.45983189675543046
274,274,274,274,274,274,1-0033,6,10,1-0033,10,4,0,2,4.553948283195496,0.4553948283195496
392,392,392,392,392,392,1-9609,18,8,1-9609,25,10,0,5,11.384870707988739,0.4553948283195496
254,254,254,254,254,254,1-8379,18,8,1-8379,5,2,0,1,2.276974141597748,0.4553948283195496
413,413,413,413,413,413,1-8314,3,24,1-8314,36,16,0,0,16.0,0.4444444444444444
511,511,511,511,511,511,1-9697,6,10,1-9697,20,5,0,14,8.87763798236847,0.44388189911842346
438,438,438,438,438,438,MLG10,18,8,MLG10,60,25,0,4,26.10789656639099,0.43513160943984985
403,403,403,403,403,403,1-1770,17,9,1-1770,35,13,0,8,15.215793132781982,0.4347369466509138
185,185,185,185,185,185,1-8906,1,18,1-8906,15,6,0,1,6.276974141597748,0.4184649427731832
49,49,49,49,49,49,1-2178,6,10,1-2178,12,5,0,0,5.0,0.4166666666666667
502,502,502,502,502,502,1-20012,18,8,1-20012,12,5,0,0,5.0,0.4166666666666667
265,265,265,265,265,265,1-11330,18,8,1-11330,14,5,0,3,5.830922424793243,0.4164944589138031
28,28,28,28,28,28,1-10071,10,12,1-10071,30,11,0,5,12.384870707988739,0.41282902359962464
201,201,201,201,201,201,1-9902,18,8,1-9902,30,11,0,4,12.107896566390991,0.40359655221303303
541,541,541,541,541,541,1-5424,3,24,1-5424,5,2,0,0,2.0,0.4
277,277,277,277,277,277,1-4051,8,4,1-4051,5,2,0,0,2.0,0.4
287,287,287,287,287,287,1-9836,2,19,1-9836,5,2,0,0,2.0,0.4
411,411,411,411,411,411,MLG15,2,19,MLG15,105,27,0,54,41.95660364627838,0.39958670139312746
149,149,149,149,149,149,MLG58,14,14,MLG58,71,25,0,12,28.323689699172974,0.39892520703060524
68,68,68,68,68,68,1-7845,14,14,1-7845,36,13,0,4,14.107896566390991,0.39188601573308307
216,216,216,216,216,216,1-9887,4,20,1-9887,36,14,0,0,14.0,0.3888888888888889
484,484,484,484,484,484,MLG31,15,11,MLG31,33,12,0,3,12.830922424793243,0.3888158310543407
519,519,519,519,519,519,1-4926,2,19,1-4926,4,1,0,2,1.5539482831954956,0.3884870707988739
61,61,61,61,61,61,1-7341,19,2,1-7341,110,41,0,5,42.38487070798874,0.38531700643626127
516,516,516,516,516,516,1-5036,19,2,1-5036,14,4,0,5,5.384870707988739,0.38463362199919565
128,128,128,128,128,128,1-19286,19,2,1-19286,40,14,0,5,15.384870707988739,0.38462176769971845
167,167,167,167,167,167,1-4929,19,2,1-4929,10,3,0,3,3.8309224247932434,0.38309224247932433
190,190,190,190,190,190,1-2382,18,8,1-2382,139,47,0,20,52.539482831954956,0.37798189087737377
527,527,527,527,527,527,1-5531,4,20,1-5531,8,3,0,0,3.0,0.375
557,557,557,557,557,557,1-9806,7,1,1-9806,8,3,0,0,3.0,0.375
91,91,91,91,91,91,72-12171,8,4,72-12171,19,6,0,4,7.107896566390991,0.37409981928373637
319,319,319,319,319,319,1-3584,6,10,1-3584,26,8,0,6,9.661844849586487,0.371609417291788
282,282,282,282,282,282,1-1608,10,12,1-1608,307,53,0,218,113.38036286830902,0.36931714289351475
210,210,210,210,210,210,1-7842,2,19,1-7842,21,6,0,6,7.661844849586487,0.36484975474221365
30,30,30,30,30,30,1-8418,17,9,1-8418,46,14,0,10,16.769741415977478,0.3645595959995104
169,169,169,169,169,169,1-9606,19,2,1-9606,16,5,0,3,5.830922424793243,0.3644326515495777
471,471,471,471,471,471,1-9794,14,14,1-9794,46,15,0,6,16.661844849586487,0.3622140184692714
152,152,152,152,152,152,1-9500,5,21,1-9500,33,10,0,7,11.938818991184235,0.3617823936722495
250,250,250,250,250,250,1-9333,8,4,1-9333,102,31,0,21,36.816456973552704,0.3609456566034579
369,369,369,369,369,369,1-6594,15,11,1-6594,70,24,0,4,25.10789656639099,0.3586842366627285
255,255,255,255,255,255,1-9946,1,18,1-9946,12,4,0,1,4.276974141597748,0.3564145117998123
302,302,302,302,302,302,MLG51,17,9,MLG51,248,62,0,93,87.75859516859055,0.3538653030991554
251,251,251,251,251,251,1-7268,10,12,1-7268,70,22,0,10,24.769741415977478,0.3538534487996783
273,273,273,273,273,273,1-3589,9,15,1-3589,27,9,0,2,9.553948283195496,0.35384993641464796
488,488,488,488,488,488,1-11350,15,11,1-11350,100,27,0,29,35.032250106334686,0.35032250106334684
192,192,192,192,192,192,1-9770,14,14,1-9770,50,13,0,16,17.431586265563965,0.3486317253112793
534,534,534,534,534,534,1-9457,15,11,1-9457,11,3,0,3,3.8309224247932434,0.3482656749812039
108,108,108,108,108,108,1-9731,4,20,1-9731,11,3,0,3,3.8309224247932434,0.3482656749812039
466,466,466,466,466,466,1-5981,20,13,1-5981,28,8,0,6,9.661844849586487,0.34506588748523165
454,454,454,454,454,454,1-0272,11,5,1-0272,111,33,0,16,37.431586265563965,0.33722149788796363
449,449,449,449,449,449,1-1935,15,11,1-1935,12,4,0,0,4.0,0.3333333333333333
551,551,551,551,551,551,1-9838,14,14,1-9838,3,1,0,0,1.0,0.3333333333333333
85,85,85,85,85,85,1-8084,19,2,1-8084,82,24,0,12,27.323689699172974,0.3332157280386948
472,472,472,472,472,472,1-9518,18,8,1-9518,22,7,0,1,7.276974141597748,0.3307715518908067
171,171,171,171,171,171,1-8100,11,5,1-8100,19,4,0,8,6.215793132781982,0.3271470069885254
544,544,544,544,544,544,1-5799,4,20,1-5799,7,2,0,1,2.276974141597748,0.3252820202282497
420,420,420,420,420,420,1-8172,7,1,1-8172,40,13,0,0,13.0,0.325
164,164,164,164,164,164,1-9740,14,14,1-9740,34,8,0,11,11.046715557575226,0.3249033987522125
206,206,206,206,206,206,1-9752,18,8,1-9752,22,6,0,4,7.107896566390991,0.32308620756322687
419,419,419,419,419,419,1-6692,8,4,1-6692,71,17,0,20,22.539482831954956,0.31745750467542194
463,463,463,463,463,463,1-1989,1,18,1-1989,46,9,0,19,14.262508690357208,0.3100545367468958
526,526,526,526,526,526,1-5002,1,18,1-5002,45,12,0,7,13.938818991184235,0.3097515331374274
404,404,404,404,404,404,1-4682,17,9,1-4682,16,3,0,7,4.938818991184235,0.30867618694901466
196,196,196,196,196,196,1-9646,14,14,1-9646,105,32,0,0,32.0,0.3047619047619048
355,355,355,355,355,355,1-9498,20,13,1-9498,64,17,0,9,19.49276727437973,0.3045744886621833
217,217,217,217,217,217,1-9630,7,1,1-9630,33,10,0,0,10.0,0.30303030303030304
227,227,227,227,227,227,1-3068,11,5,1-3068,180,39,0,55,54.23357778787613,0.3012976543770896
320,320,320,320,320,320,MLG13,1,18,MLG13,140,40,0,5,41.38487070798874,0.2956062193427767
31,31,31,31,31,31,1-8938,6,10,1-8938,30,8,0,3,8.830922424793243,0.29436408082644144
311,311,311,311,311,311,1-20578,11,5,1-20578,19,5,0,2,5.553948283195496,0.292313067536605
406,406,406,406,406,406,1-17907,11,5,1-17907,119,28,0,24,34.64737939834595,0.2911544487255962
453,453,453,453,453,453,1-8397,10,12,1-8397,51,1,0,50,14.84870707988739,0.29115111921347825
153,153,153,153,153,153,1-1350,10,12,1-1350,195,46,0,37,56.24804323911667,0.2884515037903419
13,13,13,13,13,13,1-9805,2,19,1-9805,26,6,0,5,7.384870707988739,0.28403348876879764
339,339,339,339,339,339,1-3523,6,10,1-3523,543,119,0,124,153.34479355812073,0.2824029347295041
382,382,382,382,382,382,1-18558,20,13,1-18558,307,67,0,68,85.83424162864685,0.2795903636112275
