Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,1-1183,16,7,1-1183,45,41,0,27,65.90134632587433,1.4644743627972072
463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,1-1989,3,8,1-1989,46,45,0,7,51.455904603004456,1.1186066218044446
431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,1-7614,21,21,1-7614,72,1,0,85,79.39312732219696,1.1026823239194021
335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,335,1-8910,22,3,1-8910,137,14,0,145,147.72945249080658,1.0783171714657414
432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1-6914,18,19,1-6914,73,2,0,83,78.54858314990997,1.0760079883549312
418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,1-6216,22,3,1-6216,45,5,0,43,44.65769970417023,0.9923933267593383
374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,1-6919,10,13,1-6919,43,3,0,43,42.65769970417023,0.9920395280039588
437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1-6980,2,5,1-6980,128,10,0,125,125.2840107679367,0.9787813341245055
372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,1-6916,15,15,1-6916,43,0,0,45,41.502243876457214,0.9651684622431911
542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,1-1191,10,13,1-1191,53,9,0,45,50.502243876457214,0.9528725259708908
273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,1-3589,3,8,1-3589,27,8,0,19,25.52316963672638,0.9453025791380141
467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,467,1-13247,17,12,1-13247,29,7,0,22,27.28998589515686,0.9410339963847193
506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,1-6227,18,19,1-6227,52,34,0,16,48.7563533782959,0.9376221803518442
424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,1-4700,10,13,1-4700,31,21,0,8,28.37817668914795,0.9154250544886435
423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,1-7122,17,12,1-7122,197,7,0,183,175.77579176425934,0.8922629023566464
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1-18202,7,2,1-18202,23,0,0,22,20.28998589515686,0.8821732997894287
367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,1-8544,22,3,1-8544,54,2,0,49,47.19133222103119,0.8739135596487257
210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,1-7842,7,2,1-7842,21,13,0,5,17.61136043071747,0.8386362109865461
277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,1-4051,11,6,1-4051,5,2,0,2,3.8445441722869873,0.7689088344573974
292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,1-9997,11,6,1-9997,16,8,0,4,11.689088344573975,0.7305680215358734
190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,1-2382,2,5,1-2382,139,32,0,74,100.24813437461853,0.7212095998173995
519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,1-4926,2,5,1-4926,4,1,0,2,2.8445441722869873,0.7111360430717468
327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,P-16616,22,3,P-16616,28,17,0,2,18.844544172286987,0.6730194347245353
